LOCATION,DATE,TIME,YEAR,MEAN_SEAGR,STD_SEAGRA,DD_LAT,DD_LON
Punta Gorda / East Snake Caye,10/15/09,12:27:00,2009,21.34,6.55,16.12608,-88.30560
"Rhode Island / Fort Getty, Narragansett Bay",7/27/05,10:00:00,2005,48.64,10.11,41.49400,-71.39767
"Rhode Island / Fort Getty, Narragansett Bay",7/8/10,1:23:00,2010,52.66,28.41,41.49400,-71.39767
"Rhode Island / Fort Getty, Narragansett Bay",7/9/08,11:00:00,2008,63.63,15.13,41.49400,-71.39767
"Rhode Island / Fort Getty, Narragansett Bay",7/16/09,11:11:00,2009,71.41,10.86,41.49400,-71.39767
"Rhode Island / Fort Getty, Narragansett Bay",10/17/06,11:00:00,2006,74.72,3.15,41.49400,-71.39767
"Rhode Island / Fort Getty, Narragansett Bay",7/10/07,9:30:00,2007,86.94,5.94,41.49400,-71.39767
"Rhode Island / Prudence Is., Narragansett Bay",7/9/09,11:50:00,2009,39.16,24.30,41.58067,-71.32133
"Rhode Island / Prudence Is., Narragansett Bay",7/12/07,12:00:00,2007,40.47,21.90,41.58067,-71.32133
"Rhode Island / Prudence Is., Narragansett Bay",7/9/10,12:35:00,2010,43.34,19.06,41.58067,-71.32133
"Rhode Island / Prudence Is., Narragansett Bay",7/17/08,13:00:00,2008,54.77,19.63,41.58067,-71.32133
"Rhode Island / Prudence Is., Narragansett Bay",7/18/06,12:00:00,2006,64.47,22.93,41.58067,-71.32133
"Rhode Island / Prudence Is., Narragansett Bay",7/28/05,10:00:00,2005,68.76,26.10,41.58067,-71.32133
"Sabang, Mindoro",7/1/05,14:00:00,2005,6.39,1.63,13.52148,120.97756
"Sabang, Mindoro",1/22/04,7:56:00,2004,10.80,3.33,13.52148,120.97756
"Sabang, Mindoro",10/24/08,17:02:00,2008,11.55,4.12,13.52148,120.97756
"Sabang, Mindoro",7/18/09,12:15:00,2009,11.78,2.48,13.52148,120.97756
"Sabang, Mindoro",4/27/03,15:00:00,2003,12.25,2.53,13.52148,120.97756
"Sabang, Mindoro",1/23/02,9:40:00,2002,13.81,2.78,13.52148,120.97756
"Sabang, Mindoro",10/21/01,8:00:00,2001,14.22,4.10,13.52148,120.97756
Samal Island,4/20/10,15:51:00,2010,6.87,3.75,7.16665,125.69035
San Quintin Bay,1/24/05,15:00:00,2005,28.76,25.62,30.42450,-115.98033
San Quintin Bay,8/3/04,5:30:00,2004,54.73,7.13,30.42450,-115.98033
"Santa Barbara, Abrolhos",10/12/04,6:59:00,2004,6.81,6.35,-17.96171,-38.69723
"Santa Barbara, Abrolhos",1/12/05,7:42:00,2005,6.96,6.01,-17.96171,-38.69723
"Santa Barbara, Abrolhos",4/20/02,0:00:00,2002,13.51,2.88,-17.96171,-38.69723
"Santa Barbara, Abrolhos",10/15/03,15:00:00,2003,18.19,12.84,-17.96171,-38.69723
"Seraya Kecil, Komodo",5/7/05,17:03:00,2005,5.31,3.87,-8.41166,119.86750
"Seraya Kecil, Komodo",7/15/03,16:23:00,2003,8.37,1.92,-8.41166,119.86750
"Seraya Kecil, Komodo",10/14/02,12:45:00,2002,9.41,4.44,-8.41166,119.86750
"Sivasat, Kavieng",10/13/01,11:35:00,2001,13.99,6.16,-2.60935,150.77848
"Sivasat, Kavieng",1/5/02,7:15:00,2002,16.79,8.76,-2.60935,150.77848
South Pohnpei,7/17/01,0:00:00,2001,19.78,4.98,6.76060,158.26270
South Pohnpei,4/12/03,0:00:00,2003,20.34,4.49,6.76060,158.26270
South Pohnpei,11/19/02,0:00:00,2002,21.36,3.62,6.76060,158.26270
South Pohnpei,2/28/04,0:00:00,2004,26.36,8.02,6.76060,158.26270
South Pohnpei,2/12/08,10:30:00,2008,36.46,2.11,6.76060,158.26270
South Pohnpei,12/13/07,11:20:00,2007,44.45,2.11,6.76060,158.26270
South Pohnpei,10/7/09,10:30:00,2009,46.47,0.89,6.76060,158.26270
South Pohnpei,7/14/10,10:30:00,2010,50.19,0.27,6.76060,158.26270
"Tamandare, Pernambuco",7/30/04,10:30:00,2004,20.53,2.65,-8.42690,-35.40000
"Tamandare, Pernambuco",7/24/02,10:01:00,2002,22.69,1.34,-8.42690,-35.40000
"Tamandare, Pernambuco",4/30/03,8:20:00,2003,30.02,0.44,-8.42690,-35.40000
"Tarutao TT01, Talowaw Bay",2/4/07,1:52:00,2007,5.65,1.33,6.46452,99.41145
"Tarutao TT02, Talowaw Bay",9/2/07,7:30:00,2007,45.90,12.62,6.36206,99.41253
Tayrona National Park,7/28/09,10:00:00,2009,63.29,22.47,11.19141,-74.46400
Tayrona National Park,2/15/08,12:00:00,2008,77.79,22.21,11.19141,-74.46400
Trang / Haad Chao Mai Marine Park,10/9/06,18:00:00,2006,12.87,1.93,7.37650,99.31033
Trang / Haad Chao Mai Marine Park,7/16/08,15:50:00,2008,13.08,2.54,7.37650,99.31033
Trang / Haad Chao Mai Marine Park,12/25/07,17:04:00,2007,14.28,2.06,7.37650,99.31033
Trang / Haad Chao Mai Marine Park,1/13/09,16:15:00,2009,17.47,4.13,7.37650,99.31033
Trang / Ko Muk,12/24/07,16:40:00,2007,13.19,6.29,7.22970,99.20120
Trang / Ko Muk,10/10/06,17:50:00,2006,13.76,10.03,7.22970,99.20120
Trang / Ko Muk,1/12/09,16:52:00,2009,14.10,4.23,7.22970,99.20120
Trang / Ko Muk,4/5/08,15:00:00,2008,15.08,5.40,7.22970,99.20120
Washington / Dumas Bay,11/1/08,0:00:00,2008,19.49,4.48,47.19379,-122.23449
Washington / Dumas Bay,7/13/11,10:00:00,2011,22.78,14.98,47.19379,-122.23449
Washington / Dumas Bay,10/28/09,7:15:00,2009,24.87,16.45,47.19379,-122.23449
Washington / Dumas Bay,10/19/10,9:00:00,2010,30.48,21.75,47.19379,-122.23449
Yap/Nimpal,10/19/09,0:00:00,2009,10.20,3.04,9.32000,138.05130
Yap/Nimpal,4/20/10,11:19:00,2010,14.42,5.04,9.32000,138.05130
Zadar / Novigradsko More,10/13/09,5:05:00,2009,0.00,0.00,44.12725,15.29126
Zadar / Novigradsko More,5/6/11,8:00:00,2011,10.25,7.77,44.12725,15.29126
Zadar / Novigradsko More,5/9/10,8:00:00,2010,13.76,11.46,44.12725,15.29126
Zanzibar / Chumbe,3/23/11,11:57:00,2011,8.36,3.49,-6.27766,39.43771
Zanzibar / Chumbe,11/8/10,10:26:00,2010,11.38,3.91,-6.27766,39.43771
Zanzibar / Chumbe,7/23/09,11:04:00,2009,11.58,2.54,-6.27766,39.43771
Zanzibar / Chumbe,11/7/06,11:06:00,2006,13.38,3.67,-6.27766,39.43771
Zanzibar / Chumbe,11/15/08,11:10:00,2008,13.75,2.53,-6.27766,39.43771
Zanzibar / Chumbe,10/29/07,12:00:00,2007,14.06,2.37,-6.27766,39.43771
Zhulin Bay / Bei Hai,10/23/10,13:00:00,2010,3.20,0.82,21.26000,109.16920
Zhulin Bay / Bei Hai,10/18/09,0:00:00,2009,4.55,3.00,21.26000,109.16920
Zhulin Bay / Bei Hai,1/22/11,13:00:00,2011,6.27,1.77,21.26000,109.16920
Zhulin Bay / Bei Hai,7/12/08,0:00:00,2008,12.53,6.01,21.26000,109.16920
