tax_code,tax_nm,common_nm
600501,Sebastes marinus,Ocean perch
600502,Sebastes entomelas,Widow rockfish
600503,Sebastes flavidus,Yellowtail rockfish
600504,Sebastes alutus,Pacific ocean perch
600505,Sebastes mentella,Deepwater redfish
600507,Chelidonichthys kumu,Bluefin gurnard
600508,Pterygotrigla polyommata,Latchet
600509,Ophiodon elongatus,Lingcod
600510,Pleurogrammus azonus,Okhostk atka mackerel
600512,Anoplopoma fimbria,Sablefish
600513,Psettodes erumei,Indian spiny turbot
600514,Hippoglossus stenolepis,Pacific halibut
600516,Reinhardtius hippoglossoides,Greenland halibut
600517,Atheresthes stomias,Arrowtooth flounder
600518,Atheresthes evermanni,Kamchatka flounder
600519,Hippoglossoides elassodon,Flathead sole
600520,Limanda aspera,Yellowfin sole
600521,Limanda ferruginea,Yellowtail flounder
600524,Pseudopleuronectes americanus,Winter flounder
600525,Solea solea,Common sole
600526,Dicologlossa cuneata,Wedge sole
600527,Austroglossus microlepis,West coast sole
600528,Austroglossus pectoralis,Mud sole
600529,Scophthalmus rhombus,Brill
600530,Scophthalmus aquosus,Windowpane
600531,Stephanolepis cirrhifer,Thread-sail filefish
600532,Lophius americanus,American angler
600538,Anchoa spinifer,Spicule anchovy
600545,Anchoa mitchilli,Bay anchovy
600547,Cetengraulis edentulus,Atlantic anchoveta
600548,Cetengraulis mysticetus,Pacific anchoveta
600556,Encrasicholina heteroloba,Shorthead anchovy
600572,Labrus bergylta,Ballan wrasse
600637,Hexanchus griseus,Bluntnose sixgill shark
600641,Echinorhinus brucus,Bramble shark
600645,Lepidopus caudatus,Silver scabbardfish
600646,Aphanopus carbo,Black scabbardfish
600648,Centrophorus granulosus,Gulper shark
600650,Centrophorus lusitanicus,Lowfin gulper shark
600653,Centrophorus squamosus,Leafscale gulper shark
600656,Centroscyllium fabricii,Black dogfish
600662,Centroscymnus coelolepis,Portuguese dogfish
600663,Centroscymnus crepidater,Longnose velvet dogfish
600664,Centroscymnus cryptacanthus,Shortnose velvet dogfish
600669,Dalatias licha,Kitefin shark
600670,Deania calcea,Birdbeak dogfish
600679,Etmopterus granulosus,Southern lanternshark
600687,Etmopterus spinax,Velvet belly lantern shark
600692,Lichia amia,Leerfish
600695,Limanda limanda,Dab
600700,Scymnodon ringens,Knifetooth dogfish
600704,Somniosus rostratus,Little sleeper shark
600706,Lithognathus mormyrus,Striped seabream
600708,Squalus blainville,Longnose spurdog
600716,Lophius piscatorius,Angler
600718,Oxynotus centrina,Angular roughshark
600719,Oxynotus paradoxus,Sailfin roughshark
600727,Squatina argentina,Argentine angelshark
600736,Squatina squatina,Angelshark
600747,Carcharias taurus,Sand tiger shark
600751,Carcharodon carcharias,Great white shark
600752,Isurus oxyrinchus,Shortfin mako
600753,Isurus paucus,Longfin mako
600754,Maurolicus muelleri,Pearlsides
600785,Mugil cephalus,Flathead mullet
600790,Mullus barbatus barbatus,Red mullet
600807,Galeus melastomus,Blackmouth catshark
600845,Scyliorhinus canicula,Smallspotted catshark
600850,Oblada melanura,Saddled seabream
600854,Scyliorhinus stellaris,Nursehound
600864,Carcharhinus brachyurus,Copper shark
600868,Carcharhinus falciformis,Silky shark
600874,Carcharhinus limbatus,Blacktip shark
600875,Carcharhinus longimanus,Oceanic whitetip shark
600877,Carcharhinus melanopterus,Blacktip reef shark
600878,Carcharhinus obscurus,Dusky shark
600880,Carcharhinus plumbeus,Sandbar shark
600884,Carcharhinus sorrah,Spottail shark
600886,Galeocerdo cuvier,Tiger shark
600889,Pagellus acarne,Axillary seabream
600890,Pagellus bogaraveo,Blackspot seabream
600893,Pagellus erythrinus,Common pandora
600898,Prionace glauca,Blue shark
600912,Sphyrna lewini,Scalloped hammerhead
600917,Sphyrna zygaena,Smooth hammerhead
600918,Caesio caerulaurea,Blue and gold fusilier
600923,Caesio teres,Yellow and blueback fusilier
600940,Dasyatis akajei,Red stingray
600941,Atrobucca nibe,Longfin kob
600948,Sciades couma,Couma sea catfish
600949,Notarius grandicassis,Thomas sea catfish
600950,Platycephalus indicus,Bartail flathead
600952,Sciades parkeri,Gillbacker sea catfish
600954,Amphiarius phrygiatus,Kukwari sea catfish
600955,Sciades proops,Crucifix sea catfish
600956,Aspistor quadriscutis,Bressou sea catfish
600958,Bagre bagre,Coco sea catfish
600972,Ablennes hians,Flat needlefish
600977,Tylosurus crocodilus crocodilus,Hound needlefish
600983,Caulolatilus chrysops,Atlantic goldeye tilefish
600988,Alectis ciliaris,African pompano
600993,Decapterus macarellus,Mackerel scad
600998,Naucrates ductor,Pilotfish
601002,Pseudocaranx dentex,White trevally
601004,Selene vomer,Lookdown
601005,Seriola dumerili,Greater amberjack
601009,Trachinotus cayennensis,Cayenne pompano
601022,Diodon hystrix,Spot-fin porcupinefish
601023,Trisopterus esmarkii,Norway pout
601042,Lepidocybium flavobrunneum,Escolar
601043,Sardinella aurita,Round sardinella
601044,Ruvettus pretiosus,Oilfish
601047,Sardinella maderensis,Madeiran sardinella
601048,Diapterus rhombeus,Caitipa mojarra
601049,Eucinostomus argenteus,Silver mojarra
601055,Saurida undosquamis,Brushtooth lizardfish
601059,Hemiramphus brasiliensis,Ballyhoo
601072,Lampris guttatus,Opah
601077,Lobotes surinamensis,Atlantic tripletail
601078,Lophius gastrophysus,Blackfin goosefish
601079,Megalops atlanticus,Tarpon
601084,Scomberesox saurus saurus,Atlantic saury
601090,Mugil liza,Liza
601110,Polydactylus octonemus,Atlantic threadfin
601129,Haemulon bonariense,Black grunt
601133,Anchoa hepsetus,Broad-striped anchovy
601142,Haemulon steindachneri,Chere-chere grunt
601146,Pomadasys corvinaeformis,Roughneck grunt
601149,Priacanthus arenatus,Atlantic bigeye
601150,Heteropriacanthus cruentatus,Glasseye
601163,Anchoa nasus,Longnose anchovy
601164,Sparus aurata,Gilthead seabream
601165,Bairdiella chrysoura,Silver croaker
601166,Bairdiella ronchus,Ground croaker
601168,Ctenosciaena gracilicirrhus,Barbel drum
601169,Cynoscion acoupa,Acoupa weakfish
601170,Cynoscion arenarius,Sand weakfish
601181,Sphoeroides maculatus,Northern puffer
601184,Nebris microps,Smalleye croaker
601187,Paralonchurus brasiliensis,Banded croaker
601191,Sciaenops ocellatus,Red drum
601196,Stellifer rastrifer,Rake stardrum
601198,Stromateus fiatola,Blue butterfish
601203,Diplectrum formosum,Sand seabass
601205,Hyporthodus flavolimbatus,Yellowedge grouper
601206,Hyporthodus mystacinus,Misty grouper
601207,Hyporthodus nigritus,Warsaw grouper
601208,Hyporthodus niveatus,Snowy grouper
601209,Mycteroperca bonaci,Black grouper
601211,Mycteroperca interstitialis,Yellowmouth grouper
601212,Mycteroperca microlepis,Gag
601213,Mycteroperca phenax,Scamp
601214,Mycteroperca rubra,Mottled grouper
601215,Mycteroperca tigris,Tiger grouper
601216,Mycteroperca venenosa,Yellowfin grouper
601217,Paranthias furcifer,Creole-fish
601219,Archosargus rhomboidalis,Western Atlantic seabream
601221,Calamus bajonado,Jolthead porgy
601235,Sphyraena barracuda,Great barracuda
601236,Sphyraena guachancho,Guachanche barracuda
601239,Lagocephalus laevigatus,Smooth puffer
601248,Dasyatis guttata,Longnose stingray
601250,Aetobatus narinari,Spotted eagle ray
601256,Acanthurus dussumieri,Eyestripe surgeonfish
601258,Acanthurus lineatus,Lined surgeonfish
601260,Acanthurus triostegus,Convict surgeonfish
601261,Acanthurus xanthopterus,Yellowfin surgeonfish
601262,Ctenochaetus striatus,Striated surgeonfish
601263,Naso hexacanthus,Sleek unicornfish
601264,Naso lituratus,Orangespine unicornfish
601265,Naso unicornis,Bluespine unicornfish
601278,Trachurus mediterraneus,Mediterranean horse mackerel
601279,Trachurus picturatus,Blue jack mackerel
601288,Trichiurus lepturus,Largehead hairtail
601300,Ariomma indicum,Indian driftfish
601306,Umbrina cirrosa,Shi drum
601309,Aulostomus chinensis,Chinese trumpetfish
601311,Odonus niger,Redtoothed triggerfish
601319,Beryx decadactylus,Alfonsino
601320,Beryx splendens,Splendid alfonsino
601321,Bothus pantherinus,Leopard flounder
601327,Mullus surmuletus,Striped red mullet
601334,Osmerus eperlanus,European smelt
601336,Pegusa lascaris,Sand sole
601338,Paralichthys dentatus,Summer flounder
601340,Phycis blennoides,Greater forkbeard
601341,Platichthys flesus,Flounder
601342,Pleuronectes platessa,European plaice
601343,Pollachius virens,Saithe
601348,Scophthalmus maximus,Turbot
601350,Sardina pilchardus,European pilchard
601351,Paralichthys olivaceus,Bastard halibut
601352,Sebastes viviparus,Norway redfish
601353,Serranus cabrilla,Comber
601356,Spondyliosoma cantharus,Black seabream
601357,Sprattus sprattus,European sprat
601363,Trachinus draco,Greater weever
601365,Trachurus trachurus,Atlantic horse mackerel
601366,Chelidonichthys lucerna,Tub gurnard
601367,Trisopterus luscus,Pouting
601370,Zeus faber,John dory
601371,Hippoglossus hippoglossus,Atlantic halibut
601381,Melanogrammus aeglefinus,Haddock
601382,Microstomus kitt,Lemon sole
601383,Molva dypterygia,Blue ling
601385,Etelis coruscans,Flame snapper
601391,Etelis oculatus,Queen snapper
601403,Lutjanus analis,Mutton snapper
601406,Lutjanus erythropterus,Crimson snapper
601407,Lutjanus argentimaculatus,Mangrove red snapper
601408,Lutjanus argentiventris,Yellow snapper
601417,Lutjanus bohar,Two-spot red snapper
601423,Lutjanus campechanus,Northern red snapper
601450,Cyprinus carpio carpio,Common carp
601452,Chirocentrus nudus,Whitefin wolf-herring
601453,Dussumieria acuta,Rainbow sardine
601454,Dussumieria elopsoides,Slender rainbow sardine
601455,Etrumeus teres,Round herring
601456,Etrumeus whiteheadi,Whiteheads round herring
601458,Spratelloides gracilis,Silverstriped round herring
601466,Sprattus fuegensis,Falkland sprat
601470,Clupeonella cultriventris,Black Sea sprat
601477,Sardinops sagax,South American pilchard
601478,Harengula clupeola,False herring
601479,Harengula humeralis,Redear herring
601480,Harengula jaguana,Scaled herring
601484,Opisthonema libertate,Pacific thread herring
601486,Opisthonema oglinum,Atlantic thread herring
601494,Herklotsichthys quadrimaculatus,Bluestripe herring
601505,Sardinella janeiro,Brazilian sardinella
601507,Sardinella fimbriata,Fringescale sardinella
601508,Sardinella gibbosa,Goldstripe sardinella
601510,Sardinella lemuru,Bali sardinella
601511,Sardinella longiceps,Indian oil sardine
601519,Sardinella zunasi,Japanese sardinella
601520,Clupea pallasii pallasii,Pacific herring
601530,Strangomera bentincki,Araucanian herring
601574,Alosa aestivalis,Blueback shad
601582,Alosa mediocris,Hickory shad
601583,Alosa pseudoharengus,Alewife
601584,Alosa sapidissima,American shad
601587,Brevoortia aurea,Brazilian menhaden
601589,Brevoortia patronus,Gulf menhaden
601590,Brevoortia pectinata,Argentine menhaden
601592,Brevoortia tyrannus,Atlantic menhaden
601593,Ethmidium maculatum,Pacific menhaden
601594,Ethmalosa fimbriata,Bonga shad
601595,Hilsa kelee,Kelee shad
601596,Tenualosa ilisha,Hilsa shad
601600,Tenualosa toli,Toli shad
601604,Dorosoma cepedianum,American gizzard shad
601608,Clupanodon thrissa,Chinese gizzard shad
601609,Konosirus punctatus,Konoshiro gizzard shad
601616,Nematalosa nasus,Blochs gizzard shad
601619,Anodontostoma chacunda,Chacunda gizzard shad
601625,Ilisha africana,West African ilisha
601627,Ilisha elongata,Elongate ilisha
601641,Pellona ditchela,Indian pellona
601643,Pellona harroweri,American coastal pellona
601655,Odontognathus mucronatus,Guiana longfin herring
601659,Engraulis anchoita,Argentine anchoita
601661,Engraulis capensis,Cape anchovy
601663,Engraulis japonicus,Japanese anchovy
601664,Engraulis mordax,Californian anchovy
601684,Anchoa choerostoma,Bermuda anchovy
601696,Atherina boyeri,Big-scale sand smelt
601706,Chromis chromis,Damselfish
601707,Sciaena umbra,Brown meagre
601722,Lepidotrigla cavillone,Large-scaled gurnard
601729,Muraena helena,Mediterranean moray
601730,Gymnothorax unicolor,Brown moray
601732,Mola mola,Ocean sunfish
601733,Molva macrophthalma,Spanish ling
601734,Mora moro,Common mora
601735,Liza aurata,Golden grey mullet
601736,Liza saliens,Leaping mullet
601747,Phycis phycis,Forkbeard
601749,Diplodus puntazzo,Sharpsnout seabream
601752,Diplodus annularis,Annular seabream
601753,Diplodus sargus sargus,White seabream
601754,Diplodus vulgaris,Common two-banded seabream
601756,Pagrus pagrus,Common seabream
601758,Scorpaena porcus,Black scorpionfish
601759,Scorpaena scrofa,Largescaled scorpionfish
601766,Spicara smaris,Picarel
601773,Trachinotus ovatus,Derbio
601800,Acanthurus monroviae,Monrovia doctorfish
601823,Tetrapturus belone,Mediterranean spearfish
601825,Macruronus novaezelandiae,Blue grenadier
601827,Merluccius angustimanus,Panama hake
601828,Merluccius capensis,Shallow-water Cape hake
601832,Gnathodentex aureolineatus,Striped large-eye bream
601834,Gymnocranius grandoculis,Blue-lined large-eye bream
601843,Lethrinus mahsena,Sky emperor
601844,Lethrinus borbonicus,Snubnose emperor
601845,Lethrinus microdon,Smalltooth emperor
601846,Lethrinus nebulosus,Spangled emperor
601847,Lethrinus obsoletus,Orange-striped emperor
601848,Lethrinus rubrioperculatus,Spotcheek emperor
601851,Lethrinus harak,Thumbprint emperor
601852,Lethrinus xanthochilus,Yellowlip emperor
601853,Lethrinus amboinensis,Ambon emperor
601854,Lethrinus atkinsoni,Pacific yellowtail emperor
601863,Lethrinus lentjan,Pink ear emperor
601864,Lethrinus olivaceus,Longface emperor
601867,Lethrinus atlanticus,Atlantic emperor
601869,Monotaxis grandoculis,Humpnose big-eye bream
601870,Wattsia mossambica,Mozambique large-eye bream
601874,Enchelyopus cimbrius,Fourbeard rockling
601879,Microgadus proximus,Pacific tomcod
601888,Alectis alexandrinus,African threadfish
601889,Alepes djedaba,Shrimp scad
601893,Atule mate,Yellowtail scad
601894,Campogramma glaycos,Vadigo
601895,Caranx ignobilis,Giant trevally
601899,Caranx rhonchus,False scad
601906,Caranx melampygus,Bluefin trevally
601909,Carangoides orthogrammus,Island trevally
601912,Carangoides talamparoides,Imposter trevally
601917,Caranx sexfasciatus,Bigeye trevally
601918,Carangoides ruber,Bar jack
601923,Carangoides bajad,Orangespotted trevally
601924,Carangoides coeruleopinnatus,Coastal trevally
601926,Carangoides fulvoguttatus,Yellowspotted trevally
601933,Caranx crysos,Blue runner
601935,Caranx latus,Horse-eye jack
601936,Caranx lugubris,Black jack
601937,Chloroscombrus orqueta,Pacific bumper
601938,Decapterus macrosoma,Shortfin scad
601939,Decapterus maruadsi,Japanese scad
601947,Parastromateus niger,Black pomfret
601950,Scomberoides commersonnianus,Talang queenfish
601951,Scomberoides lysan,Doublespotted queenfish
601953,Scomberoides tol,Needlescaled queenfish
601956,Selene brevoortii,Hairfin lookdown
601962,Seriolina nigrofasciata,Blackbanded trevally
601963,Trachinotus blochii,Snubnose pompano
601964,Trachinotus mookalee,Indian pompano
601984,Uraspis uraspis,Whitetongue jack
602005,Antimora rostrata,Blue antimora
602012,Halargyreus johnsonii,Slender codling
602014,Laemonema longipes,Longfin codling
602020,Pseudophycis bachus,Red codling
602023,Tripterophycis gilchristi,Grenadier cod
602058,Dipturus batis,Blue skate
602059,Raja clavata,Thornback ray
602060,Dasyatis pastinaca,Common stingray
602061,Manta birostris,Giant manta
602065,Acipenser stellatus,Starry sturgeon
602066,Acipenser sturio,Sturgeon
602067,Huso huso,Beluga
602081,Rhincodon typus,Whale shark
602420,Gasterosteus aculeatus aculeatus,Three-spined stickleback
602498,Kyphosus saltatrix,Bermuda sea chub
602499,Chelon labrosus,Thicklip grey mullet
602500,Thalassoma pavo,Ornate wrasse
602501,Anarhichas lupus,Wolf-fish
602503,Chimaera monstrosa,Rabbit fish
602508,Epigonus telescopus,Bulls-eye
602530,Petromyzon marinus,Sea lamprey
602531,Notorynchus cepedianus,Broadnose sevengill shark
602532,Ginglymostoma cirratum,Nurse shark
602534,Alopias superciliosus,Bigeye thresher
602535,Alopias vulpinus,Thintail thresher
602540,Mustelus henlei,Brown smooth-hound
602544,Somniosus pacificus,Pacific sleeper shark
602557,Leucoraja erinacea,Little skate
602561,Dipturus laevis,Barndoor skate
602572,Dasyatis centroura,Roughtail stingray
602577,Gymnura altavela,Spiny butterfly ray
602579,Gymnura micrura,Smooth butterfly ray
602589,Hydrolagus colliei,Spotted ratfish
602669,Coregonus autumnalis,Arctic cisco
602674,Coregonus nasus,Broad whitefish
602676,Coregonus pidschian,Humpback whitefish
602678,Coregonus sardinella,Sardine cisco
602691,Salvelinus malma malma,Dolly varden
602692,Stenodus leucichthys,Inconnu
602700,Argentina silus,Greater argentine
602801,Leuciscus idus,Orfe
602951,Scardinius erythrophthalmus,Rudd
603255,Zenopsis nebulosa,Mirror dory
603267,Regalecus glesne,King of herrings
603275,Fistularia tabacaria,Cornet fish
603310,Stereolepis gigas,Giant sea-bass
603334,Mycteroperca xenarcha,Broomtail grouper
603539,Caulolatilus princeps,Ocean whitefish
603542,Rachycentron canadum,Cobia
603565,Eucinostomus gracilis,Graceful mojarra
603574,Diplodus argenteus argenteus,South American silver porgy
603578,Atractoscion nobilis,White weakfish
603611,Pseudopentaceros richardsoni,Pelagic armorhead
603671,Semicossyphus pulcher,California sheephead
603672,Tautogolabrus adspersus,Cunner
603680,Polydactylus approximans,Blue bobo
603810,Anarhichas denticulatus,Northern wolffish
603811,Anarhichas minor,Spotted wolffish
603915,Tetrapturus angustirostris,Shortbill spearfish
603920,Hyperoglyphe bythites,Black driftfish
603962,Sebastes crameri,Darkblotched rockfish
603971,Sebastes goodei,Chilipepper
603979,Sebastes melanops,Black rockfish
603987,Sebastes paucispinis,Bocaccio
603989,Sebastes pinniger,Canary rockfish
604009,Sebastolobus alascanus,Shortspine thornyhead
604014,Bellator militaris,Horned searobin
604025,Prionotus rubio,Blackwing searobin
604029,Prionotus stephanophrys,Lumptail searobin
604037,Pleurogrammus monopterygius,Atka mackerel
604122,Triglopsis quadricornis,Fourhorn sculpin
604140,Scorpaenichthys marmoratus,Cabezon
604215,Citharichthys sordidus,Pacific sanddab
604228,Paralichthys californicus,California flounder
604237,Eopsetta jordani,Petrale sole
604238,Glyptocephalus zachirus,Rex sole
604239,Hippoglossoides platessoides,American plaice
604247,Microstomus pacificus,Dover sole
604248,Parophrys vetulus,English sole
604249,Platichthys stellatus,Starry flounder
604250,Pleuronectes quadrituberculatus,Alaska plaice
604252,Pleuronichthys decurrens,Curlfin sole
604255,Psettichthys melanostictus,West American sand sole
604279,Canthidermis sufflamen,Ocean triggerfish
604313,Normanichthys crockeri,Normans camote
604326,Leucoraja naevus,Cuckoo ray
604329,Raja montagui,Spotted ray
604330,Myliobatis aquila,Common eagle ray
604355,Calotomus carolinus,Carolines parrotfish
604443,Carangoides malabaricus,Malabar trevally
604457,Siganus spinus,Little spinefoot
604458,Terapon jarbua,Jarbua terapon
604460,Epinephelus fuscoguttatus,Brown-marbled grouper
604461,Epinephelus tauvina,Greasy grouper
604462,Gazza minuta,Toothpony
604464,Gnathanodon speciosus,Golden trevally
604465,Diagramma picta,Painted sweetlips
604474,Gymnocephalus cernua,Ruffe
604493,Sphyraena obtusata,Obtuse barracuda
604504,Psettodes belcheri,Spottail spiny turbot
604505,Triodon macropterus,Threetooth puffer
604536,Dentex gibbosus,Pink dentex
604538,Dentex maroccanus,Morocco dentex
604540,Pagrus caeruleostictus,Bluespotted seabream
604543,Acanthopagrus bifasciatus,Twobar seabream
604544,Sillago sihama,Silver sillago
604548,Umbrina canariensis,Canary drum
604552,Raja brachyura,Blonde ray
604556,Trachyrincus scabrus,Roughsnout grenadier
604559,Nemipterus japonicus,Japanese threadfin bream
604569,Miichthys miiuy,Mi-iuy croaker
604582,Labrus merula,Brown wrasse
604583,Liza ramada,Thinlip grey mullet
604589,Lateolabrax japonicus,Japanese seaperch
604641,Dentex congoensis,Congo dentex
604642,Galeorhinus galeus,Tope shark
604702,Notothenia coriiceps,Yellowbelly rockcod
604706,Plotosus lineatus,Striped eel catfish
604708,Pomadasys jubelini,Sompat grunt
604712,Acipenser gueldenstaedtii,Russian sturgeon
604722,Callorhinchus milii,Ghost shark
604739,Acanthurus nigrofuscus,Brown surgeonfish
604740,Acanthurus sohal,Sohal surgeonfish
604744,Acanthurus olivaceus,Orangespot surgeonfish
604747,Acanthurus nigricauda,Epaulette surgeonfish
604750,Acanthurus blochii,Ringtail surgeonfish
604783,Aspius aspius,Asp
604791,Mugil soiuy,So-iuy mullet
604796,Sarda chiliensis lineolata,Pacific bonito
604821,Upeneus vittatus,Yellowstriped goatfish
604824,Otolithes ruber,Tiger-toothed croaker
604826,Plectropomus leopardus,Leopard coralgrouper
604827,Sphyraena jello,Pickhandle barracuda
604887,Spicara maena,Blotched picarel
604921,Scorpaenopsis diabolus,False stonefish
604923,Epinephelus merra,Honeycomb grouper
604943,Citharus linguatula,Atlantic spotted flounder
604959,Elops lacerta,West African ladyfish
604961,Epinephelus goreensis,Dungat grouper
604964,Hoplostethus mediterraneus mediterraneus,Mediterranean slimehead
604988,Lophius vaillanti,Shortspine African angler
604996,Mustelus mustelus,Smooth-hound
604997,Nezumia aequalis,Common Atlantic grenadier
605000,Pentheroscion mbizi,Blackmouth croaker
605002,Polydactylus quadrifilis,Giant African threadfin
605003,Pomadasys incisus,Bastard grunt
605007,Pontinus kuhlii,Offshore rockfish
605008,Promethichthys prometheus,Roudi escolar
605009,Pseudotolithus senegallus,Law croaker
605014,Raja miraletus,Brown ray
605038,Trigla lyra,Piper gurnard
605048,Arripis trutta,Eastern Australian salmon
605066,Pagrus auriga,Redbanded seabream
605068,Psettodes bennettii,Spiny turbot
605071,Alepocephalus rostratus,Rissos smooth-head
605081,Trigloporus lastoviza,Streaked gurnard
605094,Lophius budegassa,Black-bellied angler
605098,Borostomias antarcticus,Borostomias antarcticus
605348,Epinephelus fasciatus,Blacktip grouper
605353,Epinephelus morrhua,Comet grouper
605354,Variola louti,Yellow-edged lyretail
605355,Alosa fallax,Twaite shad
605367,Epinephelus areolatus,Areolate grouper
605368,Rhabdosargus sarba,Goldlined seabream
605382,Trachurus capensis,Cape horse mackerel
605388,Echidna nebulosa,Snowflake moray
605396,Gymnothorax rueppellii,Banded moray
605402,Antennarius coccineus,Scarlet frogfish
605425,Arothron hispidus,White-spotted puffer
605429,Halobatrachus didactylus,Lusitanian toadfish
605492,Raja microocellata,Small-eyed ray
605503,Rhynchobatus djiddensis,Giant guitarfish
605504,Chelidonichthys capensis,Cape gurnard
605524,Epinephelus chlorostigma,Brownspotted grouper
605526,Acanthopagrus berda,Picnic seabream
605531,Cymatoceps nasutus,Black musselcracker
605537,Bolbometopon muricatum,Green humphead parrotfish
605548,Scarus ghobban,Blue-barred parrotfish
605553,Scarus psittacus,Common parrotfish
605555,Scarus rubroviolaceus,Ember parrotfish
605556,Chlorurus sordidus,Daisy parrotfish
605565,Chaetodon lunula,Raccoon butterflyfish
605581,Chaetodon unimaculatus,Teardrop butterflyfish
605604,Cheilinus undulatus,Humphead wrasse
605605,Oxycheilinus unifasciatus,Ringtail maori wrasse
605610,Novaculichthys taeniourus,Rockmover wrasse
605613,Iniistius pavo,Peacock wrasse
605623,Cheilio inermis,Cigar wrasse
605626,Gomphosus varius,Bird wrasse
605652,Neomyxus leuciscus,Acute-jawed mullet
605658,Valamugil engeli,Kanda
605659,Valamugil seheli,Bluespot mullet
605689,Abudefduf sordidus,Blackspot sergeant
605736,Sphyraena novaehollandiae,Australian barracuda
605790,Kuhlia mugil,Barred flagtail
605801,Gerres oblongus,Slender silverbiddy
605804,Kyphosus bigibbus,Grey sea chub
605806,Kyphosus vaigiensis,Brassy chub
605807,Monodactylus argenteus,Silver moony
605831,Cirrhitus pinnulatus,Stocky hawkfish
605838,Melichthys vidua,Pinktail triggerfish
605852,Nemipterus randalli,Randalls threadfin bream
605889,Scolopsis taeniata,Black-streaked monocle bream
605895,Nebrius ferrugineus,Tawny nurse shark
605933,Mustelus lenticulatus,Spotted estuary smooth-hound
605937,Mustelus schmitti,Narrownose smooth-hound
605938,Mustelus asterias,Starry smooth-hound
605948,Triakis megalopterus,Sharptooth houndshark
605952,Paracirrhites forsteri,Blackside hawkfish
605961,Corythoichthys intestinalis,Scribbled pipefish
605983,Mulloidichthys flavolineatus,Yellowstripe goatfish
605984,Mulloidichthys vanicolensis,Yellowfin goatfish
605985,Mulloidichthys pfluegeri,Orange goatfish
605987,Parupeneus barberinus,Dash-and-dot goatfish
605988,Parupeneus trifasciatus,Doublebar goatfish
605990,Parupeneus cyclostomus,Goldsaddle goatfish
605992,Parupeneus indicus,Indian goatfish
605996,Gerres oyena,Common silver-biddy
606006,Pomadasys kaakan,Javelin grunter
606018,Zebrasoma flavescens,Yellow tang
606019,Naso annulatus,Whitemargin unicornfish
606029,Sufflamen bursa,Boomerang triggerfish
606082,Plectropomus areolatus,Squaretail coralgrouper
606317,Totoaba macdonaldi,Totoaba
606356,Acanthopagrus latus,Yellowfin seabream
606358,Chirocentrus dorab,Dorab wolf-herring
606360,Caranx papuensis,Brassy trevally
606366,Plectorhinchus gibbosus,Harry hotlips
606369,Plectorhinchus orientalis,Oriental sweetlips
606396,Cephalopholis argus,Peacock hind
606416,Polydactylus sexfilis,Sixfinger threadfin
606422,Dipturus linteus,Sailray
606426,Pagrus auratus,Squirefish
606440,Epinephelus coeruleopunctatus,Whitespotted grouper
606441,Aethaloperca rogaa,Redmouth grouper
606444,Cephalopholis boenak,Chocolate hind
606447,Cephalopholis hemistiktos,Yellowfin hind
606450,Cephalopholis miniata,Coral hind
606454,Cephalopholis sonnerati,Tomato hind
606456,Cephalopholis urodeta,Darkfin hind
606457,Cromileptes altivelis,Humpback grouper
606465,Epinephelus coioides,Orange-spotted grouper
606468,Epinephelus lanceolatus,Giant grouper
606470,Epinephelus marginatus,Dusky grouper
606473,Epinephelus polyphekadion,Camouflage grouper
606478,Variola albimarginata,White-edged lyretail
606479,Saurida tumbil,Greater lizardfish
606505,Myripristis vittata,Whitetip soldierfish
606507,Sargocentron spiniferum,Sabre squirrelfish
606531,Acanthopagrus schlegelii schlegelii,Black porgy
606532,Oplegnathus fasciatus,Barred knifejaw
606630,Abudefduf vaigiensis,Indo-Pacific sergeant
606660,Epinephelus hexagonatus,Starspotted grouper
606948,Bathyraja eatonii,Eatons skate
606950,Bathyraja maccaini,McCains skate
606952,Bathyraja murrayi,Murrays skate
606953,Amblyraja georgiana,Antarctic starry skate
606957,Diastobranchus capensis,Basketwork eel
606985,Electrona carlsbergi,Electron subantarctic
607039,Dissostichus mawsoni,Antarctic toothfish
607041,Gobionotothen gibberifrons,Humped rockcod
607045,Lepidonotothen squamifrons,Grey rockcod
607047,Lepidonotothen nudifrons,Gaudy notothen
607048,Lepidonotothen larseni,Lepidonotothen larseni
607052,Patagonotothen brevicauda brevicauda,Patagonian rockcod
607055,Trematomus hansoni,Striped rockcod
607120,Mancopsetta maculata antarctica,Antarctic armless flounder
607126,Muraenolepis microps,Smalleye moray cod
607137,Macrourus carinatus,Ridge scaled rattail
607138,Macrourus holotrachys,Bigeye grenadier
607139,Macrourus whitsoni,Whitson's grenadier
607151,Pseudocyttus maculatus,Smooth oreo
607184,Anomalops katoptron,Splitfin flashlightfish
607306,Myripristis kuntee,Shoulderbar soldierfish
607309,Myripristis violacea,Lattice soldierfish
607327,Balistes capriscus,Grey triggerfish
607348,Epinephelus howlandi,Blacksaddle grouper
607354,Epinephelus multinotatus,White-blotched grouper
607366,Epinephelus summana,Summan grouper
607367,Epinephelus timorensis,Yellowspotted grouper
607430,Plectropomus pessuliferus,Roving coralgrouper
607535,Genyatremus luteus,Torroto grunt
607553,Lepophidium brevibarbe,Shortbeard cusk-eel
607557,Polymixia nobilis,Stout beardfish
607613,Rostroraja alba,White skate
607614,Leucoraja circularis,Sandy ray
607616,Dipturus oxyrinchus,Longnosed skate
