Country	Subject Descriptor	Units	Scale	Country/Series-specific Notes	2011	2012	2013	2014	2015	2016	2017	2018	Estimates Start After
Micronesia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,103.740	7,346.278	7,532.575	7,740.335	7,947.698	8,160.528	8,379.985	8,594.133	2011
Moldova	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,381.858	3,415.028	3,613.345	3,836.085	4,112.823	4,412.427	4,736.906	5,083.840	2012
Mongolia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,770.433	5,371.639	6,134.479	6,878.997	7,438.360	8,191.690	8,867.927	9,718.360	2011
Montenegro	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,628.151	11,800.306	12,101.080	12,546.401	13,013.983	13,529.856	14,078.530	14,648.823	2011
Morocco	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,074.651	5,265.182	5,537.506	5,859.102	6,217.200	6,623.581	7,084.781	7,582.150	2011
Mozambique	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,089.850	1,169.166	1,262.958	1,363.829	1,473.154	1,589.695	1,715.903	1,851.916	2010
Myanmar	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,324.606	1,405.028	1,490.527	1,588.071	1,694.864	1,812.240	1,939.383	2,076.425	2006
Namibia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,399.340	7,771.696	8,159.879	8,579.862	9,055.574	9,565.051	10,109.665	10,683.834	2008
Nepal	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,249.106	1,308.068	1,347.624	1,407.113	1,470.923	1,540.079	1,613.656	1,690.417	2011
Netherlands	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	41,976.865	42,193.688	42,493.492	43,699.879	45,185.700	46,835.770	48,643.863	50,589.132	2011
New Zealand	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	28,667.352	29,730.304	30,803.758	31,966.565	33,121.867	34,392.449	35,720.273	37,079.302	2011
Nicaragua	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,228.434	4,458.432	4,641.611	4,849.741	5,069.701	5,312.147	5,570.720	5,841.230	2007
Niger	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	742.428	815.352	853.428	898.487	941.950	987.408	1,045.209	1,102.979	2009
Nigeria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,582.182	2,720.006	2,883.437	3,062.892	3,255.081	3,460.818	3,683.705	3,908.069	2006
Norway	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	53,157.754	55,008.773	56,663.474	58,413.780	60,157.008	62,006.701	63,962.862	65,977.062	2012
Oman	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	28,148.410	29,166.385	29,924.880	30,591.665	31,292.325	32,100.158	32,966.683	33,929.630	2009
Pakistan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,785.763	2,880.667	2,969.682	3,066.822	3,162.546	3,260.203	3,364.825	3,472.865	2011
Panama	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,112.472	15,616.749	16,993.815	18,256.593	19,518.985	20,816.141	22,182.384	23,588.039	2010
Papua New Guinea	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,582.257	2,797.333	2,896.828	3,043.726	3,636.731	3,757.018	3,886.390	3,982.556	2010
Paraguay	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	6,223.860	6,136.460	6,787.729	7,099.101	7,433.859	7,789.524	8,167.466	8,561.376	2011
Peru	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,062.278	10,719.482	11,403.041	12,156.683	12,945.694	13,793.907	14,709.421	15,683.710	2009
Philippines	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,152.002	4,429.589	4,691.152	4,947.089	5,210.056	5,495.825	5,806.509	6,133.058	2011
Poland	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	20,012.738	20,591.752	21,005.387	21,693.048	22,511.924	23,520.618	24,639.291	25,841.938	2012
Portugal	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	23,657.824	23,385.171	23,185.211	23,769.001	24,597.662	25,550.381	26,563.921	27,616.725	2012
Qatar	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	97,987.008	102,211.002	105,091.422	108,228.721	113,174.849	117,987.503	124,125.858	129,770.684	2011
Romania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	12,519.981	12,808.079	13,251.919	13,809.462	14,443.061	15,197.847	16,070.879	17,019.516	2011
Russia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,767.872	17,708.744	18,670.529	19,829.491	21,049.544	22,345.499	23,736.530	25,207.181	2012
Rwanda	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,384.040	1,485.910	1,591.706	1,704.430	1,822.224	1,949.440	2,086.882	2,222.480	2010
Samoa	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,989.751	6,148.960	6,282.412	6,581.580	6,863.265	7,154.516	7,464.718	7,783.208	2011
San Marino	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units										
São Tomé and Príncipe	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,251.728	2,337.208	2,432.933	2,577.870	3,553.587	5,245.804	5,823.228	5,942.988	2010
Saudi Arabia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	29,400.677	31,275.494	32,469.335	33,784.556	35,289.419	36,868.654	38,531.393	40,242.212	2010
Senegal	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,974.900	2,026.547	2,086.382	2,167.031	2,253.972	2,350.574	2,456.171	2,568.808	2011
Serbia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	10,404.783	10,404.838	10,787.579	11,222.081	11,700.079	12,242.292	12,849.152	13,515.167	2011
Seychelles	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	24,394.847	25,229.476	26,168.907	27,415.723	28,700.477	30,026.811	31,415.472	32,836.120	2011
Sierra Leone	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,131.296	1,344.251	1,559.945	1,770.884	1,974.908	2,048.009	2,126.650	2,209.183	2011
Singapore	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	59,594.788	60,409.977	61,567.275	64,883.616	67,785.944	70,770.518	73,885.108	77,076.029	2011
Slovak Republic	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	23,365.993	24,249.107	24,971.877	26,131.136	27,491.511	29,025.864	30,665.604	32,389.015	2012
Slovenia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	28,435.775	28,195.237	28,013.938	28,932.179	30,007.286	31,147.926	32,358.284	33,603.027	2011
Solomon Islands	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,188.875	3,345.346	3,458.499	3,578.552	3,704.644	3,831.839	3,966.625	4,097.716	2010
South Africa	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,028.578	11,375.476	11,750.368	12,238.386	12,760.356	13,296.207	13,837.633	14,393.730	2011
South Sudan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,206.232	1,006.159	1,324.097	1,975.656	2,082.704	2,366.165	2,725.468	3,046.790	2008
Spain	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	30,477.651	30,557.473	30,620.152	31,528.713	32,672.964	33,920.173	35,256.881	36,663.626	2012
Sri Lanka	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,676.368	6,106.587	6,550.219	7,082.972	7,643.182	8,253.125	8,917.486	9,632.662	2011
St. Kitts and Nevis	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	16,415.521	16,240.955	16,495.296	17,017.566	17,580.738	18,201.264	18,858.329	19,532.476	2003
St. Lucia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	13,010.509	13,103.724	13,381.419	13,860.309	14,393.934	14,985.679	15,567.693	16,161.519	2011
St. Vincent and the Grenadines	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,522.113	11,776.118	12,081.341	12,553.697	13,173.795	13,908.771	14,620.565	15,364.534	2001
Sudan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,682.989	2,544.629	2,550.101	2,599.529	2,694.235	2,759.601	2,845.628	2,946.251	2006
Suriname	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	11,815.341	12,397.848	12,989.557	13,655.670	14,411.007	15,222.128	16,094.124	17,016.648	2007
Swaziland	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	5,835.244	5,781.529	5,806.655	5,869.951	5,936.176	6,007.713	6,078.622	6,149.245	2008
Sweden	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	40,228.867	41,191.472	42,037.484	43,560.021	45,188.739	46,957.108	48,838.659	50,766.293	2012
Switzerland	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	44,451.649	45,417.809	46,474.950	47,958.375	49,552.153	51,232.575	53,030.134	54,875.579	2011
Syria	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2010
Taiwan Province of China	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	37,742.536	38,749.200	40,392.855	42,617.167	45,198.121	48,012.139	51,213.499	54,699.452	2012
Tajikistan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,079.448	2,228.600	2,373.963	2,513.631	2,662.233	2,821.475	2,992.170	3,172.314	2011
Tanzania	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,469.191	1,566.713	1,670.206	1,790.172	1,916.652	2,050.206	2,191.206	2,339.054	2006
Thailand	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,390.124	10,125.581	10,848.738	11,481.604	12,133.339	12,892.600	13,736.510	14,635.766	2011
Timor-Leste	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,028.304	9,872.853	10,783.696	11,821.218	12,965.226	14,232.778	15,495.980	16,870.752	2009
Togo	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,048.168	1,096.206	1,145.937	1,205.916	1,270.527	1,331.166	1,392.862	1,448.037	2010
Tonga	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,344.260	7,547.986	7,753.900	8,015.547	8,289.572	8,579.356	8,885.691	9,136.664	2006
Trinidad and Tobago	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	19,738.311	20,087.133	20,746.281	21,599.544	22,494.241	23,440.428	24,448.715	25,480.775	2010
Tunisia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	9,359.289	9,774.735	10,200.293	10,731.722	11,347.943	11,984.558	12,665.355	13,380.291	2010
Turkey	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	14,543.163	15,001.406	15,578.379	16,288.436	17,137.714	18,059.937	19,064.389	20,127.272	2011
Turkmenistan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,842.014	8,718.201	9,394.346	10,178.460	10,983.953	11,917.158	12,930.691	13,927.434	2007
Tuvalu	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,252.770	3,338.152	3,423.059	3,519.832	3,618.088	3,723.049	3,826.114	3,932.112	2011
Uganda	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,399.983	1,414.926	1,459.624	1,530.739	1,617.518	1,710.341	1,809.656	1,914.208	2010
Ukraine	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	7,210.443	7,373.990	7,532.918	7,937.442	8,422.913	8,943.956	9,503.352	10,094.942	2011
United Arab Emirates	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	47,728.782	49,011.592	49,883.581	51,171.315	52,501.492	54,027.361	55,637.681	57,293.824	2009
United Kingdom	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	36,525.407	36,941.063	37,501.699	38,525.705	39,712.701	41,011.696	42,449.558	44,100.621	2010
United States	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	48,328.249	49,922.113	51,248.208	53,327.977	55,837.311	58,436.312	61,133.844	63,676.098	2011
Uruguay	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	15,112.321	15,910.803	16,728.304	17,681.342	18,698.698	19,782.298	20,942.393	22,163.793	2005
Uzbekistan	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,272.773	3,555.082	3,820.645	4,100.654	4,381.703	4,685.095	4,989.077	5,311.313	2010
Vanuatu	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	4,811.644	4,916.207	5,093.798	5,297.331	5,494.634	5,703.034	5,923.154	6,150.068	2009
Venezuela	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	12,868.123	13,615.820	13,633.605	13,997.275	14,380.349	14,806.400	15,264.875	15,742.780	2010
Vietnam	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	3,358.617	3,547.770	3,750.003	3,976.984	4,223.409	4,490.279	4,781.621	5,090.458	2010
Yemen	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	2,306.658	2,282.669	2,351.456	2,454.964	2,591.912	2,735.649	2,886.588	3,040.895	2008
Zambia	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	1,614.788	1,721.647	1,841.643	1,980.422	2,124.082	2,283.244	2,445.493	2,626.698	2010
Zimbabwe	Gross domestic product based on purchasing-power-parity (PPP) per capita GDP	Current international dollar	Units	See notes for:  Gross domestic product, current prices (National currency) Population (Persons).	529.633	558.582	589.458	628.553	669.397	713.334	760.578	810.519	2008

International Monetary Fund, World Economic Outlook Database, April 2013
