"site_name","date","time","year","sg_pct_mean","sg_pct_sd","lat","long","day","country"
"Paniquian, Mindoro","10/28/04","15:00:00",2004,10.78,3.15,13.51825,120.9512,302,"Philippines"
"Paniquian, Mindoro","7/8/01","0:00:00",2001,11.3,0.62,13.51825,120.9512,189,"Philippines"
"Paniquian, Mindoro","7/19/09","12:15:00",2009,12.42,2.63,13.51825,120.9512,200,"Philippines"
"Paniquian, Mindoro","1/22/02","11:10:00",2002,12.53,1.26,13.51825,120.9512,22,"Philippines"
"Paniquian, Mindoro","4/28/03","13:45:00",2003,13.25,1.94,13.51825,120.9512,118,"Philippines"
"Paniquian, Mindoro","10/25/08","10:00:00",2008,13.91,1.17,13.51825,120.9512,299,"Philippines"
"Papagaran, Komodo","7/14/03","15:45:00",2003,17.5,5.14,-8.56766,119.72716,195,"Indonesia"
"Papagaran, Komodo","10/15/02","13:40:00",2002,29.2,11.19,-8.56766,119.72716,288,"Indonesia"
"Phetra PT01, Lidee Lek Island","2/9/09","18:00:00",2009,14.65,8.57,6.36582,99.46109,40,"Thailand"
"Phetra PT01, Lidee Lek Island","12/27/07","7:15:00",2007,23.75,12.24,6.36582,99.46109,361,"Thailand"
"Phetra PT01, Lidee Lek Island","11/15/08","6:00:00",2008,30.79,18.44,6.36582,99.46109,320,"Thailand"
"Phetra PT01, Lidee Lek Island","6/12/06","17:56:00",2006,52.7,13.7,6.36582,99.46109,163,"Thailand"
"Phetra PT02, Lidee Yai Island","11/13/08","17:00:00",2008,42.22,1.94,6.46588,99.46522,318,"Thailand"
"Phetra PT02, Lidee Yai Island","12/26/07","6:28:00",2007,47.92,5.45,6.46588,99.46522,360,"Thailand"
"Phetra PT02, Lidee Yai Island","9/8/06","16:30:00",2006,50.15,13.88,6.46588,99.46522,251,"Thailand"
"Phetra PT02, Lidee Yai Island","2/10/09","17:40:00",2009,54.52,2.12,6.46588,99.46522,41,"Thailand"
"Phetra PT03, Lidee Yai Island","1/13/09","16:00:00",2009,22.71,0,6.56119,99.4641,13,"Thailand"
"Phetra PT03, Lidee Yai Island","11/14/08","17:31:00",2008,23.9,16.57,6.56119,99.4641,319,"Thailand"
"Phetra PT03, Lidee Yai Island","2/10/09","8:00:00",2009,27.49,19.82,6.56119,99.4641,41,"Thailand"
"Phetra PT03, Lidee Yai Island","12/26/07","7:48:00",2007,32.43,15.37,6.56119,99.4641,360,"Thailand"
"Phetra PT03, Lidee Yai Island","9/8/06","16:50:00",2006,35.07,17.67,6.56119,99.4641,251,"Thailand"
"Placencia Village, Placencia","1/19/05","9:10:00",2005,14.62,13.18,16.51133,-88.36833,19,"Belize"
"Placencia Village, Placencia","4/27/04","13:00:00",2004,34.77,7.33,16.51133,-88.36833,118,"Belize"
"Placencia Village, Placencia","10/15/08","0:00:00",2008,38.34,11.17,16.51133,-88.36833,289,"Belize"
"Placencia Village, Placencia","7/16/09","0:00:00",2009,38.67,12.13,16.51133,-88.36833,197,"Belize"
"Placencia Village, Placencia","11/14/06","8:44:00",2006,40.62,2.09,16.51133,-88.36833,318,"Belize"
"Placencia Village, Placencia","10/18/07","9:30:00",2007,42.74,2.73,16.51133,-88.36833,291,"Belize"
"Placencia Village, Placencia","1/13/10","0:00:00",2010,44.03,5.78,16.51133,-88.36833,13,"Belize"
"Placencia Village, Placencia","11/20/03","0:00:00",2003,46.37,14.09,16.51133,-88.36833,324,"Belize"
"Pohnpei / Sapwitik","10/11/07","9:50:00",2007,31.83,4.96,7.0039,158.1334,284,"Micronesia (Federated States of)"
"Police Beach, Pulau Gaya, Sabah","10/4/05","12:05:00",2005,0.19,0.09,6.03566,116.01506,277,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","11/1/06","12:30:00",2006,0.32,0.09,6.03566,116.01506,305,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","4/14/10","11:30:00",2010,0.64,0.49,6.03566,116.01506,104,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","11/5/07","12:05:00",2007,0.74,0.15,6.03566,116.01506,309,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","7/1/01","0:00:00",2001,2.54,1.73,6.03566,116.01506,182,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","4/12/02","12:15:00",2002,3.16,1.36,6.03566,116.01506,102,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","10/6/03","12:30:00",2003,3.25,2.07,6.03566,116.01506,279,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","10/8/04","14:30:00",2004,3.39,2.93,6.03566,116.01506,282,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","10/20/08","12:35:00",2008,3.69,1.53,6.03566,116.01506,294,"Malaysia"
"Police Beach, Pulau Gaya, Sabah","10/14/09","12:30:00",2009,3.79,3.58,6.03566,116.01506,287,"Malaysia"
"Punta Gorda / East Snake Caye","12/22/07","14:15:00",2007,18.36,5.46,16.12608,-88.3056,356,"Belize"
"Punta Gorda / East Snake Caye","12/10/08","11:36:00",2008,18.53,4.7,16.12608,-88.3056,345,"Belize"
"Punta Gorda / East Snake Caye","10/23/10","12:18:00",2010,19.78,8.87,16.12608,-88.3056,296,"Belize"
"Punta Gorda / East Snake Caye","10/15/09","12:27:00",2009,21.34,6.55,16.12608,-88.3056,288,"Belize"
"Rhode Island / Fort Getty, Narragansett Bay","7/27/05","10:00:00",2005,48.64,10.11,41.494,-71.39767,208,"United States of America"
"Rhode Island / Fort Getty, Narragansett Bay","7/8/10","1:23:00",2010,52.66,28.41,41.494,-71.39767,189,"United States of America"
"Rhode Island / Fort Getty, Narragansett Bay","7/9/08","11:00:00",2008,63.63,15.13,41.494,-71.39767,191,"United States of America"
"Rhode Island / Fort Getty, Narragansett Bay","7/16/09","11:11:00",2009,71.41,10.86,41.494,-71.39767,197,"United States of America"
"Rhode Island / Fort Getty, Narragansett Bay","10/17/06","11:00:00",2006,74.72,3.15,41.494,-71.39767,290,"United States of America"
"Rhode Island / Fort Getty, Narragansett Bay","7/10/07","9:30:00",2007,86.94,5.94,41.494,-71.39767,191,"United States of America"
"Rhode Island / Prudence Is., Narragansett Bay","7/9/09","11:50:00",2009,39.16,24.3,41.58067,-71.32133,190,"United States of America"
"Rhode Island / Prudence Is., Narragansett Bay","7/12/07","12:00:00",2007,40.47,21.9,41.58067,-71.32133,193,"United States of America"
"Rhode Island / Prudence Is., Narragansett Bay","7/9/10","12:35:00",2010,43.34,19.06,41.58067,-71.32133,190,"United States of America"
"Rhode Island / Prudence Is., Narragansett Bay","7/17/08","13:00:00",2008,54.77,19.63,41.58067,-71.32133,199,"United States of America"
"Rhode Island / Prudence Is., Narragansett Bay","7/18/06","12:00:00",2006,64.47,22.93,41.58067,-71.32133,199,"United States of America"
"Rhode Island / Prudence Is., Narragansett Bay","7/28/05","10:00:00",2005,68.76,26.1,41.58067,-71.32133,209,"United States of America"
"Sabang, Mindoro","7/1/05","14:00:00",2005,6.39,1.63,13.52148,120.97756,182,"Philippines"
"Sabang, Mindoro","1/22/04","7:56:00",2004,10.8,3.33,13.52148,120.97756,22,"Philippines"
"Sabang, Mindoro","10/24/08","17:02:00",2008,11.55,4.12,13.52148,120.97756,298,"Philippines"
"Sabang, Mindoro","7/18/09","12:15:00",2009,11.78,2.48,13.52148,120.97756,199,"Philippines"
"Sabang, Mindoro","4/27/03","15:00:00",2003,12.25,2.53,13.52148,120.97756,117,"Philippines"
"Sabang, Mindoro","1/23/02","9:40:00",2002,13.81,2.78,13.52148,120.97756,23,"Philippines"
"Sabang, Mindoro","10/21/01","8:00:00",2001,14.22,4.1,13.52148,120.97756,294,"Philippines"
"Samal Island","4/20/10","15:51:00",2010,6.87,3.75,7.16665,125.69035,110,"Philippines"
"San Quintin Bay","1/24/05","15:00:00",2005,28.76,25.62,30.4245,-115.98033,24,"Mexico"
"San Quintin Bay","8/3/04","5:30:00",2004,54.73,7.13,30.4245,-115.98033,216,"Mexico"
"Santa Barbara, Abrolhos","10/12/04","6:59:00",2004,6.81,6.35,-17.96171,-38.69723,286,"Brazil"
"Santa Barbara, Abrolhos","1/12/05","7:42:00",2005,6.96,6.01,-17.96171,-38.69723,12,"Brazil"
"Santa Barbara, Abrolhos","4/20/02","0:00:00",2002,13.51,2.88,-17.96171,-38.69723,110,"Brazil"
"Santa Barbara, Abrolhos","10/15/03","15:00:00",2003,18.19,12.84,-17.96171,-38.69723,288,"Brazil"
"Seraya Kecil, Komodo","5/7/05","17:03:00",2005,5.31,3.87,-8.41166,119.8675,127,"Indonesia"
"Seraya Kecil, Komodo","7/15/03","16:23:00",2003,8.37,1.92,-8.41166,119.8675,196,"Indonesia"
"Seraya Kecil, Komodo","10/14/02","12:45:00",2002,9.41,4.44,-8.41166,119.8675,287,"Indonesia"
"Sivasat, Kavieng","10/13/01","11:35:00",2001,13.99,6.16,-2.60935,150.77848,286,"Papua New Guinea"
"Sivasat, Kavieng","1/5/02","7:15:00",2002,16.79,8.76,-2.60935,150.77848,5,"Papua New Guinea"
"South Pohnpei","7/17/01","0:00:00",2001,19.78,4.98,6.7606,158.2627,198,"Micronesia (Federated States of)"
"South Pohnpei","4/12/03","0:00:00",2003,20.34,4.49,6.7606,158.2627,102,"Micronesia (Federated States of)"
"South Pohnpei","11/19/02","0:00:00",2002,21.36,3.62,6.7606,158.2627,323,"Micronesia (Federated States of)"
"South Pohnpei","2/28/04","0:00:00",2004,26.36,8.02,6.7606,158.2627,59,"Micronesia (Federated States of)"
"South Pohnpei","2/12/08","10:30:00",2008,36.46,2.11,6.7606,158.2627,43,"Micronesia (Federated States of)"
"South Pohnpei","12/13/07","11:20:00",2007,44.45,2.11,6.7606,158.2627,347,"Micronesia (Federated States of)"
"South Pohnpei","10/7/09","10:30:00",2009,46.47,0.89,6.7606,158.2627,280,"Micronesia (Federated States of)"
"South Pohnpei","7/14/10","10:30:00",2010,50.19,0.27,6.7606,158.2627,195,"Micronesia (Federated States of)"
"Tamandare, Pernambuco","7/30/04","10:30:00",2004,20.53,2.65,-8.4269,-35.4,212,"Brazil"
"Tamandare, Pernambuco","7/24/02","10:01:00",2002,22.69,1.34,-8.4269,-35.4,205,"Brazil"
"Tamandare, Pernambuco","4/30/03","8:20:00",2003,30.02,0.44,-8.4269,-35.4,120,"Brazil"
"Tarutao TT01, Talowaw Bay","2/4/07","1:52:00",2007,5.65,1.33,6.46452,99.41145,35,"Thailand"
"Tarutao TT02, Talowaw Bay","9/2/07","7:30:00",2007,45.9,12.62,6.36206,99.41253,245,"Thailand"
"Tayrona National Park","7/28/09","10:00:00",2009,63.29,22.47,11.19141,-74.464,209,"Colombia"
"Tayrona National Park","2/15/08","12:00:00",2008,77.79,22.21,11.19141,-74.464,46,"Colombia"
"Trang / Haad Chao Mai Marine Park","10/9/06","18:00:00",2006,12.87,1.93,7.3765,99.31033,282,"Thailand"
"Trang / Haad Chao Mai Marine Park","7/16/08","15:50:00",2008,13.08,2.54,7.3765,99.31033,198,"Thailand"
"Trang / Haad Chao Mai Marine Park","12/25/07","17:04:00",2007,14.28,2.06,7.3765,99.31033,359,"Thailand"
"Trang / Haad Chao Mai Marine Park","1/13/09","16:15:00",2009,17.47,4.13,7.3765,99.31033,13,"Thailand"
"Trang / Ko Muk","12/24/07","16:40:00",2007,13.19,6.29,7.2297,99.2012,358,"Thailand"
"Trang / Ko Muk","10/10/06","17:50:00",2006,13.76,10.03,7.2297,99.2012,283,"Thailand"
"Trang / Ko Muk","1/12/09","16:52:00",2009,14.1,4.23,7.2297,99.2012,12,"Thailand"
"Trang / Ko Muk","4/5/08","15:00:00",2008,15.08,5.4,7.2297,99.2012,96,"Thailand"
"Washington / Dumas Bay","11/1/08","0:00:00",2008,19.49,4.48,47.19379,-122.23449,306,"United States of America"
"Washington / Dumas Bay","7/13/11","10:00:00",2011,22.78,14.98,47.19379,-122.23449,194,"United States of America"
"Washington / Dumas Bay","10/28/09","7:15:00",2009,24.87,16.45,47.19379,-122.23449,301,"United States of America"
"Washington / Dumas Bay","10/19/10","9:00:00",2010,30.48,21.75,47.19379,-122.23449,292,"United States of America"
"Yap/Nimpal","10/19/09","0:00:00",2009,10.2,3.04,9.32,138.0513,292,"Micronesia (Federated States of)"
"Yap/Nimpal","4/20/10","11:19:00",2010,14.42,5.04,9.32,138.0513,110,"Micronesia (Federated States of)"
"Zadar / Novigradsko More","10/13/09","5:05:00",2009,0,0,44.12725,15.29126,286,"Croatia"
"Zadar / Novigradsko More","5/6/11","8:00:00",2011,10.25,7.77,44.12725,15.29126,126,"Croatia"
"Zadar / Novigradsko More","5/9/10","8:00:00",2010,13.76,11.46,44.12725,15.29126,129,"Croatia"
"Zanzibar / Chumbe","3/23/11","11:57:00",2011,8.36,3.49,-6.27766,39.43771,82,"United Republic of Tanzania"
"Zanzibar / Chumbe","11/8/10","10:26:00",2010,11.38,3.91,-6.27766,39.43771,312,"United Republic of Tanzania"
"Zanzibar / Chumbe","7/23/09","11:04:00",2009,11.58,2.54,-6.27766,39.43771,204,"United Republic of Tanzania"
"Zanzibar / Chumbe","11/7/06","11:06:00",2006,13.38,3.67,-6.27766,39.43771,311,"United Republic of Tanzania"
"Zanzibar / Chumbe","11/15/08","11:10:00",2008,13.75,2.53,-6.27766,39.43771,320,"United Republic of Tanzania"
"Zanzibar / Chumbe","10/29/07","12:00:00",2007,14.06,2.37,-6.27766,39.43771,302,"United Republic of Tanzania"
"Zhulin Bay / Bei Hai","10/23/10","13:00:00",2010,3.2,0.82,21.26,109.1692,296,"China"
"Zhulin Bay / Bei Hai","10/18/09","0:00:00",2009,4.55,3,21.26,109.1692,291,"China"
"Zhulin Bay / Bei Hai","1/22/11","13:00:00",2011,6.27,1.77,21.26,109.1692,22,"China"
"Zhulin Bay / Bei Hai","7/12/08","0:00:00",2008,12.53,6.01,21.26,109.1692,194,"China"
