Direct contribution to employment,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Thousands of jobs,5.64771,9.86092,10.5612,8.24174,5.71062,4.06204,4.07909,2.16965,5.02331,7.42536,11.4109,14.9436,25.3706,29.6141,30.3061,31.6191,38.9171,41.8447,64.9893,58.7764,57.7694,59.416,52.6224,59.7514,63.6616,62.739,66.0497,67.9937,67.8969,68.2262,68.678,68.8707,69.34,69.8739,70.7174,71.3838,72.219,72.9095
Percentage share,0.400387,0.688046,0.73936,0.654678,0.524874,0.441195,0.340635,0.200732,0.431696,0.68417,0.970297,1.15961,1.8216,2.01003,1.9542,1.95022,2.34441,2.45648,3.71463,3.26631,3.12211,3.11351,2.66579,2.9194,2.9961,2.90555,2.9784,2.9853,2.90268,2.84008,2.78372,2.71815,2.66472,2.60343,2.5565,2.50605,2.4642,2.41711
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,231.229,220.58,218.521,237.346,219.797,224.811,231.75,262.85,310.137,344.177,395.158,397.861,440.041,478.578,534.105,523.446,517.694,559.419,597.656,608.858,627.49,567.15,575.616,589.764,628.97,648.014,679.601,705.637,730.736,751.402,774.18,801.917,828.724,852.739,874.192,899.527,923.489,947.502
Percentage share,2.08575,1.94732,1.88588,1.99964,1.80615,1.80206,1.81457,2.0146,2.41493,2.70948,3.20601,3.13501,3.38206,3.77119,4.27881,4.24533,4.1294,4.23152,4.32952,4.37628,4.30103,3.99652,4.17503,4.19239,4.36063,4.35821,4.49576,4.56208,4.61883,4.66147,4.72307,4.82049,4.91969,5.00891,5.08574,5.18573,5.27853,5.36736
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,23.4365,26.1689,30.7601,32.3261,34.3703,36.7586,45.1927,49.3342,48.1671,55.1335,58.4446,62.4417,68.9552,76.1438,82.484,80.1764,80.1681,97.5928,100.03,138.288,120.745,114.563,114.492,117.193,121.449,126.612,132.708,136.56,142.498,146.876,150.613,153.508,155.575,158.931,161.465,163.797,166.398,167.985
Percentage share,1.66713,1.79989,2.04053,2.05457,2.0988,2.164,2.5661,2.64201,2.50799,2.79744,2.89777,3.02394,3.24537,3.48683,3.66778,3.46291,3.35385,3.96121,3.93612,5.27716,4.46926,4.11264,3.98522,3.95431,3.9716,4.20453,4.29681,4.31379,4.39422,4.42392,4.43367,4.41901,4.38201,4.38007,4.3424,4.29849,4.26061,4.22071
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.62417,4.3572,4.69754,4.45698,4.39526,4.6828,5.47727,5.72917,5.27205,5.17536,5.06242,5.65214,6.54499,6.71384,6.67054,6.47517,6.56893,7.04038,8.56636,10.9555,12.6529,12.25,10.958,11.6668,11.2002,10.444,10.2708,10.6481,11.1494,11.7288,12.1496,12.4695,12.7755,12.9661,13.139,13.3101,13.4782,13.6392
Percentage share,17.2579,19.8054,19.5731,18.5707,18.3136,18.7312,21.9091,22.0353,20.2771,18.4834,17.4566,18.2327,20.4531,20.345,19.6192,19.6217,19.9058,20.1154,22.5431,27.3887,30.8607,29.2063,25.8034,27.1199,25.7011,23.6582,22.9444,23.5049,24.3437,25.3551,26.0306,26.4777,26.8858,27.1361,27.3799,27.6176,27.847,28.0601
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,10.1825,9.22397,12.7573,10.95,10.1155,9.28729,25.6255,21.7516,13.1567,11.2511,11.3672,15.8005,13.2082,15.865,19.0424,27.631,32.0666,37.0376,31.0388,32.9832,29.5686,30.3676,27.7184,29.3767,27.0138,24.731,21.3963,23.1693,24.0169,24.755,25.5667,26.4564,27.1625,27.9717,28.8133,29.6877,30.4436,31.0559
Percentage share,1.2138,1.07336,1.46695,1.25731,1.16269,1.0735,2.98802,2.54666,1.65147,1.39258,1.41567,1.97855,1.61914,1.89997,2.2102,3.09191,3.39405,3.75856,3.04131,3.1377,2.74107,2.74659,2.44832,2.53238,2.27237,2.03755,1.72652,1.83103,1.85718,1.87121,1.88727,1.9053,1.90752,1.9155,1.92187,1.92988,1.92979,1.91965
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0.328488,0.821331,0.900109,0.739791,1.14088,0.905236,1.13205,1.37419,1.64178,1.3836,1.76418,3.91331,4.36838,3.10128,3.05113,2.76611,2.76579,2.67249,3.08664,2.92606,3.28852,3.28841,3.46926,3.9017,3.77841,5.75649,5.29419,5.43457,5.54092,5.58576,5.65396,5.7048,5.76704,5.87471,5.9759,6.05447,6.1396,6.23549
Percentage share,0.688941,1.70921,1.91072,1.49125,2.20781,1.69472,2.05944,2.54677,2.81784,2.32286,2.88714,6.24677,7.29198,4.8172,4.76087,4.17591,4.11363,3.89508,4.39674,4.06101,4.44479,4.33504,4.14486,4.76789,4.47434,6.61213,5.90368,5.88806,5.83797,5.72749,5.64608,5.55196,5.47328,5.39967,5.32479,5.23478,5.15547,5.08516
Sudan and South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,49.2595,69.7201,65.5058,81.5915,32.5038,45.0454,55.2981,57.7717,34.6129,59.423,60.688,84.2432,97.9994,89.5469,112.117,107.449,124.522,152.005,141.426,153.959,140.199,146.313,129.03,149.3,206.498,235.898,248.011,246.572,254.475,257.036,261.621,266.025,269.957,273.026,276.444,280.011,284.274,289.843
Percentage share,1.06762,1.48394,1.36845,1.64296,0.629488,0.850464,0.978831,0.968263,0.554314,0.918278,0.9075,1.21734,1.42149,1.25666,1.54398,1.43143,1.61671,1.93373,1.75216,1.83388,1.60578,1.60449,1.36712,1.53581,2.06232,2.28732,2.33451,2.25318,2.25767,2.21397,2.18784,2.15986,2.12796,2.0976,2.07139,2.04753,2.02975,2.01812
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,0.690395,3.28115,3.02177,2.76602,2.93172,3.44047,3.38396,3.15744,2.09841,2.6991,4.83358,2.57782,5.33702,5.7115,8.08461,7.15027,7.0483,5.83254,6.22868,4.51554,5.98212,6.47415,6.36552,5.18837,5.74722,4.99542,5.19833,5.40338,5.62438,5.79331,5.89575,5.99113,6.11853,6.24161,6.37433,6.50563,6.62554,6.68516
Percentage share,0.379961,1.73613,1.54474,1.3713,1.41507,1.62393,1.55991,1.41611,0.973664,1.26707,2.24267,1.06137,2.14492,2.25289,3.13719,2.7345,2.65303,2.15358,2.24348,1.58504,2.04006,2.14619,2.05956,1.64587,1.78819,1.52503,1.5576,1.58963,1.63191,1.65815,1.66491,1.66952,1.68282,1.69132,1.70215,1.7123,1.7192,1.71014
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,29.6494,40.2423,40.543,48.0052,57.6797,74.3971,102.743,290.032,252.981,180.812,198.528,223.441,215.428,314.531,322.516,331.399,358.632,372.073,432.834,460.574,415.287,368.308,380,409.445,456.1,474.512,466.826,439.314,428.648,427.543,434.336,444.563,455.47,474.387,491.121,509.382,529.704,550.909
Percentage share,0.588307,0.774096,0.754231,0.86246,0.999889,1.24451,1.66244,4.54265,3.83928,2.66383,2.84239,3.10695,2.90911,4.11997,4.07902,4.04667,4.22705,4.26193,4.81663,4.98844,4.37597,3.7698,3.78062,3.95775,4.27671,4.42853,4.25565,3.91188,3.73368,3.64221,3.61842,3.62164,3.62815,3.64518,3.66238,3.68314,3.71016,3.74154
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,8.51422,13.048,11.0742,6.09006,6.40921,5.0252,6.26087,6.243,3.16177,4.0443,4.11702,3.74104,5.38803,7.06476,9.52717,9.5266,10.2222,11.9021,11.8603,14.3422,14.6651,17.7962,22.2735,23.5716,26.0682,24.8712,26.0481,26.7857,27.5337,27.8041,27.8635,27.9185,27.7729,27.5571,27.3501,27.1325,26.823,26.5202
Percentage share,1.08765,1.80927,1.54845,0.824503,0.832854,0.659499,0.863311,0.893021,0.483307,0.628626,0.626075,0.5557,0.784245,0.989682,1.28366,1.23382,1.27532,1.43554,1.38376,1.62356,1.61144,1.89884,2.3083,2.37324,2.55357,2.40355,2.45569,2.46363,2.47068,2.43409,2.37979,2.32634,2.25777,2.18558,2.11626,2.05222,1.98346,1.91725
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,182.956,140.773,124.535,100.878,133.658,143.413,172.765,168.64,169.689,177.245,180.62,185.815,207.597,214.608,193.98,187.174,210.859,238.955,249.546,255.197,257.153,251.587,251.598,199.758,221.746,218.221,230.575,239.299,248.129,249.705,250.71,251.309,250.714,250.494,250.948,251.656,252.532,253.595
Percentage share,8.88136,7.0927,6.05853,4.7441,6.08271,6.3222,7.3845,7.03672,6.91611,7.06026,7.23427,7.48337,8.13276,8.14886,7.19737,6.71113,7.35656,8.16749,8.30265,8.27146,8.14522,7.86613,7.67293,6.36473,6.8589,6.55627,6.76804,6.83812,6.87653,6.73008,6.59573,6.4644,6.34114,6.23162,6.1537,6.08915,6.03488,5.99167
Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,10.6803,9.08465,10.0491,12.6462,24.5735,34.5414,25.999,43.275,60.1803,61.9118,62.0009,72.5499,141.166,123.339,119.138,122.228,135.357,159.198,145.724,142.505,151.109,173.039,189.813,203.21,189.943,227.471,247.079,261.83,277.773,288.466,297.033,305.659,315.031,325.729,338.019,351.174,364.15,377.318
Percentage share,0.35213,0.292589,0.316669,0.386655,0.725137,0.980829,0.710215,1.16092,1.5559,1.553,1.50235,1.7024,3.20536,2.71351,2.5333,2.53459,2.73796,3.15866,2.79943,2.64957,2.71472,3.00663,3.18471,3.2914,2.96936,3.42914,3.59168,3.67016,3.75471,3.76013,3.73365,3.70499,3.68234,3.67155,3.66323,3.66456,3.66399,3.66531
Democratic Republic of Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,128.479,14.3583,28.8859,33.0161,44.546,57.9002,48.714,48.084,129.984,52.0272,60.2936,78.3132,88.6771,84.937,81.2907,107.672,103.09,106.507,102.216,122.266,127.879,135.613,110.048,142.483,144.086,140.013,137.595,137.691,140.569,144.993,147.763,152.689,157.914,163.212,169.645,176.51,184.61,193.951
Percentage share,2.03115,0.21907,0.424096,0.466513,0.564744,0.698934,0.565234,0.542131,1.41935,0.550047,0.614899,0.765281,0.822162,0.769135,0.717342,0.92583,0.862973,0.864691,0.805868,0.934544,0.948854,0.97546,0.767436,0.963498,0.944957,0.892312,0.848023,0.82147,0.811848,0.810654,0.800137,0.801562,0.804455,0.809479,0.816738,0.825243,0.838534,0.85587
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,2.11889,0.21693,5.52173,2.84605,9.46873,7.36416,7.30926,8.73169,16.7948,14.1131,15.0093,12.9293,13.0877,15.0812,14.1703,17.5277,18.9199,20.1857,19.976,20.183,21.0007,23.1279,24.6305,28.532,31.2404,28.8674,29.2923,30.0119,31.4732,32.8528,34.3736,35.9517,37.5221,38.9047,40.6555,42.6511,45.0841,48.0832
Percentage share,0.188241,0.02,0.461087,0.228025,0.761478,0.581263,0.540838,0.672027,1.229,1.01085,1.10585,0.939072,0.928637,1.03737,0.961614,1.16345,1.227,1.27933,1.23686,1.21912,1.234,1.32151,1.36634,1.53222,1.62385,1.48565,1.49247,1.51387,1.57181,1.62366,1.68034,1.73836,1.79455,1.79951,1.84224,1.8928,1.95877,2.0443
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,55.9276,61.7823,64.0504,58.4245,65.9006,70.1422,75.8121,66.3911,81.0285,80.5018,95.5572,106.803,79.9421,71.1495,129.356,60.5445,130.053,138.443,184.86,148.414,210.433,179.023,152.184,183.913,181.083,176.035,180.955,184.513,186.079,186.77,186.117,189.273,190.279,189.607,191.563,194.703,198.454,206.684
Percentage share,1.24677,1.3348,1.35477,1.18412,1.34429,1.42735,1.51221,1.34993,1.60484,1.53415,1.78597,2.0462,1.6294,1.453,2.80848,1.42049,3.16663,3.51368,4.86817,4.04042,6.01396,4.37498,3.33922,3.60609,3.32559,3.11218,3.08375,3.0349,2.96173,2.87964,2.78245,2.74626,2.68183,2.60858,2.57406,2.55664,2.54786,2.59571
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.49874,1.22181,1.35364,1.3309,1.35489,1.55253,1.80514,1.60786,1.6462,1.76787,1.61557,1.41875,1.35626,1.48336,1.28732,1.43898,1.29391,1.50267,1.53915,1.38183,1.29107,1.45238,1.56702,1.83661,1.45374,1.57766,1.64563,1.66707,1.71654,1.75253,1.7965,1.82106,1.80229,1.78244,1.76745,1.7548,1.75577,1.76233
Percentage share,36.5145,26.46,29.3148,28.8225,26.4077,30.26,35.1834,31.3384,29.1688,31.3245,28.6259,25.1386,24.0314,26.2834,23.4187,24.8101,21.464,24.0493,23.7954,20.6604,18.7975,20.7483,22.027,25.541,20.0279,21.5953,22.3627,22.5176,23.0704,23.4954,24.0249,24.3533,24.1125,23.8581,23.6892,23.5575,23.5705,23.6585
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,7.71177,8.70394,9.46755,9.99364,10.1623,10.5324,8.17506,7.36187,7.02403,7.22352,6.83649,6.71217,6.72256,6.08687,6.03869,5.94023,6.33414,5.79056,5.34958,5.0283,5.25777,5.35462,5.014,5.37351,5.0626,4.95583,4.89005,4.90518,5.06222,5.20421,5.35392,5.50323,5.58503,5.68787,5.79263,5.90807,6.02158,6.1472
Percentage share,31.6077,35.8636,38.599,40.319,40.4521,40.7393,30.7563,27.2848,25.5528,26.1858,24.684,23.8782,23.6842,21.7422,21.815,21.7056,22.8705,20.6599,18.9069,17.6042,18.2344,18.3955,17.0632,18.0788,16.8474,16.3127,15.9209,15.7957,16.1433,16.4542,16.7841,17.0886,17.1981,17.3153,17.4543,17.6032,17.762,17.9512
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,371.217,416.602,431.479,415.639,431.037,437.673,356.698,361.064,352.01,393.995,402.98,414.627,415.47,418.113,572.979,497.067,585.847,696.38,720.165,727.177,687.486,663.596,662.514,637.291,650.691,652.419,628.417,636.603,666.933,686.154,706.889,727.034,749.186,774.589,804.524,827.908,840.394,854.588
Percentage share,3.19891,3.5103,3.65724,3.40912,3.45327,3.44699,2.87376,2.99341,2.89337,3.03262,3.03693,3.09853,3.10291,3.16519,4.15047,3.46401,3.84796,4.44657,4.43995,4.38088,4.09863,3.93378,3.86589,3.63486,3.68959,3.68023,3.62629,3.65235,3.74261,3.76379,3.80977,3.8621,3.92265,3.99563,4.08933,4.14739,4.14991,4.16489
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,5.90021,5.88463,5.74428,6.23412,7.11828,6.76669,6.17006,7.76811,8.53147,8.68977,9.53623,9.30069,8.96889,8.63088,8.86694,8.34166,9.8619,9.91334,9.67153,10.2476,10.8848,10.8677,11.6675,11.455,13.8388,15.4425,16.3982,16.6012,16.8463,16.9008,16.8213,16.7421,16.6203,16.4394,16.211,16.0679,15.8822,15.949
Percentage share,20.4898,20.4714,19.5939,20.3509,21.8529,19.3938,16.6248,19.9694,21.1499,21.2006,23.0459,22.2872,21.393,20.4697,20.8629,19.8718,22.5488,22.1962,21.6409,22.3804,23.7941,24.7262,26.6378,24.3622,29.1581,31.3007,32.5455,32.2711,32.404,32.2036,31.7521,31.2745,30.8236,30.4882,30.0647,29.7993,29.4549,29.5788
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,37.3428,42.4661,43.1143,39.7808,40.6622,45.2654,45.051,46.1914,45.3818,47.329,42.0949,45.7244,47.8896,46.4019,46.5659,45.346,47.806,45.7707,47.4198,50.4265,49.8577,47.8447,49.0733,48.104,53.6173,50.5926,51.2129,53.7614,56.5661,58.6339,60.1784,61.0641,61.8157,62.3153,62.7869,63.4101,63.9551,64.5901
Percentage share,35.6599,39.7084,39.2669,35.0766,35.7049,37.7461,36.6533,36.2481,35.8719,36.936,32.4551,34.2691,34.758,32.4951,32.1934,30.808,31.1123,28.6603,27.9141,28.8077,27.8318,27.6082,27.5916,26.3362,28.7261,26.911,26.9527,27.9854,29.125,29.8908,30.4046,30.6011,30.7593,30.8611,30.9554,31.134,31.2671,31.4424
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,12.3358,13.626,12.4749,11.0882,11.2519,12.0034,13.4502,15.0136,15.2758,14.6961,14.6102,13.9225,14.807,14.8293,13.6939,15.169,15.2848,18.5106,20.0133,19.4599,20.1079,18.0009,16.5117,15.6887,14.4716,14.0406,14.0406,14.3468,15.0285,15.6537,16.1112,16.3216,16.7065,16.7968,16.8641,16.9336,17.0263,17.2137
Percentage share,12.2413,12.6313,11.8358,10.9071,11.5348,12.4656,13.5368,13.6473,13.3399,12.6385,12.2775,11.3547,11.7577,11.3508,10.6757,11.7544,11.6065,13.8741,15.2835,14.6268,15.1389,14.0112,13.0266,12.2224,11.5489,11.1312,11.1191,11.3315,11.7557,12.0995,12.3054,12.4036,12.5429,12.6133,12.6807,12.7762,12.9228,13.1431
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3.46766,2.69491,3.15704,3.41273,3.15402,3.75554,3.87925,4.14636,4.86527,5.01489,5.32195,5.41154,5.84603,6.19833,6.27331,7.46928,8.56703,10.8993,12.7907,14.2302,13.4896,13.2683,13.5542,12.8543,14.9504,16.6565,18.2015,18.4173,19.1152,19.9443,20.8833,21.8912,22.8948,23.9657,24.9859,26.0198,27.0756,28.2089
Percentage share,7.00538,5.2635,5.96794,5.98567,5.45939,6.31706,6.45983,6.66578,7.52154,7.36655,7.6487,7.34164,7.47533,7.46698,7.35424,8.47182,9.3927,11.5696,12.7983,13.5107,12.2537,11.6168,11.3464,10.4103,11.6397,12.745,13.3562,12.9787,12.9645,13.0373,13.1774,13.3529,13.5195,13.6522,13.7735,13.9097,14.0587,14.226
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,8.18929,8.55904,8.56671,7.57687,7.12061,7.12682,7.75512,6.53972,5.82558,5.58537,5.51392,5.30218,4.5018,3.54552,3.97318,2.87036,3.884,3.68591,3.93766,4.41284,3.45943,3.20426,3.50199,4.32564,3.90059,3.67208,3.59354,3.75286,3.91358,4.03774,4.14007,4.23638,4.32167,4.40133,4.45243,4.45298,4.4199,4.39233
Percentage share,22.4857,23.6196,24.0821,21.8852,21.1608,21.3205,22.7136,19.1595,16.8209,15.8244,15.61,14.0088,11.8415,9.43033,10.5069,7.61651,10.1243,9.46392,9.92203,11.0733,8.60276,8.10795,9.19231,11.5662,11.0052,10.713,10.4005,10.7002,11.012,11.2487,11.4194,11.5691,11.685,11.7535,11.7548,11.6398,11.456,11.3845
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,41.241,49.2015,58.3048,58.8478,61.5047,65.2547,50.7614,49.9234,53.409,57.4032,58.1956,61.0714,60.3926,65.8168,72.2676,100.992,114.239,123.57,119.65,113.511,95.8773,95.4429,95.0961,96.9881,100.022,97.4371,96.2662,98.1919,98.9976,99.9754,100.844,101.444,101.679,101.797,101.903,101.828,101.906,102.416
Percentage share,1.87459,2.11036,2.37071,2.28289,2.30494,2.37993,1.74685,1.67346,1.72072,1.78525,1.80053,1.86824,1.8113,1.94484,2.083,2.85306,3.04537,3.27764,3.08628,2.83749,2.31208,2.26787,2.15939,2.14263,2.20412,2.17041,2.09602,2.08971,2.05949,2.03407,2.00756,1.97702,1.94084,1.90534,1.87181,1.83802,1.80809,1.78617
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,3192.53,4702.71,3170.82,2803.99,2796.5,2427.2,2910.08,2452.17,2210.58,2125.08,2060.1,2218.69,2203.03,2312.75,2677.05,2992.68,3007.89,2792.52,2779.99,2504.77,2480.19,2636.02,2617.6,2722.86,2955.23,3032.4,3140.68,3218.96,3334.98,3373.4,3417.22,3469.73,3523.57,3574.56,3621.89,3672.14,3715.67,3692.78
Percentage share,5.44801,7.79117,5.12035,4.41285,4.28694,3.64082,4.27304,3.57444,3.25993,3.06838,2.94066,3.09842,2.95089,3.07628,3.45222,3.71108,3.62562,3.27975,3.20413,2.815,2.69679,2.84537,2.73012,2.78264,2.95646,3.01271,3.11778,3.16934,3.25458,3.26176,3.27371,3.29341,3.31478,3.33706,3.35896,3.38549,3.40684,3.36818
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,261.87,261.673,267.008,256.551,261.129,276.538,304.86,314.53,343.382,359.878,399.884,408.784,439.809,461.989,488.164,465.616,494.07,466.368,427.567,435.692,439.803,432.689,428.55,434.506,440.491,447.141,461.991,486.403,500.808,506.201,511.97,518.191,523.265,523.752,521.677,521.281,519.667,520.197
Percentage share,2.06013,2.01361,2.04079,1.99568,2.05132,2.16088,2.3341,2.36542,2.55897,2.62595,2.84665,2.8373,2.97859,3.09254,3.19138,2.9735,3.10216,2.89161,2.60527,2.593,2.57464,2.57312,2.51402,2.51041,2.51579,2.522,2.58554,2.69942,2.75691,2.7621,2.76977,2.7798,2.78353,2.76379,2.73182,2.71002,2.68309,2.66974
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.93616,1.92579,2.09276,1.9109,2.10221,2.18527,2.79382,3.26393,2.96455,4.04316,3.37623,3.13306,3.19352,3.45193,3.6199,3.12181,2.98955,1.86708,2.20221,2.10448,2.1032,2.13682,2.39911,2.5344,2.86738,2.94073,3.01795,3.06746,3.13449,3.19025,3.23348,3.2914,3.37613,3.45237,3.52624,3.60889,3.71272,3.82472
Percentage share,15.4279,14.5469,15.0288,13.456,13.9664,13.6978,16.4293,18.0607,15.5254,19.7401,15.5305,13.8314,13.6318,14.3585,14.2541,11.7251,11.0076,6.63198,7.53273,7.0835,6.90086,6.98055,7.61215,7.93663,8.84521,8.94209,9.07644,9.14256,9.26819,9.3675,9.42845,9.53063,9.70803,9.86148,10.0062,10.1738,10.3986,10.6427
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,68.9424,78.7466,96.0844,105.932,114.724,129.11,134.266,139.384,143.77,158.619,171.693,162.359,159.178,168.605,169.855,164.511,179.38,189.403,181.895,188.492,194.262,205.702,196.88,213.884,226.876,241.135,252.951,261.388,268.567,274.951,281.511,287.749,293.082,297.158,301.041,305.167,309.557,313.75
Percentage share,1.67534,1.80951,2.15468,2.34312,2.43088,2.58561,2.65831,2.72789,2.77463,2.99707,3.17664,3.04489,2.93147,3.07788,3.04273,2.84086,3.0191,3.0632,2.89346,2.92169,2.91768,3.0969,2.76106,2.8567,2.97511,3.0969,3.20759,3.27631,3.30991,3.3331,3.35882,3.38131,3.39451,3.39497,3.39516,3.39961,3.4083,3.42384
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,195.169,189.49,195.898,205.673,241.416,252.955,236.676,247.716,271.549,279.123,273.078,279.439,296.931,347.6,338.397,369.083,394.059,436.113,459.111,443.979,433.66,478.179,466.008,456.153,475.861,492.352,510.441,518.009,536.588,547.235,559.396,572.76,586.979,601.388,615.244,627.434,640.052,653.914
Percentage share,2.02859,1.87876,1.91221,1.94701,2.21591,2.22794,1.97955,1.99355,2.15487,2.11392,2.03814,2.11289,2.15426,2.25733,2.11604,2.17409,2.32757,2.48385,2.64635,2.51365,2.38896,2.51081,2.37938,2.25801,2.29795,2.34479,2.42569,2.41715,2.4497,2.44521,2.44734,2.45433,2.46443,2.47392,2.48468,2.49207,2.50093,2.51363
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,35.8774,38.8364,44.2887,41.2663,43.7504,49.6601,52.5977,51.5341,50.0407,55.1709,63.5134,66.5503,87.7452,87.8417,81.4074,93.0978,100.543,118.492,115.454,122.116,121.344,101.756,96.0048,90.669,89.6908,91.7721,98.4614,100.967,104.201,107.524,110.984,114.593,118.044,121.243,124.508,127.834,131.432,135.689
Percentage share,3.77259,3.93479,4.35483,4.09794,4.19467,4.53103,4.62195,4.38961,4.37037,4.49641,4.88564,5.11926,6.02645,5.65626,5.13288,5.67669,6.07878,6.66808,6.30899,6.34038,6.19732,5.41541,5.04757,4.97089,4.54131,4.57488,4.78191,4.77972,4.81397,4.85579,4.89939,4.95465,5.00871,5.06342,5.12292,5.18409,5.25641,5.34119
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,42.5283,29.4612,47.9363,66.8111,103.003,106.869,92.7057,102.36,110.692,120.81,139.33,139.741,129.819,130.656,131.511,135.678,138.017,158.586,139.697,127.249,124.969,116.816,111.877,126.441,122.965,122.281,124.401,126.864,130.192,133.393,136.264,138.647,140.429,141.374,141.072,140.391,139.52,138.878
Percentage share,1.00609,0.684804,1.15864,1.54341,2.3846,2.45373,2.08939,2.41198,2.57363,2.78287,3.17138,3.17532,2.91727,2.88951,2.87562,2.92691,2.96275,3.3534,2.9186,2.58789,2.49674,2.26428,2.17327,2.43935,2.36316,2.35492,2.40529,2.46521,2.53743,2.60751,2.67421,2.73745,2.79499,2.83936,2.86191,2.88268,2.90253,2.92724
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,128.651,110.494,118.355,92.6609,99.108,97.6174,116.154,122.947,126.999,139.697,142.422,151.782,160.88,157.106,162.108,227.454,217.244,172.281,190.809,173.081,174.388,173.887,155.06,164.812,171.823,172.243,187.922,190.151,193.747,199.507,206.482,213.964,220.464,225.785,228.451,231.232,234.395,238.623
Percentage share,5.93199,4.95587,5.1589,3.93229,4.16433,3.96993,4.40882,4.5361,4.64112,4.93089,4.85976,5.03676,5.25515,5.088,5.14098,7.08331,6.73506,5.19218,5.51083,4.84423,4.70213,4.63766,3.95614,4.15459,4.26254,4.18747,4.43161,4.35285,4.29612,4.25586,4.241,4.22766,4.21757,4.19164,4.16368,4.14606,4.14332,4.16599
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousands of jobs,1.09835,1.19729,1.40271,1.59231,1.66021,1.69541,1.84906,2.3827,2.33246,2.50909,2.39886,2.49216,2.11232,2.08222,2.19997,2.3026,2.59576,2.52902,2.95279,2.80671,2.61169,2.52974,3.04081,3.30407,2.3797,2.53459,2.68181,2.73339,2.86428,3.00172,3.13144,3.23919,3.3165,3.37411,3.4164,3.45361,3.48981,3.53275
