am_sid,iucn_sid,map_iucn_sid,map_subpop,sciname,cat_code,spp_group
NA,180727,NA,NA,Polynemus melanochir,LC,NA
NA,180731,NA,NA,Clupeichthys goniognathus,LC,NA
NA,180735,NA,NA,Cynoglossus feldmanni,LC,NA
NA,180851,NA,NA,Brachygobius doriae,LC,NA
Fis-146474,180866,NA,NA,Mugilogobius platystomus,LC,NA
NA,180888,NA,NA,Mastacembelus erythrotaenia,LC,NA
NA,180898,NA,NA,Phenacostethus smithi,LC,NA
NA,180924,NA,NA,Brachirus elongatus,LC,NA
Fis-33258,180926,NA,NA,Ambassis miops,LC,NA
NA,180964,NA,NA,Minyclupeoides dentibranchialus,LC,NA
Fis-57183,180966,NA,NA,Achiroides melanorhijnchus,LC,NA
NA,180980,NA,NA,Coilia lindmani,LC,NA
NA,180982,180982,NA,Phenablennius heyligeri,DD,COMBTOOTHBLENNIES
NA,180992,180992,NA,Monotrete cochinchinensis,LC,PUFFERFISH
NA,181e3,NA,NA,Mugilogobius mertoni,LC,NA
NA,181007,NA,NA,Cynoglossus microlepis,LC,NA
NA,181023,NA,NA,Eugnathogobius kabilia,LC,NA
Fis-165256,181029,NA,NA,Eugnathogobius mindora,LC,NA
NA,181048,NA,NA,Mugilogobius rambaiae,LC,NA
Fis-144551,181100,NA,NA,Brachirus pan,LC,NA
Fis-25780,181116,181116,NA,Neopomacentrus taeniurus,DD,DAMSELFISH
Fis-24398,181137,NA,NA,Acanthogobius flavimanus,LC,NA
NA,181156,NA,NA,Datnioides polota,LC,NA
NA,181158,NA,NA,Neosalanx brevirostris,DD,NA
NA,181159,NA,NA,Clupeichthys perakensis,LC,NA
NA,181186,181186,NA,Auriglobus modestus,LC,PUFFERFISH
NA,181196,181196,NA,Carinotetraodon lorteti,LC,PUFFERFISH
NA,181215,NA,NA,Gonialosa modesta,LC,NA
NA,181239,NA,NA,Gonialosa whiteheadi,DD,NA
NA,181262,NA,NA,Clupeoides borneensis,LC,NA
NA,181269,NA,NA,Mugilogobius abei,LC,NA
NA,181280,NA,NA,Oryzias haugiangensis,DD,NA
NA,181303,NA,NA,Eugnathogobius siamensis,LC,NA
NA,181328,NA,NA,Pangasius krempfi,VU,NA
NA,181359,181359,NA,Sotalia guianensis,DD,MARINE_MAMMALS
Fis-161436,181361,181361,NA,Cephaloscyllium signourum,DD,CHONDRICHTHYES
Fis-58490,181547,NA,NA,Microphis brachyurus,LC,NA
Fis-25427,181550,NA,NA,Dalophis boulengeri,LC,NA
NA,181563,NA,NA,Oreochromis salinicola,VU,NA
NA,181567,NA,NA,Aplocheilichthys spilauchen,LC,NA
Fis-29934,181577,NA,NA,Eleotris senegalensis,LC,NA
NA,181608,181608,NA,Tetraodon miurus,LC,PUFFERFISH
NA,181751,181751,NA,Tetraodon duboisi,DD,PUFFERFISH
Fis-27602,181797,NA,NA,Dormitator lebretonis,LC,NA
NA,181807,181807,NA,Tetraodon lineatus,LC,PUFFERFISH
NA,181933,NA,NA,Yongeichthys thomasi,LC,NA
NA,181943,NA,NA,Tylochromis jentinki,LC,NA
Fis-24640,181984,NA,NA,Gobionellus oceanicus,LC,NA
NA,182123,182123,NA,Tetraodon pustulatus,VU,PUFFERFISH
Fis-27575,182165,NA,NA,Gobionellus occidentalis,LC,NA
Fis-24376,182223,NA,NA,Tilapia guineensis,LC,NA
NA,182239,NA,NA,Eleotris daganensis,LC,NA
Fis-28634,182285,NA,NA,Periophthalmus barbarus,LC,NA
NA,182314,182314,NA,Tetraodon mbu,LC,PUFFERFISH
NA,182330,NA,NA,Brycinus longipinnis,LC,NA
Fis-27603,182363,NA,NA,Bostrychus africanus,LC,NA
NA,182370,182370,NA,Tetraodon schoutedeni,DD,PUFFERFISH
NA,182435,NA,NA,Notoglanidium akiri,EN,NA
NA,182470,NA,NA,Tilapia mariae,LC,NA
NA,182498,NA,NA,Tylochromis praecox,DD,NA
NA,182521,NA,NA,Tilapia cabrae,LC,NA
NA,182526,NA,NA,Parailia pellucida,LC,NA
Fis-31165,182549,182549,NA,Elops lacerta,LC,BONEFISH_TARPONS
Fis-23495,182611,NA,NA,Ethmalosa fimbriata,LC,NA
NA,182736,NA,NA,Clarias ngamensis,LC,NA
NA,182745,NA,NA,Chrysichthys walkeri,EN,NA
NA,182779,NA,NA,Arius gigas,NT,NA
NA,182822,NA,NA,Stenogobius kenyae,LC,NA
Fis-125127,182933,NA,NA,Gobioides sagitta,LC,NA
NA,182997,NA,NA,Chrysichthys nigrodigitatus,LC,NA
Fis-19194,183097,NA,NA,Microphis brachyurus ssp. aculeatus,DD,NA
NA,183152,NA,NA,Microphis fluviatilis,DD,NA
Fis-27295,183153,NA,NA,Myrophis plumbeus,LC,NA
Fis-23366,183155,NA,NA,Anguilla mossambica,LC,NA
Fis-26659,183158,NA,NA,Kuhlia rupestris,LC,NA
Fis-4273,183159,NA,NA,Aphanius dispar,LC,NA
Fis-29935,183169,NA,NA,Eleotris vittata,LC,NA
Fis-25468,183171,NA,NA,Liza dumerili,DD,NA
Fis-24460,183177,NA,NA,Bathygobius soporator,LC,NA
Fis-35783,183206,183206,NA,Diplectrum pacificum,LC,MARINEFISH_PART_1
NA,183207,183207,NA,Hypsoblennius paytensis,LC,COMBTOOTHBLENNIES
Fis-169086,183208,NA,NA,Genyatremus pacifici,LC,NA
NA,183209,NA,NA,Cheilopogon papilio,LC,NA
Fis-35604,183210,NA,NA,Symphurus undecimplerus,LC,NA
Fis-113413,183211,NA,NA,Eucinostomus dowii,LC,NA
NA,183212,NA,NA,Malacoctenus gigas,LC,NA
Fis-30649,183213,NA,NA,Selene peruviana,LC,NA
NA,183214,NA,NA,Doryrhamphus excisus,LC,NA
Fis-35605,183215,NA,NA,Symphurus varius,LC,NA
NA,183216,NA,NA,Atherinella panamensis,LC,NA
Fis-23665,183217,NA,NA,Neoopisthopterus tropicus,LC,NA
Fis-113904,183218,NA,NA,Microgobius brevispinis,LC,NA
Fis-113588,183219,NA,NA,Acanthemblemaria macrospilus,LC,NA
Fis-24364,183220,NA,NA,Synodus lucioceps,LC,NA
Fis-138562,183221,NA,NA,Myxodagnus sagitta,VU,NA
Fis-35671,183222,NA,NA,Myrichthys aspetocheiros,LC,NA
NA,183223,NA,NA,Gobionellus liolepis,DD,NA
Fis-28983,183224,NA,NA,Gymnothorax dovii,LC,NA
Fis-24717,183225,NA,NA,Kyphosus analogus,LC,NA
NA,183226,NA,NA,Opistognathus punctatus,LC,NA
Fis-25011,183227,NA,NA,Symphurus atricaudus,LC,NA
NA,183228,NA,NA,Stathmonotus culebrai,LC,NA
Fis-123142,183229,NA,NA,Synchiropus atrilabiatus,LC,NA
Fis-35776,183230,183230,NA,Diplectrum labarum,LC,MARINEFISH_PART_2
NA,183231,NA,NA,Eugerres lineatus,LC,NA
Fis-35583,183232,NA,NA,Monolene maculipinna,LC,NA
Fis-136340,183233,NA,NA,Tomicodon zebra,LC,NA
NA,183234,NA,NA,Aplatophis zorro,DD,NA
Fis-30439,183235,NA,NA,Opisthonema medirastre,LC,NA
NA,183236,NA,NA,Tanyemblemaria alleni,DD,NA
Fis-165597,183237,NA,NA,Ariosoma prorigerum,LC,NA
NA,183238,183238,NA,Guentheridia formosa,LC,PUFFERFISH
NA,183239,183239,NA,Diplectrum maximum,LC,MARINEFISH_PART_2
NA,183240,183240,NA,Chromis crusma,LC,DAMSELFISH
NA,183241,NA,NA,Starksia grammilaga,LC,NA
NA,183242,NA,NA,Ilypnus luculentus,DD,NA
NA,183243,NA,NA,Lythrypnus cobalus,DD,NA
Fis-22986,183244,NA,NA,Anchoa panamensis,LC,NA
Fis-23350,183245,NA,NA,Anchoa ischana,LC,NA
Fis-28985,183246,NA,NA,Gymnothorax panamensis,LC,NA
NA,183247,NA,NA,Poeciliopsis fasciata,NT,NA
Fis-35707,183248,NA,NA,Cynoscion nannus,LC,NA
Fis-35770,183249,NA,NA,Scorpaena sonorae,LC,NA
Fis-113165,183250,NA,NA,Gobiesox adustus,LC,NA
Fis-113153,183251,NA,NA,Ogilbia ventralis,LC,NA
NA,183252,NA,NA,Nebris occidentalis,LC,NA
NA,183253,NA,NA,Axoclinus storeyae,LC,NA
Fis-141528,183254,NA,NA,Schedophilus haedrichi,LC,NA
NA,183255,NA,NA,Gobiosoma nudum,DD,NA
Fis-26930,183256,NA,NA,Anisotremus scapularis,LC,NA
Fis-24542,183257,NA,NA,Dormitator latifrons,LC,NA
NA,183258,NA,NA,Cottoclinus canops,DD,NA
Fis-58216,183259,NA,NA,Apogon atradorsatus,LC,NA
Fis-61198,183260,183260,NA,Scartichthys viridis,LC,COMBTOOTHBLENNIES
Fis-28209,183261,183261,NA,Hemanthias signifer,LC,MARINEFISH_PART_2
NA,183262,183262,NA,Paralabrax callaensis,DD,MARINEFISH_PART_1
Fis-32722,183263,NA,NA,Synodus lacertinus,LC,NA
NA,183264,NA,NA,Heteroconger canabus,DD,NA
NA,183265,NA,NA,Tomicodon vermiculatus,VU,NA
NA,183266,NA,NA,Atherinella nocturna,LC,NA
NA,183267,NA,NA,Leuresthes sardina,NT,NA
Fis-29027,183268,NA,NA,Syacium ovale,LC,NA
Fis-158907,183269,NA,NA,Ogilbia robertsoni,LC,NA
Fis-158899,183270,NA,NA,Ogilbia nudiceps,LC,NA
Fis-29063,183271,NA,NA,Stellifer minor,LC,NA
NA,183272,NA,NA,Cathorops dasycephalus,LC,NA
Fis-113326,183273,NA,NA,Axoclinus nigricaudus,LC,NA
Fis-58684,183274,NA,NA,Tylosurus crocodilus,LC,NA
Fis-28917,183275,183275,NA,Scartichthys gigas,LC,COMBTOOTHBLENNIES
Fis-25000,183276,183276,NA,Sphoeroides lobatus,LC,PUFFERFISH
NA,183277,NA,NA,Lile gracilis,LC,NA
Fis-28025,183278,NA,NA,Cynoscion stolzmanni,LC,NA
NA,183279,NA,NA,Tomicodon humeralis,LC,NA
Fis-113453,183280,NA,NA,Lepidonectes clarkhubbsi,LC,NA
Fis-35764,183281,NA,NA,Pontinus furcirhinus,LC,NA
Fis-22780,183282,NA,NA,Lutjanus inermis,LC,NA
Fis-29645,183283,183283,NA,Pronotogrammus multifasciatus,LC,MARINEFISH_PART_1
Fis-140587,183284,NA,NA,Daector schmitti,VU,NA
Fis-113822,183285,NA,NA,Microgobius emblematicus,LC,NA
NA,183286,NA,NA,Atherinella pachylepis,LC,NA
Fis-28949,183287,NA,NA,Hirundichthys marginatus,LC,NA
NA,183288,NA,NA,Gymnothorax angusticeps,LC,NA
NA,183289,NA,NA,Conodon macrops,LC,NA
NA,183290,NA,NA,Paraclinus beebei,LC,NA
Fis-158908,183291,NA,NA,Ogilbia sedorae,LC,NA
Fis-28886,183292,NA,NA,Trinectes fimbriatus,LC,NA
Fis-13477,183293,NA,NA,Caranx vinctus,LC,NA
Fis-25008,183294,NA,NA,Strongylura exilis,LC,NA
Fis-58147,183295,NA,NA,Hoplopagrus guentherii,LC,NA
NA,183296,NA,NA,Seriolella violacea,LC,NA
Fis-35589,183297,NA,NA,Paraconger californiensis,LC,NA
Fis-26914,183298,NA,NA,Pseudobalistes naufragium,LC,NA
Fis-132621,183300,NA,NA,Bellator farrago,LC,NA
Fis-30513,183301,NA,NA,Porichthys myriaster,LC,NA
Fis-132391,183303,NA,NA,Coralliozetus angelicus,LC,NA
Fis-35775,183304,183304,NA,Diplectrum euryplectrum,LC,MARINEFISH_PART_2
NA,183305,183305,NA,Xyrichtys victori,VU,WRASSE
NA,183306,NA,NA,Gordiichthys combibus,DD,NA
NA,183307,NA,NA,Elacatinus nesiotes,VU,NA
Fis-32760,183308,183308,NA,Ophioblennius steindachneri,LC,COMBTOOTHBLENNIES
Fis-23341,183309,NA,NA,Anchoa argentivittata,LC,NA
Fis-35548,183310,183310,NA,Prionurus laticlavius,LC,SURGEONFISH_TANGS_UNICORNFISH
Fis-29441,183311,NA,NA,Lutjanus novemfasciatus,LC,NA
Fis-148634,183312,NA,NA,Chlopsis apterus,LC,NA
Fis-28964,183313,NA,NA,Pomadasys macracanthus,LC,NA
NA,183314,NA,NA,Poeciliopsis latidens,NT,NA
Fis-143613,183315,NA,NA,Ogcocephalus porrectus,LC,NA
NA,183316,NA,NA,Etropus ciadi,LC,NA
Fis-23530,183317,NA,NA,Haemulon steindachneri,LC,NA
NA,183318,NA,NA,Labrisomus wigginsi,DD,NA
Fis-113620,183319,NA,NA,Coralliozetus springeri,LC,NA
Fis-26967,183320,NA,NA,Paraclinus altivelis,DD,NA
NA,183321,NA,NA,Kyphosus lutescens,LC,NA
Fis-35641,183322,NA,NA,Uropterygius versutus,LC,NA
NA,183323,NA,NA,Gobulus crescentalis,LC,NA
Fis-29759,183324,NA,NA,Caranx caninus,LC,NA
NA,183325,NA,NA,Chriolepis lepidota,VU,NA
NA,183326,183326,NA,Pseudogramma axelrodi,NT,MARINEFISH_PART_3
Fis-28657,183327,183327,NA,Semicossyphus darwini,DD,WRASSE
NA,183328,NA,NA,Microlepidotus brevipinnis,LC,NA
Fis-113429,183329,NA,NA,Apogon atricaudus,LC,NA
Fis-169081,183330,NA,NA,Xenistius californiensis,LC,NA
Fis-28887,183331,NA,NA,Trinectes fluviatilis,LC,NA
NA,183332,NA,NA,Paralonchurus rathbuni,LC,NA
Fis-35640,183333,NA,NA,Uropterygius polystictus,DD,NA
Fis-22792,183334,NA,NA,Lutjanus peru,LC,NA
Fis-113838,183335,NA,NA,Lythrypnus pulchellus,LC,NA
Fis-23595,183336,NA,NA,Lile stolifera,LC,NA
Fis-23215,183337,NA,NA,Peprilus simillimus,LC,NA
NA,183338,NA,NA,Gobiesox marijeanae,DD,NA
Fis-29074,183339,NA,NA,Peprilus medius,LC,NA
NA,183340,NA,NA,Eleotris picta,LC,NA
Fis-29078,183341,183341,NA,Canthigaster punctatissima,LC,PUFFERFISH
Fis-35703,183342,NA,NA,Isopisthus remifer,LC,NA
Fis-35781,183343,183343,NA,Paralabrax loro,DD,MARINEFISH_PART_1
Fis-150709,183344,NA,NA,Stellifer walkeri,DD,NA
Fis-113707,183345,NA,NA,Aruma histrio,LC,NA
Fis-30867,183346,NA,NA,Pleuronichthys ritteri,LC,NA
NA,183348,NA,NA,Xenichthys rupestris,DD,NA
Fis-30648,183349,NA,NA,Selene orstedii,LC,NA
NA,183350,NA,NA,Ophioscion simulus,LC,NA
NA,183351,NA,NA,Batrachoides waltersi,LC,NA
NA,183352,NA,NA,Cathorops taylori,DD,NA
Fis-25017,183353,NA,NA,Cosmocampus arctus,LC,NA
NA,183354,NA,NA,Umbrina wintersteeni,DD,NA
Fis-24832,183355,NA,NA,Ophidion scrippsae,LC,NA
NA,183356,NA,NA,Paranebris bauchotae,DD,NA
NA,183357,NA,NA,Colpichthys regis,NT,NA
Fis-29047,183358,NA,NA,Cynoscion reticulatus,LC,NA
NA,183359,NA,NA,Tomicodon absitus,VU,NA
NA,183360,NA,NA,Labrisomus jenkinsi,VU,NA
Fis-62913,183361,183361,NA,Diplectrum sciurus,LC,MARINEFISH_PART_2
Fis-29022,183362,NA,NA,Cyclopsetta querna,LC,NA
Fis-24760,183363,NA,NA,Lythrypnus dalli,LC,NA
NA,183364,NA,NA,Oligoplites saurus,LC,NA
NA,183365,NA,NA,Pontinus sierra,LC,NA
NA,183366,NA,NA,Malacoctenus zonifer,LC,NA
Fis-24701,183367,183367,NA,Hypsypops rubicundus,LC,DAMSELFISH
NA,183368,NA,NA,Bollmannia pawneea,DD,NA
Fis-113740,183369,NA,NA,Chriolepis minutillus,DD,NA
Fis-35790,183370,NA,NA,Astroscopus zephyreus,LC,NA
NA,183371,NA,NA,Starksia posthon,DD,NA
Fis-58269,183372,NA,NA,Quassiremus evionthas,VU,NA
Fis-145637,183373,183373,NA,Hypsoblennius proteus,VU,COMBTOOTHBLENNIES
Fis-35685,183374,NA,NA,Hippoglossina bollmani,LC,NA
Fis-26946,183375,NA,NA,Echidna nocturna,LC,NA
Fis-55967,183376,NA,NA,Symphurus elongatus,LC,NA
Fis-35677,183377,NA,NA,Lepophidium negropinna,LC,NA
Fis-35654,183378,183378,NA,Halichoeres chierchiae,LC,WRASSE
Fis-23181,183379,NA,NA,Lycengraulis poeyi,LC,NA
Fis-35700,183380,NA,NA,Larimus pacificus,LC,NA
NA,183381,NA,NA,Opistognathus rhomaleus,LC,NA
Fis-23348,183382,NA,NA,Anchoa helleri,LC,NA
Fis-151399,183384,NA,NA,Paraconger similis,LC,NA
Fis-131312,183385,NA,NA,Ophichthus longipenis,LC,NA
Fis-35701,183386,NA,NA,Larimus effulgens,LC,NA
NA,183387,NA,NA,Odontognathus panamensis,LC,NA
NA,183388,NA,NA,Umbrina dorsalis,LC,NA
Fis-28883,183389,NA,NA,Achirus klunzingeri,LC,NA
Fis-29032,183390,NA,NA,Ophioscion scierus,LC,NA
NA,183391,NA,NA,Gymnothorax eurygnathos,DD,NA
Fis-35673,183392,NA,NA,Phaenomonas pinnata,LC,NA
NA,183393,NA,NA,Gillellus chathamensis,VU,NA
Fis-156316,183394,NA,NA,Ariopsis guatemalensis,LC,NA
Fis-58212,183395,NA,NA,Xenocys jessiae,VU,NA
Fis-113497,183396,NA,NA,Heteristius cinctus,LC,NA
Fis-26922,183397,183397,NA,Abudefduf troschelii,LC,DAMSELFISH
Fis-35774,183398,183398,NA,Diplectrum eumelum,LC,MARINEFISH_PART_1
Fis-148851,183399,NA,NA,Dactyloscopus metoecus,LC,NA
Fis-113559,183400,NA,NA,Acanthemblemaria balanorum,LC,NA
NA,183401,NA,NA,Gobiesox milleri,DD,NA
Fis-123600,183402,NA,NA,Ophidion imitator,LC,NA
Fis-137761,183403,NA,NA,Apogon pacificus,LC,NA
NA,183404,NA,NA,Galeichthys peruvianus,LC,NA
NA,183405,NA,NA,Opistognathus walkeri,DD,NA
NA,183407,NA,NA,Eleotrica cableae,VU,NA
Fis-113441,183408,NA,NA,Enneanectes reticulatus,LC,NA
Fis-24492,183409,NA,NA,Cheilotrema saturnum,DD,NA
Fis-29095,183410,NA,NA,Bellator loxias,LC,NA
Fis-22908,183411,NA,NA,Merluccius productus,LC,NA
Fis-10984,183412,NA,NA,Haemulon maculicauda,LC,NA
NA,183413,NA,NA,Evorthodus minutus,LC,NA
NA,183414,NA,NA,Opisthopterus macrops,LC,NA
NA,183415,NA,NA,Enypnias aceras,DD,NA
Fis-23727,183416,NA,NA,Pliosteostoma lutipinnis,LC,NA
Fis-113825,183417,NA,NA,Lythrypnus rhizophora,DD,NA
Fis-113162,183418,NA,NA,Arcos rhodospilus,LC,NA
Fis-113426,183419,NA,NA,Apogon retrosella,LC,NA
Fis-113513,183420,NA,NA,Malacoctenus ebisui,LC,NA
Fis-58248,183421,NA,NA,Coryphopterus urospilus,LC,NA
Fis-35789,183422,NA,NA,Prionotus teaguei,VU,NA
Fis-35802,183423,183423,NA,Serranus psittacinus,LC,MARINEFISH_PART_1
NA,183424,NA,NA,Notarius armbrusteri,DD,NA
Fis-26938,183425,183425,NA,Hypsoblennius brevipinnis,LC,COMBTOOTHBLENNIES
Fis-25051,183426,NA,NA,Zalieutes elater,LC,NA
NA,183427,NA,NA,Lepidonectes bimaculatus,VU,NA
Fis-35684,183428,NA,NA,Etropus peruvianus,LC,NA
Fis-30433,183429,NA,NA,Oligoplites refulgens,LC,NA
Fis-132108,183430,NA,NA,Neobythites stelliferoides,LC,NA
Fis-28527,183431,183431,NA,Stegastes acapulcoensis,LC,DAMSELFISH
Fis-35597,183432,NA,NA,Symphurus gorgonae,LC,NA
NA,183433,183433,NA,Halichoeres salmofasciatus,VU,WRASSE
Fis-28954,183434,NA,NA,Anisotremus caesius,LC,NA
NA,183435,NA,NA,Aboma etheostoma,DD,NA
Fis-28933,183436,NA,NA,Gnathophis cinctus,LC,NA
Fis-150746,183437,NA,NA,Lile nigrofasciata,LC,NA
NA,183438,NA,NA,Mugil setosus,LC,NA
Fis-29883,183439,NA,NA,Cynoscion parvipinnis,DD,NA
NA,183440,NA,NA,Eugerres brevimanus,LC,NA
NA,183441,NA,NA,Chriolepis tagus,DD,NA
NA,183442,NA,NA,Opistognathus brochus,DD,NA
Fis-35628,183443,NA,NA,Myripristis leiognathus,LC,NA
Fis-17284,183444,NA,NA,Pareques viola,LC,NA
Fis-29035,183445,NA,NA,Odontoscion eurymesops,VU,NA
Fis-113987,183446,NA,NA,Tomicodon boehlkei,LC,NA
NA,183447,NA,NA,Gymnothorax verrilli,LC,NA
NA,183448,NA,NA,Gobiesox daedaleus,LC,NA
Fis-35788,183449,NA,NA,Prionotus ruscarius,LC,NA
Fis-28981,183450,NA,NA,Enchelycore octaviana,LC,NA
Fis-130311,183451,NA,NA,Bollmannia marginalis,DD,NA
Fis-34881,183452,183452,NA,Chromis limbaughi,LC,DAMSELFISH
NA,183453,NA,NA,Poeciliopsis turrubarensis,LC,NA
Fis-113852,183454,NA,NA,Gobiosoma chiquita,LC,NA
NA,183455,NA,NA,Atherinella nesiotes,DD,NA
NA,183456,NA,NA,Opistognathus galapagensis,LC,NA
NA,183457,NA,NA,Colpichthys hubbsi,EN,NA
NA,183458,NA,NA,Elacatinus digueti,LC,NA
Fis-113951,183459,NA,NA,Microgobius cyclolepis,LC,NA
Fis-136667,183460,183460,NA,Abudefduf declivifrons,LC,DAMSELFISH
NA,183461,NA,NA,Syngnathus carinatus,DD,NA
Fis-138530,183462,183462,NA,Stegastes beebei,VU,DAMSELFISH
Fis-113736,183463,NA,NA,Bollmannia gomezi,DD,NA
Fis-22982,183464,NA,NA,Anchoa lucida,LC,NA
NA,183465,NA,NA,Hermosilla azurea,LC,NA
NA,183466,NA,NA,Gobiomorus maculatus,LC,NA
Fis-35580,183467,NA,NA,Engyophrys sanctilaurentii,LC,NA
Fis-29029,183468,183468,NA,Scarus compressus,LC,WRASSE
NA,183469,NA,NA,Starksia cremnobates,LC,NA
Fis-23347,183470,NA,NA,Anchoa exigua,LC,NA
Fis-29043,183471,NA,NA,Larimus argenteus,LC,NA
Fis-28514,183472,183472,NA,Microspathodon bairdii,LC,DAMSELFISH
NA,183473,183473,NA,Thalassoma virens,VU,WRASSE
Fis-148829,183474,NA,NA,Dactyloscopus minutus,LC,NA
Fis-113923,183475,NA,NA,Ctenogobius sagittula,LC,NA
NA,183476,183476,NA,Serranus stilbostigma,LC,MARINEFISH_PART_1
Fis-28982,183477,NA,NA,Gymnothorax castaneus,LC,NA
Fis-128156,183478,NA,NA,Cilus gilberti,DD,NA
Fis-133385,183479,NA,NA,Protemblemaria bicirrus,LC,NA
Fis-156277,183480,NA,NA,Dactyloscopus fimbriatus,LC,NA
NA,183481,NA,NA,Opistognathus smithvanizi,DD,NA
Fis-138557,183482,NA,NA,Dactyloscopus lacteus,VU,NA
Fis-28205,183483,183483,NA,Abudefduf concolor,LC,DAMSELFISH
NA,183484,NA,NA,Cathorops steindachneri,DD,NA
Fis-28929,183485,NA,NA,Ariosoma gilberti,LC,NA
NA,183486,NA,NA,Malacoctenus margaritae,LC,NA
Fis-62914,183487,NA,NA,Haemulon scudderii,LC,NA
NA,183488,NA,NA,Opistognathus panamaensis,LC,NA
Fis-26928,183489,NA,NA,Anisotremus interruptus,LC,NA
Fis-26950,183490,NA,NA,Gobiosoma paradoxum,LC,NA
Fis-10993,183491,NA,NA,Scorpaena mystes,LC,NA
Fis-113745,183492,NA,NA,Chriolepis zebra,LC,NA
NA,183493,NA,NA,Tomicodon bidens,VU,NA
Fis-35576,183494,NA,NA,Porichthys ephippiatus,LC,NA
NA,183495,NA,NA,Notarius planiceps,LC,NA
NA,183496,NA,NA,Cathorops hypophthalmus,LC,NA
Fis-142281,183497,NA,NA,Dactylagnus parvus,LC,NA
Fis-29009,183498,NA,NA,Ichthyapus selachops,LC,NA
Fis-165022,183499,NA,NA,Occidentarius platypogon,LC,NA
Fis-113601,183500,NA,NA,Chaenopsis deltarrhis,DD,NA
Fis-29061,183501,NA,NA,Stellifer ericymba,LC,NA
Fis-29010,183502,NA,NA,Ophichthus frontalis,LC,NA
NA,183503,NA,NA,Paraclinus monophthalmus,LC,NA
Fis-113158,183504,NA,NA,Arcos erythrops,LC,NA
Fis-113560,183505,NA,NA,Acanthemblemaria crockeri,LC,NA
Fis-35575,183506,NA,NA,Porichthys analis,LC,NA
Fis-28962,183507,NA,NA,Haemulopsis axillaris,LC,NA
Fis-35747,183508,NA,NA,Synodus evermanni,LC,NA
Fis-139556,183509,NA,NA,Chiloconger dentatus,LC,NA
Fis-21918,183510,NA,NA,Corvula macrops,DD,NA
Fis-35669,183511,NA,NA,Letharchus rosenblatti,LC,NA
NA,183512,NA,NA,Syngnathus macrobrachium,DD,NA
NA,183513,NA,NA,Paraclinus fehlmanni,VU,NA
Fis-24699,183514,NA,NA,Pleuronichthys guttulatus,LC,NA
Fis-24921,183515,NA,NA,Pseudupeneus grandisquamis,LC,NA
Fis-22988,183516,NA,NA,Anchoa scofieldi,LC,NA
Fis-113908,183517,NA,NA,Elacatinus puncticulatus,LC,NA
NA,183518,NA,NA,Gobiesox stenocephalus,DD,NA
NA,183519,183519,NA,Halichoeres malpelo,VU,WRASSE
NA,183520,NA,NA,Stromateus stellatus,LC,NA
Fis-113462,183521,NA,NA,Dactyloscopus pectoralis,LC,NA
Fis-28890,183522,NA,NA,Antennatus strigatus,LC,NA
NA,183523,NA,NA,Ophioscion typicus,LC,NA
NA,183524,NA,NA,Cathorops multiradiatus,LC,NA
Fis-148502,183525,NA,NA,Acanthemblemaria mangognatha,VU,NA
Fis-28980,183526,NA,NA,Anarchias galapagensis,LC,NA
Fis-60060,183527,NA,NA,Merluccius gayi,DD,NA
Fis-27844,183528,NA,NA,Paralichthys adspersus,LC,NA
Fis-35653,183529,183529,NA,Halichoeres aestuaricola,DD,WRASSE
Fis-28528,183530,183530,NA,Stegastes arcifrons,LC,DAMSELFISH
Fis-30253,183531,NA,NA,Lutjanus colorado,LC,NA
Fis-30772,183532,NA,NA,Balistes polylepis,LC,NA
Fis-58211,183534,NA,NA,Orthopristis forbesi,DD,NA
Fis-113675,183535,NA,NA,Mccoskerichthys sandae,NT,NA
NA,183536,NA,NA,Macrodon mordax,DD,NA
NA,183537,NA,NA,Etropus ectenes,LC,NA
NA,183538,NA,NA,Micropogonias megalops,LC,NA
Fis-26941,183539,183539,NA,Bodianus eclancheri,LC,WRASSE
NA,183540,NA,NA,Enypnias seminudus,LC,NA
Fis-142283,183541,NA,NA,Dactyloscopus lunaticus,LC,NA
NA,183542,NA,NA,Eugerres periche,DD,NA
Fis-24605,183543,NA,NA,Eucinostomus gracilis,LC,NA
Fis-148850,183544,NA,NA,Dactyloscopus amnis,LC,NA
Fis-26931,183545,NA,NA,Bathygobius andrei,LC,NA
Fis-35664,183546,NA,NA,Callechelys cliffi,DD,NA
Fis-35690,183547,NA,NA,Syacium latifrons,LC,NA
NA,183548,NA,NA,Cirriemblemaria lucasana,LC,NA
NA,183549,NA,NA,Peprilus snyderi,LC,NA
NA,183550,NA,NA,Bascanichthys bascanoides,LC,NA
NA,183551,183551,NA,Hypsoblennius maculipinna,DD,COMBTOOTHBLENNIES
NA,183552,NA,NA,Malacoctenus zacae,LC,NA
Fis-113384,183553,NA,NA,Lonchopisthus sinuscalifornicus,LC,NA
Fis-28928,183554,NA,NA,Heteroconger digueti,LC,NA
Fis-58234,183555,NA,NA,Malacoctenus tetranemus,LC,NA
NA,183556,NA,NA,Melanorhinus cyanellus,LC,NA
Fis-28934,183557,NA,NA,Rhynchoconger nitens,LC,NA
NA,183558,NA,NA,Pherallodiscus funebris,LC,NA
Fis-49263,183559,NA,NA,Ctenosciaena peruviana,DD,NA
NA,183560,NA,NA,Parrella fusca,DD,NA
NA,183561,NA,NA,Bairdiella icistia,LC,NA
