iucn_sid,pop_trend,am_sid,sciname,trend_score
133560,decreasing,URM-Cn-5577,Goniastrea palauensis,-0.5
133563,decreasing,URM-Cn-4927,Montipora peltiformis,-0.5
133564,stable,URM-Cn-5863,Isophyllastrea rigida,0
133565,unknown,URM-Cn-5867,Lobophyllia dentatus,NA
133566,unknown,URM-Cn-5886,Scolymia australis,NA
133567,unknown,NA,Alveopora viridis,NA
133568,unknown,NA,Porites rugosa,NA
133569,decreasing,URM-Cn-5538,Favia favus,-0.5
133570,unknown,URM-Cn-6140,Psammocora profundacella,NA
133571,decreasing,URM-Cn-5609,Platygyra carnosus,-0.5
133572,unknown,NA,Porites echinulata,NA
133573,unknown,URM-Cn-5858,Australomussa rowleyensis,NA
133574,unknown,NA,Porites pukoensis,NA
133575,unknown,SLB-61985,Cladocora arbuscula,NA
133576,decreasing,URM-Cn-4725,Acropora cerealis,-0.5
133577,decreasing,NA,Favites spinosa,-0.5
133578,decreasing,NA,Favites bestae,-0.5
133580,decreasing,NA,Montipora hirsuta,-0.5
133581,unknown,URM-Cn-4985,Pavona diffluens,NA
133582,unknown,URM-Cn-5945,Oxypora crassispinosa,NA
133583,decreasing,NA,Acropora awi,-0.5
133584,stable,SLB-158799,Porites divaricata,0
133585,unknown,URM-Cn-6144,Pseudosiderastrea tayami,NA
133587,unknown,URM-Cn-5794,Sandalolitha dentata,NA
133588,stable,URM-Cn-5478,Euphyllia cristata,0
133589,unknown,URM-Cn-6136,Psammocora explanulata,NA
133590,unknown,URM-Cn-6147,Siderastrea savignyana,NA
133591,stable,URM-Cn-5864,Isophyllia sinuosa,0
133593,decreasing,URM-Cn-5555,Favia stelligera,-0.5
133594,stable,URM-Cn-5539,Favia fragum,0
133595,unknown,W-Hyd-210730,Millepora platyphylla,NA
133597,unknown,SLB-62620,Cantharellus doederleini,NA
133599,decreasing,URM-Cn-4944,Montipora undata,-0.5
133600,decreasing,NA,Acropora indonesia,-0.5
133601,decreasing,URM-Cn-5541,Favia helianthoides,-0.5
133602,decreasing,NA,Isopora togianensis,-0.5
133603,unknown,NA,Millepora murrayi,NA
133604,decreasing,URM-Cn-4713,Acropora arabensis,-0.5
133606,unknown,URM-Cn-5895,Symphyllia recta,NA
133607,unknown,URM-Cn-6020,Goniopora minor,NA
133609,unknown,URM-Cn-5934,Echinophyllia orpheensis,NA
133611,unknown,NA,Madracis senaria,NA
133612,decreasing,NA,Millepora foveolata,-0.5
133613,unknown,URM-Cn-6077,Porites solida,NA
133614,unknown,URM-Cn-5989,Seriatopora guttatus,NA
133615,unknown,NA,Goniopora stutchburyi,NA
133616,decreasing,URM-Cn-5548,Favia matthaii,-0.5
133617,decreasing,SLB-184641,Acropora jacquelineae,-0.5
133618,stable,NA,Madracis auretenra,0
133619,unknown,URM-Cn-5868,Lobophyllia diminuta,NA
133620,decreasing,URM-Cn-5498,Australogyra zelli,-0.5
133621,decreasing,URM-Cn-4849,Acropora valenciennesi,-0.5
133622,decreasing,URM-Cn-4883,Montipora capitata,-0.5
133623,decreasing,URM-Cn-4885,Montipora cebuensis,-0.5
133624,unknown,URM-Cn-5847,Acanthastrea faviaformis,NA
133625,unknown,NA,Porites studeri,NA
133627,decreasing,URM-Cn-5568,Goniastrea peresi,-0.5
133628,decreasing,NA,Cyphastrea agassizi,-0.5
133629,decreasing,NA,Favites stylifera,-0.5
133630,decreasing,NA,Favites micropentagona,-0.5
133631,decreasing,URM-Cn-5534,Erythrastrea flabellata,-0.5
133633,unknown,URM-Cn-5471,Turbinaria mesenterina,NA
133634,decreasing,URM-Cn-5580,Goniastrea retiformis,-0.5
133635,decreasing,URM-Cn-4945,Montipora venosa,-0.5
133636,unknown,URM-Cn-4964,Leptoseris gardineri,NA
133637,unknown,URM-Cn-5980,Pocillopora indiania,NA
133638,decreasing,URM-Cn-5546,Favia maritima,-0.5
133639,decreasing,URM-Cn-4806,Acropora pichoni,-0.5
133640,unknown,SLB-119014,Porites monticulosa,NA
133641,unknown,URM-Cn-6016,Goniopora djiboutiensis,NA
133642,unknown,SLB-62723,Acanthastrea hemprichii,NA
133643,unknown,NA,Goniopora sultani,NA
133644,decreasing,URM-Cn-4751,Acropora formosa,-0.5
133645,unknown,URM-Cn-6078,Porites somaliensis,NA
133646,decreasing,URM-Cn-4947,Montipora verrucosa,-0.5
133647,decreasing,URM-Cn-4809,Acropora polystoma,-0.5
133648,decreasing,URM-Cn-5514,Cyphastrea microphthalma,-0.5
133649,decreasing,SLB-93391,Acropora abrotanoides,-0.5
133650,decreasing,URM-Cn-5566,Favites paraflexuosa,-0.5
133651,decreasing,URM-Cn-5613,Platygyra lamellina,-0.5
133652,decreasing,URM-Cn-5588,Leptastrea transversa,-0.5
133654,decreasing,URM-Cn-5561,Favites chinensis,-0.5
133656,unknown,NA,Echinophyllia costata,NA
133657,stable,URM-Cn-5621,Solenastrea bournoni,0
133659,unknown,URM-Cn-5991,Stylophora kuehlmanni,NA
133660,decreasing,URM-Cn-4731,Isopora cuneata,-0.5
133661,decreasing,URM-Cn-4742,Acropora echinata,-0.5
133662,unknown,URM-Cn-5905,Galaxea fascicularis,NA
133663,stable,URM-Cn-5962,Madracis decactis,0
133664,unknown,NA,Pachyseris involuta,NA
133665,decreasing,URM-Cn-5581,Goniastrea thecata,-0.5
133666,decreasing,URM-Cn-4785,Acropora millepora,-0.5
133667,unknown,NA,Craterestrea levis,NA
133668,unknown,URM-Cn-6030,Goniopora stokesi,NA
133669,decreasing,NA,Cyphastrea decadia,-0.5
133670,unknown,SLB-62753,Micromussa minuta,NA
133671,unknown,NA,Heteropsammia eupsammides,NA
133673,unknown,URM-Cn-5766,Fungia paumotensis,NA
133674,decreasing,URM-Cn-4919,Montipora mollis,-0.5
133675,unknown,URM-Cn-6007,Alveopora tizardi,NA
133676,unknown,URM-Cn-6143,Psammocora vaughani,NA
133679,unknown,URM-Cn-5428,Heteropsammia cochlea,NA
133680,increasing,URM-Cn-6038,Porites astreoides,0.5
133682,decreasing,SLB-93593,Acropora subulata,-0.5
133683,unknown,NA,Pectinia maxima,NA
133684,unknown,NA,Coscinaraea hahazimaensis,NA
133685,unknown,URM-Cn-5995,Stylophora pistillata,NA
133686,unknown,URM-Cn-4961,Leptoseris cailleti,NA
133687,decreasing,NA,Echinopora forskaliana,-0.5
133688,decreasing,URM-Cn-4743,Acropora elegans,-0.5
133689,decreasing,NA,Anacropora reticulata,-0.5
133690,decreasing,URM-Cn-5513,Cyphastrea japonica,-0.5
133692,decreasing,NA,Parasimplastrea sheppardi,-0.5
133693,unknown,URM-Cn-5795,Sandalolitha robusta,NA
133694,unknown,NA,Pectinia ayleni,NA
133695,decreasing,URM-Cn-5505,Caulastrea curvata,-0.5
133696,decreasing,URM-Cn-4876,Montipora altasepta,-0.5
133697,unknown,URM-Cn-5475,Turbinaria reniformis,NA
133698,decreasing,URM-Cn-4791,Acropora nana,-0.5
133700,decreasing,URM-Cn-4911,Montipora hoffmeisteri,-0.5
133701,decreasing,NA,Ctenella chagius,-0.5
133702,unknown,URM-Cn-4987,Pavona duerdeni,NA
133710,decreasing,NA,Sousa chinensis,-0.5
135301,stable,Fis-22920,Oncorhynchus nerka,0
135301,stable,Fis-22920,Oncorhynchus nerka,0
135484,unknown,Fis-130581,Latimeria menadoensis,NA
135491,unknown,Fis-116714,Alosa tanaica,NA
135525,unknown,Fis-23736,Pomatoschistus microps,NA
135567,stable,Fis-29454,Mugil cephalus,0
135574,unknown,Fis-24741,Liopsetta glacialis,NA
135579,unknown,Fis-23602,Liza aurata,NA
135606,unknown,Fis-22755,Dicentrarchus labrax,NA
135660,unknown,Fis-52203,Osmerus dentex,NA
135672,decreasing,Fis-116994,Coregonus maraena,-0.5
135681,unknown,Fis-23603,Liza saliens,NA
135689,unknown,Fis-23954,Chelon labrosus,NA
135690,increasing,Fis-30498,Pleuronectes platessa,0.5
135714,unknown,Fis-25199,Liza ramada,NA
135717,decreasing,Fis-23725,Platichthys flesus,-0.5
135719,unknown,Fis-63912,Lethenteron camtschaticum,NA
136315,unknown,ITS-Mam-771132,Orcaella heinsohni,NA
136464,decreasing,NA,Ctenomys flamarioni,-0.5
136469,stable,NA,Eliomys munbyanus,0
136567,decreasing,NA,Ctenomys lami,-0.5
136635,decreasing,NA,Ctenomys rionegrensis,-0.5
153534,decreasing,NA,Posidonia oceanica,-0.5
153535,stable,NA,Cymodocea nodosa,0
153538,decreasing,NA,Zostera marina,-0.5
154613,stable,Fis-32377,Synaphobranchus affinis,0
154614,unknown,Fis-35123,Pentaceros decacanthus,NA
154615,unknown,Fis-34043,Laeops guentheri,NA
154616,unknown,Fis-49951,Diaphus diadematus,NA
154618,unknown,Fis-35476,Lepidotrigla omanensis,NA
154619,unknown,Fis-150540,Alcichthys elongatus,NA
154620,unknown,Fis-32127,Protomyctophum luciferum,NA
154623,stable,Fis-31462,Cheilinus trilobatus,0
154624,unknown,Fis-64153,Peprilus paru,NA
154626,unknown,Fis-32874,Helcogramma striata,NA
154628,unknown,Fis-32285,Uropterygius fuscoguttatus,NA
154629,unknown,Fis-32240,Siokunichthys nigrolineatus,NA
154630,unknown,Fis-133923,Canthigaster inframacula,NA
154631,unknown,Fis-30784,Citharichthys gymnorhinus,NA
154632,stable,Fis-32761,Uranoscopus oligolepis,0
154634,unknown,Fis-117220,Johnsonina eriomma,NA
154635,unknown,Fis-28135,Lestidiops ringens,NA
154638,unknown,Fis-62407,Myctophum lychnobium,NA
154641,unknown,Fis-26433,Gobiodon histrio,NA
154643,stable,Fis-25990,Parenchelyurus hepburni,0
154644,unknown,Fis-23598,Liparis liparis,NA
154647,unknown,Fis-10896,Coelorinchus occa,NA
154649,decreasing,Fis-30247,Lophius gastrophysus,-0.5
154653,unknown,Fis-32162,Pogonophryne barsukovi,NA
154655,unknown,Fis-150013,Hadropareia middendorffii,NA
154657,unknown,Fis-28683,Bathygobius lineatus,NA
154658,unknown,Fis-114213,Plectranthias bilaticlavia,NA
154660,stable,Fis-25561,Genyagnus monopterygius,0
154663,unknown,Fis-28541,Oneirodes acanthias,NA
154665,unknown,Fis-146089,Eustomias posti,NA
154667,unknown,Fis-59297,Spicara axillaris,NA
154669,unknown,Fis-169479,Taeniamia buruensis,NA
154670,unknown,Fis-25939,Parupeneus multifasciatus,NA
154673,unknown,Fis-27280,Bathyuroconger vicinus,NA
154674,unknown,Fis-52896,Lampanyctus jordani,NA
154676,stable,Fis-21841,Scarus prasiognathos,0
154677,stable,Fis-31417,Scarus festivus,0
154678,unknown,Fis-167308,Apogon sealei,NA
154680,unknown,Fis-32647,Dentex barnardi,NA
154682,unknown,Fis-22221,Pristipomoides freemani,NA
154683,stable,Fis-144965,Skythrenchelys zabra,0
154684,unknown,Fis-24911,Stegastes fuscus,NA
154686,unknown,Fis-134462,Dicrolene nigra,NA
154687,unknown,Fis-22713,Arnoglossus imperialis,NA
154691,unknown,Fis-148419,Synchiropus claudiae,NA
154692,unknown,Fis-152906,Schindleria brevipinguis,NA
154693,unknown,Fis-30354,Neomerinthe hemingwayi,NA
154694,unknown,Fis-30962,Blennodesmus scapularis,NA
154695,unknown,Fis-35267,Luzonichthys earlei,NA
154696,unknown,Fis-47708,Grammonus robustus,NA
154697,unknown,Fis-30092,Xyrichtys martinicensis,NA
154698,unknown,Fis-50465,Lophodolos indicus,NA
154701,unknown,Fis-28631,Pseudolabrus luculentus,NA
154705,decreasing,Fis-30228,Lethrinus enigmaticus,-0.5
154706,unknown,Fis-21839,Scarus dubius,NA
154707,stable,Fis-25152,Polydactylus multiradiatus,0
154708,decreasing,Fis-51713,Diplodus cervinus,-0.5
154709,unknown,Fis-150577,Hetereleotris vulgaris,NA
154711,unknown,Fis-32182,Bathydraco joannae,NA
154712,stable,Fis-22215,Coryphaena hippurus,0
154713,unknown,Fis-113680,Stathmonotus sinuscalifornici,NA
154715,unknown,Fis-149891,Eustomias vulgaris,NA
154718,unknown,Fis-28524,Parma victoriae,NA
154719,unknown,NA,Paracheilinus togeanensis,NA
154721,unknown,Fis-148339,Sufflamen fraenatum,NA
154722,unknown,Fis-24768,Melletes papilio,NA
154726,unknown,Fis-115989,Polyipnus clarus,NA
154728,unknown,Fis-24417,Amphistichus koelzi,NA
154729,unknown,Fis-23472,Diaphus rafinesquii,NA
154730,unknown,Fis-35398,Luzonichthys williamsi,NA
154731,stable,Fis-24424,Apeltes quadracus,0
154732,decreasing,Fis-25073,Stegastes gascoynei,-0.5
154734,decreasing,Fis-26110,Pagrus auratus,-0.5
154736,unknown,Fis-26936,Minous quincarinatus,NA
154740,unknown,Fis-26397,Akarotaxis nudiceps,NA
154741,stable,Fis-35068,Girella simplicidens,0
154742,decreasing,Fis-22791,Lutjanus notatus,-0.5
154743,unknown,Fis-29353,Coilia neglecta,NA
154744,unknown,Fis-127187,Kestratherina brevirostris,NA
154745,unknown,Fis-142342,Leptostomias bermudensis,NA
154747,unknown,Fis-125899,Maurolicus breviculus,NA
154748,unknown,Fis-33842,Lophius vomerinus,NA
154749,unknown,Fis-24886,Petrotyx sanguineus,NA
154750,unknown,Fis-31271,Sagamichthys abei,NA
154753,unknown,Fis-49046,Hypleurochilus bananensis,NA
154754,unknown,Fis-27037,Mataeocephalus tenuicauda,NA
154755,decreasing,Fis-23135,Genyonemus lineatus,-0.5
154760,stable,Fis-31484,Chromis alpha,0
154764,unknown,Fis-24837,Opistognathus maxillosus,NA
154765,unknown,Fis-32400,Ancylopsetta cycloidea,NA
154766,unknown,Fis-132643,Xestochilus nebulosus,NA
154767,unknown,Fis-24769,Membras martinica,NA
154770,unknown,Fis-141484,Pariah scotius,NA
154771,unknown,Fis-29185,Anoplocapros inermis,NA
154774,unknown,Fis-23662,Nematalosa nasus,NA
154775,stable,Fis-164090,Emblemariopsis signifer,0
154779,unknown,Fis-131922,Paratrachichthys fernandezianus,NA
154780,unknown,Fis-28645,Siphonognathus beddomei,NA
154781,unknown,Fis-32845,Coryphaenoides ariommus,NA
154785,stable,Fis-164093,Pleuragramma antarctica,0
154788,stable,Fis-31453,Hemitaurichthys thompsoni,0
154789,unknown,Fis-26365,Krefftichthys anderssoni,NA
154790,unknown,Fis-25034,Triglops forficatus,NA
154792,unknown,Fis-29638,Anodontostoma thailandiae,NA
154793,decreasing,Fis-23573,Jenkinsia lamprotaenia,-0.5
154794,unknown,Fis-144514,Oneirodes schmidti,NA
154797,unknown,Fis-131624,Eptatretus mendozai,NA
154798,unknown,Fis-33128,Thalassobathia pelagica,NA
154799,unknown,Fis-24996,Serranus tigrinus,NA
154801,unknown,Fis-34440,Talismania mekistonema,NA
154802,decreasing,Fis-56509,Secutor hanedai,-0.5
154803,unknown,Fis-52166,Venefica tentaculata,NA
154806,unknown,Fis-25052,Zalieutes mcgintyi,NA
154807,unknown,Fis-23414,Caranx crysos,NA
154808,unknown,Fis-32192,Racovitzia glacialis,NA
154809,unknown,Fis-58059,Apolemichthys kingi,NA
154812,stable,Fis-31865,Amphiprion sandaracinos,0
154813,unknown,Fis-32891,Aphanopus mikhailini,NA
154814,unknown,Fis-23769,Sardinella fijiense,NA
154815,unknown,Fis-33788,Astronesthes richardsoni,NA
154816,unknown,Fis-29522,Sebastes mentella,NA
154817,unknown,Fis-58243,Malacoctenus zonogaster,NA
154818,unknown,Fis-51787,Acanthurus gahhm,NA
154819,unknown,Fis-35380,Hoplolatilus fourmanoiri,NA
154820,unknown,Fis-29263,Alepisaurus ferox,NA
154822,stable,Fis-26994,Pterotolithus maculatus,0
154823,unknown,Fis-137591,Silhouettea aegyptia,NA
154825,unknown,Fis-54493,Eptatretus cirrhatus,NA
154827,unknown,Fis-28314,Inimicus caledonicus,NA
154828,unknown,Fis-23878,Umbrina broussonnetii,NA
154829,stable,Fis-128246,Parablennius yatabei,0
154830,unknown,Fis-127123,Pyramodon lindas,NA
154831,stable,Fis-24501,Chromis punctipinnis,0
154833,stable,Fis-26622,Bothus mancus,0
154834,stable,Fis-153533,Helcogramma inclinata,0
154836,unknown,Fis-54444,Schindleria praematura,NA
154841,unknown,Fis-113731,Dotalabrus alleni,NA
154842,unknown,Fis-136360,Tomicodon rhabdotus,NA
154844,stable,Fis-23218,Platybelone argalus,0
154845,stable,Fis-24759,Lyopsetta exilis,0
154846,unknown,Fis-50703,Barbuligobius boehlkei,NA
154847,unknown,Fis-142245,Citharichthys mariajorisae,NA
154848,unknown,Fis-27571,Gnatholepis cauerensis,NA
154849,stable,Fis-32872,Helcogramma springeri,0
154850,unknown,Fis-32300,Myripristis pralinia,NA
154851,unknown,Fis-32221,Zanclorhynchus spinifer,NA
154853,decreasing,Fis-25022,Syngnathus floridae,-0.5
154855,unknown,Fis-26563,Hippichthys spicifer,NA
154856,unknown,Fis-35167,Chromis pembae,NA
154859,stable,Fis-49987,Lampadena pontifex,0
154860,unknown,Fis-143727,Facciolella karreri,NA
154861,unknown,Fis-25058,Istigobius rigilius,NA
154863,unknown,Fis-51811,Parioglossus taeniatus,NA
154865,unknown,Fis-64567,Monomitopus agassizii,NA
154866,unknown,Fis-24895,Pholis ornata,NA
154869,unknown,Fis-25151,Myctophum spinosum,NA
154870,decreasing,Fis-23211,Parapercis colias,-0.5
154872,stable,Fis-167071,Apogon compressus,0
154874,unknown,Fis-149714,Hetereleotris georgegilli,NA
154875,unknown,Fis-23456,Cynoscion acoupa,NA
154878,stable,Fis-33852,Pomacentrus smithi,0
154880,unknown,Fis-23505,Gaidropsarus macrophthalmus,NA
154882,unknown,Fis-26750,Dicrolene multifilis,NA
154883,decreasing,Fis-33026,Pelotretis flavilatus,-0.5
154888,unknown,Fis-33854,Pomacentrus wardi,NA
154889,unknown,Fis-28590,Pseudanthias ventralis,NA
154890,unknown,Fis-32850,Coryphaenoides subserrulatus,NA
154891,unknown,Fis-35454,Cirrhilabrus lineatus,NA
154894,unknown,Fis-52297,Alepocephalus owstoni,NA
154895,unknown,Fis-23092,Chelidonichthys kumu,NA
154898,unknown,Fis-26621,Eviota storthynx,NA
154900,decreasing,Fis-22913,Nemipterus virgatus,-0.5
154901,unknown,Fis-31541,Gazza achlamys,NA
154904,unknown,Fis-26248,Halichoeres ornatissimus,NA
154906,unknown,Fis-22217,Brama dussumieri,NA
154907,unknown,Fis-145272,Cetomimus teevani,NA
154909,unknown,Fis-149935,Eustomias albibulbus,NA
154910,unknown,Fis-167297,Apogon neotes,NA
154912,unknown,Fis-4408,Apogon fleurieu,NA
154913,unknown,Fis-28651,Leviprora inops,NA
154914,decreasing,Fis-28703,Rhombosolea plebeia,-0.5
154915,stable,Fis-27908,Teixeirichthys jordani,0
154916,unknown,Fis-50418,Chaenophryne longiceps,NA
154917,unknown,Fis-127128,Favonigobius exquisitus,NA
154918,unknown,Fis-56751,Pycnocraspedum squamipinne,NA
154919,stable,Fis-32280,Ateleopus japonicus,0
154920,stable,Fis-28282,Chrysiptera flavipinnis,0
154922,unknown,Fis-54426,Lycenchelys hippopotamus,NA
154924,unknown,Fis-34097,Notopogon macrosolen,NA
154927,stable,Fis-146748,Entomacrodus macrospilus,0
154928,unknown,Fis-29649,Antigonia combatia,NA
154929,unknown,Fis-27230,Benthocometes robustus,NA
154930,unknown,Fis-23038,Batrachoides surinamensis,NA
154931,unknown,Fis-55432,Pseudochromis sankeyi,NA
154932,unknown,Fis-149429,Parupeneus posteli,NA
154933,unknown,Fis-26866,Tetrosomus gibbosus,NA
154935,unknown,Fis-32706,Anacanthus barbatus,NA
154936,unknown,Fis-148591,Chaunax flammeus,NA
154937,decreasing,Fis-33262,Erisphex pottii,-0.5
154938,unknown,Fis-31609,Bhanotia nuda,NA
154939,unknown,Fis-23912,Apterichtus kendalli,NA
154940,unknown,Fis-28586,Pseudanthias pictilis,NA
154942,unknown,Fis-143064,Notarius troschelii,NA
154943,stable,Fis-148619,Heteroclinus whiteleggii,0
154944,stable,Fis-149796,Parapercis striolata,0
154945,unknown,Fis-26345,Pseudanthias cichlops,NA
154946,unknown,Fis-29512,Scomberomorus queenslandicus,NA
154947,stable,Fis-35292,Ecsenius trilineatus,0
154948,unknown,Fis-126086,Astronesthes indopacificus,NA
154951,unknown,Fis-30231,Lethrinus genivittatus,NA
154952,unknown,Fis-25794,Apogonichthys ocellatus,NA
154953,unknown,Fis-30261,Lycodes jugoricus,NA
154954,stable,Fis-28998,Thalassoma lucasanum,0
154956,stable,Fis-32596,Zeus capensis,0
154957,unknown,NA,Hypsoblennius striatus,NA
154958,stable,Fis-62593,Heteroclinus roseus,0
154959,unknown,Fis-32243,Bryaninops amplus,NA
154960,unknown,Fis-31423,Scarus oviceps,NA
154962,unknown,Fis-159528,Coelorinchus mycterismus,NA
154964,unknown,Fis-149520,Hoplunnis schmidti,NA
154967,unknown,Fis-138801,Amblygobius buanensis,NA
154968,unknown,Fis-30013,Etrumeus whiteheadi,NA
154969,unknown,Fis-120470,Kuronezumia bubonis,NA
154970,unknown,Fis-22213,Trachinotus goodei,NA
154971,stable,Fis-26763,Scarus viridifucatus,0
154972,stable,Fis-59731,Parablennius zvonimiri,0
154973,unknown,Fis-32457,Bassozetus robustus,NA
154974,unknown,Fis-25039,Xanthichthys mento,NA
154975,unknown,Fis-22843,Anchoa delicatissima,NA
154976,stable,Fis-149610,Drombus halei,0
154977,stable,Fis-24555,Eopsetta jordani,0
154978,unknown,Fis-146598,Apogon indicus,NA
154980,unknown,Fis-32470,Chirodactylus jessicalenorum,NA
154982,unknown,Fis-28914,Daector dowi,NA
154983,decreasing,Fis-23710,Paralichthys dentatus,-0.5
154984,stable,Fis-34769,Physiculus roseus,0
154988,unknown,Fis-58526,Scopelosaurus herwigi,NA
154989,decreasing,Fis-30595,Sardinella longiceps,-0.5
154991,stable,Fis-150108,Pholis nebulosa,0
154992,unknown,Fis-28978,Lophiodes caulinaris,NA
154993,unknown,Fis-24922,Pteraclis aesticola,NA
154995,unknown,Fis-29910,Diaphus holti,NA
154996,unknown,Fis-28974,Calumia godeffroyi,NA
154997,unknown,Fis-29738,Bregmaceros atlanticus,NA
154998,stable,Fis-32104,Argyropelecus hemigymnus,0
154999,unknown,Fis-29375,Etelis carbunculus,NA
155001,unknown,Fis-51744,Chalixodytes tauensis,NA
155002,unknown,Fis-137929,Bovichtus chilensis,NA
155003,unknown,Fis-143830,Astronesthes nigroides,NA
155006,unknown,Fis-26809,Coris caudimacula,NA
155008,unknown,Fis-32552,Myripristis seychellensis,NA
155009,unknown,Fis-143777,Pseudobathylagus milleri,NA
155010,unknown,Fis-145235,Scorpaenopsis ramaraoi,NA
155012,unknown,Fis-50053,Sternoptyx obscura,NA
155013,unknown,Fis-49130,Parablennius parvicornis,NA
155014,unknown,Fis-22977,Alectis ciliaris,NA
155015,unknown,Fis-150532,Artediellichthys nigripinnis,NA
155016,unknown,Fis-35618,Orthopristis reddingi,NA
155017,unknown,Fis-32519,Labroides phthirophagus,NA
155018,decreasing,Fis-165019,Sciades parkeri,-0.5
155020,unknown,Fis-29272,Anchoa walkeri,NA
155021,unknown,Fis-29868,Coryphopterus hyalinus,NA
155022,stable,Fis-31209,Uranoscopus polli,0
155023,unknown,Fis-60844,Callionymus sagitta,NA
155024,unknown,Fis-22978,Amphichthys cryptocentrus,NA
155025,unknown,Fis-31011,Siganus rivulatus,NA
155026,unknown,Fis-158171,Pelates sexlineatus,NA
155029,unknown,Fis-32512,Salarias ceramensis,NA
155030,unknown,Fis-22897,Macroramphosus scolopax,NA
155032,unknown,Fis-35462,Cirrhilabrus rubripinnis,NA
155034,unknown,Fis-32415,Crossosalarias macrospilus,NA
155036,unknown,Fis-34843,Caulolatilus hubbsi,NA
155039,unknown,Fis-26949,Saurenchelys fierasfer,NA
155040,unknown,Fis-30811,Etropus rimosus,NA
155042,stable,Fis-55425,Plesiops nigricans,0
155043,decreasing,Fis-22872,Decapterus russelli,-0.5
155044,unknown,Fis-22742,Buglossidium luteum,NA
155046,unknown,Fis-167291,Apogon margaritophorus,NA
155047,unknown,Fis-58567,Cocotropus roseus,NA
155049,unknown,Fis-128241,Lepidotrigla kishinouyi,NA
155050,unknown,Fis-62751,Callogobius clitellus,NA
155051,unknown,Fis-113787,Microgobius tabogensis,NA
155052,unknown,Fis-54769,Dactyloptena gilberti,NA
155055,unknown,Fis-143867,Himantolophus cornifer,NA
155056,unknown,Fis-29191,Cyttus novaezealandiae,NA
155057,stable,Fis-31822,Uranoscopus japonicus,0
155058,unknown,Fis-30818,Hippoglossina stomata,NA
155059,unknown,Fis-35175,Gillellus healae,NA
155061,unknown,Fis-149749,Pomacentrus callainus,NA
155064,stable,Fis-170331,Apogon notatus,0
155068,stable,Fis-24930,Remora brachyptera,0
155071,unknown,Fis-52910,Gorgasia maculata,NA
155072,unknown,Fis-35495,Conger verreauxi,NA
155073,unknown,Fis-25918,Doryrhamphus janssi,NA
155074,unknown,Fis-144830,Patagonotothen cornucola,NA
155075,unknown,Fis-7669,Remora albescens,NA
155076,stable,Fis-26972,Halichoeres notospilus,0
155077,unknown,Fis-116901,Lycenchelys monstrosa,NA
155078,unknown,Fis-26945,Pterygotrigla hemisticta,NA
155079,unknown,Fis-28707,Torquigener tuberculiferus,NA
155081,unknown,Fis-24685,Hyperoglyphe perciformis,NA
155083,stable,Fis-27342,Centropyge acanthops,0
155084,unknown,Fis-33858,Champsodon capensis,NA
155086,stable,Fis-26819,Omobranchus fasciolatus,0
155087,stable,Fis-35734,Pseudopercis numida,0
155088,unknown,Fis-30809,Enophrys taurina,NA
155089,decreasing,Fis-23626,Lutjanus decussatus,-0.5
155090,unknown,Fis-130902,Cociella punctata,NA
155091,unknown,Fis-26152,Enchelycore schismatorhynchus,NA
155093,unknown,Fis-32362,Derichthys serpentinus,NA
155094,unknown,Fis-24514,Clinocottus globiceps,NA
155096,stable,Fis-22818,Sarda sarda,0
155097,unknown,Fis-29305,Caesio caerulaurea,NA
155099,stable,Fis-28969,Omobranchus anolius,0
155102,unknown,Fis-31535,Cheilodipterus singapurensis,NA
155104,unknown,Fis-125812,Cheilopogon pinnatibarbatus,NA
155106,unknown,Fis-50459,Kali macrodon,NA
155107,unknown,Fis-27266,Monopenchelys acuta,NA
155108,stable,Fis-138844,Omobranchus rotundiceps,0
155109,stable,NA,Praealticus dayi,0
155111,unknown,Fis-27890,Congiopodus torvus,NA
155112,unknown,Fis-49883,Stemonosudis gracilis,NA
155114,unknown,Fis-158805,Diancistrus novaeguineae,NA
155115,unknown,Fis-30237,Lethrinus reticulatus,NA
155116,unknown,Fis-23766,Sardinella albella,NA
155117,unknown,Fis-134169,Melamphaes spinifer,NA
155118,unknown,Fis-23588,Lethrinus conchyliatus,NA
155119,unknown,Fis-28690,Odontesthes incisa,NA
155120,decreasing,Fis-25960,Naso vlamingii,-0.5
155121,stable,Fis-24851,Paraclinus integripinnis,0
155123,increasing,Fis-29344,Clupea harengus,0.5
155124,unknown,Fis-60569,Amblyeleotris triguttata,NA
155126,unknown,Fis-22219,Apsilus dentatus,NA
155128,unknown,Fis-22177,Caulolatilus cyanops,NA
155129,unknown,Fis-35496,Pterois lunulata,NA
155130,decreasing,Fis-29766,Caranx sexfasciatus,-0.5
155131,unknown,Fis-24128,Moringua edwardsi,NA
155132,unknown,Fis-152044,Eustomias monodactylus,NA
155133,unknown,Fis-143347,Bathycongrus vicinalis,NA
155134,unknown,Fis-23326,Alepes vari,NA
155135,unknown,Fis-31884,Sillago japonica,NA
155138,unknown,Fis-35967,Antipodocottus galatheae,NA
155141,unknown,Fis-51533,Kaupichthys brachychirus,NA
155142,unknown,Fis-132758,Laemonema rhodochir,NA
155144,stable,Fis-32474,Myripristis trachyacron,0
155146,unknown,Fis-31471,Anampses melanurus,NA
155148,unknown,Fis-30681,Stygnobrotula latebricola,NA
155151,unknown,Fis-156713,Apogon rubrimacula,NA
