iucn_sid,year,code,category,sciname
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
8784,1996,VU,Vulnerable,Gadus morhua
135717,2010,LC,Least Concern,Platichthys flesus
135717,2008,LC,Least Concern,Platichthys flesus
155123,2010,LC,Least Concern,Clupea harengus
16580,2008,LC,Least Concern,Perca fluviatilis
16580,1996,LR/lc,Lower Risk/least concern,Perca fluviatilis
135631,2013,LC,Least Concern,Esox lucius
135631,2008,LC,Least Concern,Esox lucius
19855,1996,LR/lc,Lower Risk/least concern,Salmo salar
19861,2011,LC,Least Concern,Salmo trutta
19861,2008,LC,Least Concern,Salmo trutta
19861,1996,LR/lc,Lower Risk/least concern,Salmo trutta
9660,2016,LC,Least Concern,Halichoerus grypus
9660,2008,LC,Least Concern,Halichoerus grypus
9660,1996,LR/lc,Lower Risk/least concern,Halichoerus grypus
74491261,2016,LC,Least Concern,Halichoerus grypus
12419,2015,NT,Near Threatened,Lutra lutra
12419,2008,NT,Near Threatened,Lutra lutra
12419,2004,NT,Near Threatened,Lutra lutra
12419,2000,VU,Vulnerable,Lutra lutra
12419,1996,LR/lc,Lower Risk/least concern,Lutra lutra
17013,2016,LC,Least Concern,Phoca vitulina
17013,2008,LC,Least Concern,Phoca vitulina
17013,1996,LR/lc,Lower Risk/least concern,Phoca vitulina
17027,2008,LC,Least Concern,Phocoena phocoena
17027,1996,VU,Vulnerable,Phocoena phocoena
17027,1994,K,Insufficiently Known,Phocoena phocoena
17027,1990,K,Insufficiently Known,Phocoena phocoena
17027,1988,K,Insufficiently Known,Phocoena phocoena
17031,2008,CR,Critically Endangered,Phocoena phocoena
17031,1996,VU,Vulnerable,Phocoena phocoena
41672,2016,LC,Least Concern,Pusa hispida
41672,2008,LC,Least Concern,Pusa hispida
41672,1996,LR/lc,Lower Risk/least concern,Pusa hispida
