Taxonkey,TaxonName,Common name
600874,Carcharhinus limbatus,Blacktip shark
600875,Carcharhinus longimanus,Oceanic whitetip shark
600878,Carcharhinus obscurus,Dusky shark
600880,Carcharhinus plumbeus,Sandbar shark
600884,Carcharhinus sorrah,Spottail shark
600886,Galeocerdo cuvier,Tiger shark
600889,Pagellus acarne,Axillary seabream
600890,Pagellus bogaraveo,Blackspot seabream
600893,Pagellus erythrinus,Common pandora
600898,Prionace glauca,Blue shark
600912,Sphyrna lewini,Scalloped hammerhead
600917,Sphyrna zygaena,Smooth hammerhead
600918,Caesio caerulaurea,Blue and gold fusilier
600923,Caesio teres,Yellow and blueback fusilier
600935,Pterocaesio marri,Marr's fusilier
600939,Pterocaesio tile,Dark-banded fusilier
600940,Dasyatis akajei,Whip stingray
600941,Atrobucca nibe,Blackmouth croaker
600950,Platycephalus indicus,Bartail flathead
600972,Ablennes hians,Flat needlefish
600977,Tylosurus crocodilus crocodilus,Hound needlefish
600983,Caulolatilus chrysops,Atlantic goldeye tilefish
601002,Pseudocaranx dentex,White trevally
601005,Seriola dumerili,Greater amberjack
601023,Trisopterus esmarkii,Norway pout
601042,Lepidocybium flavobrunneum,Escolar
601043,Sardinella aurita,Round sardinella
601044,Ruvettus pretiosus,Oilfish
601047,Sardinella maderensis,Madeiran sardinella
601048,Diapterus rhombeus,Caitipa mojarra
601055,Saurida undosquamis,Brushtooth lizardfish
601058,Hemiramphus bermudensis,Bermuda halfbeak
601059,Hemiramphus brasiliensis,Ballyhoo halfbeak
601072,Lampris guttatus,Opah
601077,Lobotes surinamensis,Tripletail
601078,Lophius gastrophysus,Blackfin goosefish
601079,Megalops atlanticus,Tarpon
601084,Scomberesox saurus saurus,Atlantic saury
601090,Mugil liza,Lebranche mullet
601133,Anchoa hepsetus,Broad-striped anchovy
601150,Heteropriacanthus cruentatus,Glasseye
601164,Sparus aurata,Gilthead seabream
601181,Sphoeroides maculatus,Northern puffer
601191,Sciaenops ocellatus,Red drum
601198,Stromateus fiatola,Blue butterfish
601203,Diplectrum formosum,Sand perch
601205,Hyporthodus flavolimbatus,Yellowedge grouper
601206,Hyporthodus mystacinus,Misty grouper
601207,Hyporthodus nigritus,Warsaw grouper
601208,Hyporthodus niveatus,Snowy grouper
601209,Mycteroperca bonaci,Black grouper
601212,Mycteroperca microlepis,Gag
601213,Mycteroperca phenax,Scamp
601215,Mycteroperca tigris,Tiger grouper
601216,Mycteroperca venenosa,Yellowfin grouper
601217,Paranthias furcifer,Creole-fish
601221,Calamus bajonado,Jolthead porgy
601235,Sphyraena barracuda,Great barracuda
601256,Acanthurus dussumieri,Eyestripe surgeonfish
601258,Acanthurus lineatus,Lined surgeonfish
601260,Acanthurus triostegus,Convict surgeonfish
601261,Acanthurus xanthopterus,Yellowfin surgeonfish
601262,Ctenochaetus striatus,Striated surgeonfish
601263,Naso hexacanthus,Sleek unicornfish
601264,Naso lituratus,Orangespine unicornfish
601265,Naso unicornis,Bluespine unicornfish
601278,Trachurus mediterraneus,Mediterranean horse mackerel
601279,Trachurus picturatus,Blue jack mackerel
601288,Trichiurus lepturus,Largehead hairtail
601290,Ciliata mustela,Fivebeard rockling
601300,Ariomma indicum,Indian driftfish
601306,Umbrina cirrosa,Shi drum
601319,Beryx decadactylus,Alfonsino
601320,Beryx splendens,Splendid alfonsino
601321,Bothus pantherinus,Leopard flounder
601327,Mullus surmuletus,Surmullet
601334,Osmerus eperlanus,European smelt
601336,Pegusa lascaris,Sand sole
601338,Paralichthys dentatus,Summer flounder
601340,Phycis blennoides,Greater forkbeard
601341,Platichthys flesus,European flounder
601342,Pleuronectes platessa,European plaice
601343,Pollachius virens,Saithe
601348,Scophthalmus maximus,Turbot
601350,Sardina pilchardus,European pilchard
601351,Paralichthys olivaceus,Bastard halibut
601352,Sebastes viviparus,Norway redfish
601353,Serranus cabrilla,Comber
601356,Spondyliosoma cantharus,Black seabream
601357,Sprattus sprattus,European sprat
601363,Trachinus draco,Greater weever
601365,Trachurus trachurus,Atlantic horse mackerel
601366,Chelidonichthys lucerna,Tub gurnard
601367,Trisopterus luscus,Pouting
601370,Zeus faber,John dory
601371,Hippoglossus hippoglossus,Atlantic halibut
601381,Melanogrammus aeglefinus,Haddock
601382,Microstomus kitt,Lemon sole
601383,Molva dypterygia,Blue ling
601385,Etelis coruscans,Deepwater longtail red snapper
601391,Etelis oculatus,Queen snapper
601403,Lutjanus analis,Mutton snapper
601407,Lutjanus argentimaculatus,Mangrove red snapper
601408,Lutjanus argentiventris,Yellow snapper
601417,Lutjanus bohar,Two-spot red snapper
601423,Lutjanus campechanus,Northern red snapper
601452,Chirocentrus nudus,Whitefin wolf-herring
601453,Dussumieria acuta,Rainbow sardine
601454,Dussumieria elopsoides,Slender rainbow sardine
601455,Etrumeus teres,Red-eye round herring
601456,Etrumeus whiteheadi,Whiteheads round herring
601458,Spratelloides gracilis,Silverstriped round herring
601466,Sprattus fuegensis,Falkland sprat
601470,Clupeonella cultriventris,Black and Caspian Sea sprat
601477,Sardinops sagax,Pacific sardine
601479,Harengula humeralis,Redear herring
601484,Opisthonema libertate,Pacific thread herring
601486,Opisthonema oglinum,Atlantic thread herring
601494,Herklotsichthys quadrimaculatus,Bluestripe herring
601505,Sardinella brasiliensis,Brazilian sardinella
601508,Sardinella gibbosa,Goldstripe sardinella
601510,Sardinella lemuru,Bali sardinella
601511,Sardinella longiceps,Indian oil sardine
601519,Sardinella zunasi,Japanese sardinella
601520,Clupea pallasii pallasii,Pacific herring
601530,Clupea bentincki,Araucanian herring
601574,Alosa aestivalis,Blueback shad
601582,Alosa mediocris,Hickory shad
601583,Alosa pseudoharengus,Alewife
601584,Alosa sapidissima,American shad
601587,Brevoortia aurea,Brazilian menhaden
601589,Brevoortia patronus,Gulf menhaden
601590,Brevoortia pectinata,Argentine menhaden
601592,Brevoortia tyrannus,Atlantic menhaden
601593,Ethmidium maculatum,Pacific menhaden
601594,Ethmalosa fimbriata,Bonga shad
601595,Hilsa kelee,Kelee shad
601596,Tenualosa ilisha,Hilsa shad
601600,Tenualosa toli,Toli shad
601604,Dorosoma cepedianum,American gizzard shad
601608,Clupanodon thrissa,Chinese gizzard shad
601609,Konosirus punctatus,Dotted gizzard shad
601616,Nematalosa nasus,Blochs gizzard shad
601619,Anodontostoma chacunda,Chacunda gizzard shad
601625,Ilisha africana,West African ilisha
601627,Ilisha elongata,Elongate ilisha
601641,Pellona ditchela,Indian pellona
601659,Engraulis anchoita,Argentine anchovy
601661,Engraulis capensis,Southern African anchovy
601663,Engraulis japonicus,Japanese anchovy
601664,Engraulis mordax,Californian anchovy
601684,Anchoa choerostoma,Bermuda anchovy
601692,Anthias anthias,Swallowtail seaperch
601696,Atherina boyeri,Big-scale sand smelt
601706,Chromis chromis,Damselfish
601707,Sciaena umbra,Brown meagre
601722,Lepidotrigla cavillone,Large-scaled gurnard
601729,Muraena helena,Mediterranean moray
601732,Mola mola,Ocean sunfish
601734,Mora moro,Common mora
601735,Liza aurata,Golden grey mullet
601736,Liza saliens,Leaping mullet
601747,Phycis phycis,Forkbeard
601749,Diplodus puntazzo,Sharpsnout seabream
601752,Diplodus annularis,Annular seabream
601753,Diplodus sargus sargus,White seabream
601754,Diplodus vulgaris,Common two-banded seabream
601756,Pagrus pagrus,Red porgy
601758,Scorpaena porcus,Black scorpionfish
601759,Scorpaena scrofa,Red scorpionfish
601766,Spicara smaris,Picarel
601773,Trachinotus ovatus,Pompano
601825,Macruronus novaezelandiae,Blue grenadier
601827,Merluccius angustimanus,Panama hake
601828,Merluccius capensis,Shallow-water Cape hake
601832,Gnathodentex aureolineatus,Striped large-eye bream
601843,Lethrinus mahsena,Sky emperor
601844,Lethrinus borbonicus,Snubnose emperor
601845,Lethrinus microdon,Smalltooth emperor
601846,Lethrinus nebulosus,Spangled emperor
601847,Lethrinus obsoletus,Orange-striped emperor
601851,Lethrinus harak,Thumbprint emperor
601852,Lethrinus xanthochilus,Yellowlip emperor
601854,Lethrinus atkinsoni,Pacific yellowtail emperor
601863,Lethrinus lentjan,Pink ear emperor
601864,Lethrinus olivaceus,Longface emperor
601867,Lethrinus atlanticus,Atlantic emperor
601869,Monotaxis grandoculis,Humpnose big-eye bream
601874,Enchelyopus cimbrius,Fourbeard rockling
601879,Microgadus proximus,Pacific tomcod
601888,Alectis alexandrina,Alexandria pompano
601889,Alepes djedaba,Shrimp scad
601893,Atule mate,Yellowtail scad
601895,Caranx ignobilis,Giant trevally
601899,Caranx rhonchus,False scad
601906,Caranx melampygus,Bluefin trevally
601909,Carangoides orthogrammus,Island trevally
601917,Caranx sexfasciatus,Bigeye trevally
601918,Caranx ruber,Bar jack
601923,Carangoides bajad,Orangespotted trevally
601926,Carangoides fulvoguttatus,Yellowspotted trevally
601933,Caranx crysos,Blue runner
601937,Chloroscombrus orqueta,Pacific bumper
601938,Decapterus macrosoma,Shortfin scad
601939,Decapterus maruadsi,Japanese scad
601947,Parastromateus niger,Black pomfret
601950,Scomberoides commersonnianus,Talang queenfish
601951,Scomberoides lysan,Doublespotted queenfish
601953,Scomberoides tol,Needlescaled queenfish
601962,Seriolina nigrofasciata,Blackbanded trevally
601963,Trachinotus blochii,Snubnose pompano
601964,Trachinotus mookalee,Indian pompano
602005,Antimora rostrata,Blue antimora
602012,Halargyreus johnsonii,Slender codling
602014,Laemonema longipes,Longfin codling
602020,Pseudophycis bachus,Red codling
602023,Tripterophycis gilchristi,Grenadier cod
602058,Dipturus batis,Blue skate
602059,Raja clavata,Thornback ray
602060,Dasyatis pastinaca,Common stingray
602497,Diplodus cervinus cervinus,Zebra seabream
602498,Kyphosus sectatrix,Bermuda sea chub
602499,Chelon labrosus,Thicklip grey mullet
602500,Thalassoma pavo,Ornate wrasse
602501,Anarhichas lupus,Atlantic wolffish
602503,Chimaera monstrosa,Rabbit fish
602508,Epigonus telescopus,Black cardinal fish
602513,Myxine glutinosa,Hagfish
602530,Petromyzon marinus,Sea lamprey
602531,Notorynchus cepedianus,Broadnose sevengill shark
602532,Ginglymostoma cirratum,Nurse shark
602534,Alopias superciliosus,Bigeye thresher
602535,Alopias vulpinus,Thresher
602540,Mustelus henlei,Brown smooth-hound
602557,Leucoraja erinacea,Little skate
602561,Dipturus laevis,Barndoor skate
602572,Dasyatis centroura,Roughtail stingray
602577,Gymnura altavela,Spiny butterfly ray
602589,Hydrolagus colliei,Spotted ratfish
602669,Coregonus autumnalis,Arctic cisco
602674,Coregonus nasus,Broad whitefish
602678,Coregonus sardinella,Sardine cisco
602691,Salvelinus malma malma,Dolly varden
602692,Stenodus leucichthys,Sheefish
602700,Argentina silus,Greater argentine
603255,Zenopsis nebulosa,Mirror dory
603267,Regalecus glesne,King of herrings
603275,Fistularia tabacaria,Cornetfish
603310,Stereolepis gigas,Giant seabass
603334,Mycteroperca xenarcha,Broomtail grouper
603539,Caulolatilus princeps,Ocean whitefish
603542,Rachycentron canadum,Cobia
603574,Diplodus argenteus argenteus,South American silver porgy
603578,Atractoscion nobilis,White weakfish
603594,Girella nigricans,Opaleye
603611,Pseudopentaceros richardsoni,Pelagic armorhead
603671,Semicossyphus pulcher,California sheephead
603672,Tautogolabrus adspersus,Cunner
603810,Anarhichas denticulatus,Northern wolffish
603811,Anarhichas minor,Spotted wolffish
603915,Tetrapturus angustirostris,Shortbill spearfish
603920,Hyperoglyphe bythites,Black driftfish
603962,Sebastes crameri,Darkblotched rockfish
603971,Sebastes goodei,Chilipepper rockfish
603979,Sebastes melanops,Black rockfish
603987,Sebastes paucispinis,Bocaccio rockfish
603989,Sebastes pinniger,Canary rockfish
604009,Sebastolobus alascanus,Shortspine thornyhead
604037,Pleurogrammus monopterygius,Atka mackerel
604122,Myoxocephalus quadricornis,Fourhorn sculpin
604140,Scorpaenichthys marmoratus,Cabezon
604215,Citharichthys sordidus,Pacific sanddab
604228,Paralichthys californicus,California flounder
604237,Eopsetta jordani,Petrale sole
604238,Glyptocephalus zachirus,Rex sole
604239,Hippoglossoides platessoides,American plaice
604247,Microstomus pacificus,Dover sole
604248,Parophrys vetulus,English sole
604249,Platichthys stellatus,Starry flounder
604250,Pleuronectes quadrituberculatus,Alaska plaice
604252,Pleuronichthys decurrens,Curlfin sole
604255,Psettichthys melanostictus,Pacific sand sole
604313,Normanichthys crockeri,Mote sculpin
604326,Leucoraja naevus,Cuckoo ray
604329,Raja montagui,Spotted ray
604330,Myliobatis aquila,Common eagle ray
604443,Carangoides malabaricus,Malabar trevally
604460,Epinephelus fuscoguttatus,Brown-marbled grouper
604461,Epinephelus tauvina,Greasy grouper
604462,Gazza minuta,Toothpony
604464,Gnathanodon speciosus,Golden trevally
604465,Diagramma pictum,Painted sweetlips
604493,Sphyraena obtusata,Obtuse barracuda
604504,Psettodes belcheri,Spottail spiny turbot
604538,Dentex maroccanus,Morocco dentex
604540,Pagrus caeruleostictus,Bluespotted seabream
604543,Acanthopagrus bifasciatus,Twobar seabream
604544,Sillago sihama,Silver sillago
604548,Umbrina canariensis,Canary drum
604552,Raja brachyura,Blonde ray
604556,Trachyrincus scabrus,Roughsnout grenadier
604559,Nemipterus japonicus,Japanese threadfin bream
604569,Miichthys miiuy,Mi-iuy croaker
604589,Lateolabrax japonicus,Japanese seaperch
604641,Dentex congoensis,Congo dentex
604642,Galeorhinus galeus,Tope shark
604702,Notothenia coriiceps,Black rockcod
604708,Pomadasys jubelini,Sompat grunt
604722,Callorhinchus milii,Ghost shark
604740,Acanthurus sohal,Sohal surgeonfish
604747,Acanthurus nigricauda,Epaulette surgeonfish
604791,Mugil soiuy,So-iuy mullet
604796,Sarda chiliensis lineolata,Pacific bonito
604824,Otolithes ruber,Tigertoothed croaker
604826,Plectropomus leopardus,Leopard coralgrouper
604827,Sphyraena jello,Pickhandle barracuda
604887,Spicara maena,Blotched picarel
604923,Epinephelus merra,Honeycomb grouper
604943,Citharus linguatula,Spotted flounder
604959,Elops lacerta,West African ladyfish
604961,Epinephelus goreensis,Dungat grouper
604964,Hoplostethus mediterraneus mediterraneus,Mediterranean slimehead
604988,Lophius vaillanti,Shortspine African angler
604996,Mustelus mustelus,Smooth-hound
604997,Nezumia aequalis,Common Atlantic grenadier
605002,Polydactylus quadrifilis,Giant African threadfin
605003,Pomadasys incisus,Bastard grunt
605007,Pontinus kuhlii,Offshore rockfish
605008,Promethichthys prometheus,Roudi escolar
605009,Pseudotolithus senegallus,Law croaker
605038,Trigla lyra,Piper gurnard
605048,Arripis trutta,Australian salmon
605066,Pagrus auriga,Redbanded seabream
605071,Alepocephalus rostratus,Rissos smooth-head
605081,Trigloporus lastoviza,Streaked gurnard
605094,Lophius budegassa,Blackbellied angler
605098,Borostomias antarcticus,Snaggletooth
605348,Epinephelus fasciatus,Blacktip grouper
605353,Epinephelus morrhua,Comet grouper
605354,Variola louti,Yellow-edged lyretail
605355,Alosa fallax,Twaite shad
605367,Epinephelus areolatus,Areolate grouper
605382,Trachurus capensis,Cape horse mackerel
605429,Halobatrachus didactylus,Lusitanian toadfish
605492,Raja microocellata,Small-eyed ray
605503,Rhynchobatus djiddensis,Giant guitarfish
605504,Chelidonichthys capensis,Cape gurnard
605524,Epinephelus chlorostigma,Brownspotted grouper
605526,Acanthopagrus berda,Goldsilk seabream
605537,Bolbometopon muricatum,Green humphead parrotfish
605548,Scarus ghobban,Blue-barred parrotfish
605555,Scarus rubroviolaceus,Ember parrotfish
605604,Cheilinus undulatus,Humphead wrasse
605658,Valamugil engeli,Kanda
605659,Valamugil seheli,Bluespot mullet
605790,Kuhlia mugil,Barred flagtail
605801,Gerres oblongus,Slender silverbiddy
605831,Cirrhitus pinnulatus,Stocky hawkfish
605852,Nemipterus randalli,Randalls threadfin bream
605885,Scolopsis bilineata,Two-lined monocle bream
605889,Scolopsis taeniata,Black-streaked monocle bream
605933,Mustelus lenticulatus,Spotted estuary smooth-hound
605937,Mustelus schmitti,Narrownose smooth-hound
605938,Mustelus asterias,Starry smooth-hound
605983,Mulloidichthys flavolineatus,Yellowstripe goatfish
605992,Parupeneus indicus,Indian goatfish
605996,Gerres oyena,Common silver-biddy
606006,Pomadasys kaakan,Javelin grunter
606019,Naso annulatus,Whitemargin unicornfish
606024,Naso vlamingii,Bignose unicornfish
606082,Plectropomus areolatus,Squaretail coralgrouper
606317,Totoaba macdonaldi,Totoaba
606356,Acanthopagrus latus,Yellowfin seabream
606358,Chirocentrus dorab,Dorab wolf-herring
606360,Caranx papuensis,Brassy trevally
606369,Plectorhinchus vittatus,Indian Ocean oriental sweetlips
606370,Plectorhinchus picus,Painted sweetlip
606396,Cephalopholis argus,Peacock hind
606416,Polydactylus sexfilis,Sixfinger threadfin
606422,Dipturus linteus,Sailray
606426,Pagrus auratus,Silver seabream
606441,Aethaloperca rogaa,Redmouth grouper
606444,Cephalopholis boenak,Chocolate hind
606447,Cephalopholis hemistiktos,Yellowfin hind
606450,Cephalopholis miniata,Coral hind
606453,Cephalopholis sexmaculata,Sixblotch hind
606454,Cephalopholis sonnerati,Tomato hind
606456,Cephalopholis urodeta,Darkfin hind
606457,Cromileptes altivelis,Humpback grouper
606465,Epinephelus coioides,Orange-spotted grouper
606468,Epinephelus lanceolatus,Giant grouper
606470,Epinephelus marginatus,Dusky grouper
606473,Epinephelus polyphekadion,Camouflage grouper
606478,Variola albimarginata,White-edged lyretail
606479,Saurida tumbil,Greater lizardfish
606506,Myripristis adusta,Shadowfin soldierfish
606507,Sargocentron spiniferum,Sabre squirrelfish
606531,Acanthopagrus schlegelii schlegelii,Blackhead seabream
606582,Neoniphon opercularis,Black squirrelfish
606630,Abudefduf vaigiensis,Indo-Pacific sergeant
606660,Epinephelus hexagonatus,Starspotted grouper
606948,Bathyraja eatonii,Eatons skate
606950,Bathyraja maccaini,McCains skate
606951,Bathyraja meridionalis,Dark-belly skate
606952,Bathyraja murrayi,Murrays skate
606957,Diastobranchus capensis,Basketwork eel
606974,Benthalbella elongata,Benthalbella elongata
607039,Dissostichus mawsoni,Antarctic toothfish
607040,Gobionotothen acuta,Triangular rockcod
607041,Gobionotothen gibberifrons,Humped rockcod
607045,Lepidonotothen squamifrons,Grey rockcod
607046,Lepidonotothen mizops,Toad notie
607047,Lepidonotothen nudifrons,Yellowfin notie
607048,Lepidonotothen larseni,Painted notie
607052,Patagonotothen brevicauda brevicauda,Patagonian rockcod
607054,Trematomus eulepidotus,Blunt scalyhead
607055,Trematomus hansoni,Striped rockcod
607082,Pogonophryne permitini,Plunderfish
607108,Chionobathyscus dewitti,Chionobathyscus dewitti
607110,Chionodraco myersi,Myers' icefish
607111,Cryodraco antarcticus,Long-fingered icefish
607113,Neopagetopsis ionah,Jonah's icefish
607120,Mancopsetta maculata,Antarctic armless flounder
607126,Muraenolepis microps,Smalleye moray cod
607138,Macrourus holotrachys,Bigeye grenadier
607151,Pseudocyttus maculatus,Smooth oreo dory
607152,Zanclorhynchus spinifer,Antarctic horsefish
607306,Myripristis kuntee,Shoulderbar soldierfish
607309,Myripristis violacea,Lattice soldierfish
607327,Balistes capriscus,Grey triggerfish
607348,Epinephelus howlandi,Blacksaddle grouper
607354,Epinephelus multinotatus,White-blotched grouper
607362,Epinephelus socialis,Surge grouper
607366,Epinephelus summana,Summan grouper
607367,Epinephelus timorensis,Yellowspotted grouper
607430,Plectropomus pessuliferus,Roving coralgrouper
607553,Lepophidium brevibarbe,Shortbeard cusk-eel
607614,Leucoraja circularis,Sandy ray
607616,Dipturus oxyrinchus,Longnosed skate
607617,Raja undulata,Undulate ray
607618,Mobula mobular,Devil fish
607619,Leucoraja fullonica,Shagreen ray
607620,Micropogonias furnieri,Whitemouth croaker
607641,Bothus mancus,Flowery flounder
607703,Plectorhinchus gaterinus,Blackspotted rubberlips
607706,Plectorhinchus schotaf,Minstrel sweetlip
607708,Pomadasys stridens,Striped piggy
607773,Myripristis amaena,Brick soldierfish
607903,Pomacanthus maculosus,Yellowbar angelfish
607931,Crenidens crenidens,Karenteen seabream
607945,Pelates quadrilineatus,Fourlined terapon
608092,Parapristipoma octolineatum,African striped grunt
608097,Chlorurus microrhinos,Steephead parrotfish
608166,Rhabdosargus haffara,Haffara seabream
608172,Odontesthes regia,Chilean silverside
608173,Girella tricuspidata,Parore
608187,Pampus chinensis,Chinese silver pomfret
608289,Fistularia corneta,Pacific cornetfish
608315,Plectorhinchus pictus,Trout sweetlips
608390,Seriolella porosa,Choicy ruff
608421,Bregmaceros mcclellandi,Unicorn cod
608483,Lepidorhynchus denticulatus,Thorntooth grenadier
608490,Rexea solandri,Silver gemfish
608540,Aphanopus intermedius,Intermediate scabbardfish
608556,Pseudopleuronectes herzensteini,Yellow striped flounder
608816,Cephalopholis fulva,Coney
608852,Solea senegalensis,Senegalese sole
608924,Raja asterias,Mediterranean starry ray
608991,Spectrunculus grandis,Pudgy cuskeel
609000,Hydrolagus mirabilis,Large-eyed rabbitfish
609005,Rhinochimaera atlantica,Straightnose rabbitfish
609146,Neocyttus rhomboidalis,Spiky oreo
609256,Amblyraja hyperborea,Arctic skate
609648,Zenarchopterus dispar,Feathered river-garfish
609907,Gerres nigri,Guinean striped mojarra
609908,Plectorhinchus macrolepis,Biglip grunt
610106,Nemadactylus macropterus,Tarakihi
610190,Schedophilus pemarco,Pemarco blackfish
610220,Netuma thalassina,Giant catfish
610238,Benthosema pterotum,Skinnycheek lanternfish
610256,Lophius vomerinus,Devil anglerfish
610301,Takifugu vermicularis,Purple puffer
610307,Cheilopogon agoo,Japanese flyingfish
610308,Patagonotothen ramsayi,Longtail southern cod
610676,Cyttus traversi,King dory
611820,Abudefduf luridus,Canary damsel
612005,Paratrachichthys trailli,Sandpaper fish
612354,Paristiopterus labiosus,Giant boarfish
612357,Pentaceros decacanthus,Bigspined boarfish
612361,Pseudopentaceros wheeleri,Slender armorhead
612547,Coregonus muksun,Muksun
612917,Prolatilus jugularis,Pacific sandperch
612918,Seriolella brama,Common warehou
612919,Seriolella caerulea,White warehou
612920,Kathetostoma giganteum,Giant stargazer
612922,Seriolella punctata,Silver warehou
612962,Allocyttus niger,Black oreo
613139,Meuschenia scaber,Velvet leatherjacket
613146,Hydrolagus novaezealandiae,Dark ghost shark
613664,Pennahia anea,Bigeye croaker
614063,Mullus argentinae,Argentine goatfish
614129,Centroberyx affinis,Redfish
614242,Centriscops humerosus,Banded yellowfish
614290,Thunnus orientalis,Pacific bluefin tuna
614354,Lepidoperca pulchella,Orange perch
614383,Scarus persicus,Gulf parrotfish
614693,Merluccius gayi peruanus,Peruvian hake
615380,Rhynchobatus australiae,Whitespotted wedgefish
615483,Himantura gerrardi,Sharpnose stingray
615628,Naso caesius,Gray unicornfish
617190,Myripristis woodsi,Whitespot soldierfish
624237,Lepidopsetta bilineata,Rock sole
626675,Cilus gilberti,Corvina drum
628128,Grammoplites suppositus,Spotfin flathead
628143,Peprilus paru,American harvestfish
646376,Liza klunzingeri,Klunzingers mullet
646941,Coregonus laurettae,Bering cisco
648134,Clupea harengus membras,Baltic herring
648382,Sprattus sprattus balticus,Baltic sprat
649232,Capromimus abbreviatus,Capro dory
650136,Pseudopercis semifasciata,Argentinian sandperch
657505,Bathyraja irrasa,Kerguelen sandpaper skate
657506,Liza haematocheila,So-iny mullet
690003,Pandalus montagui,Aesop shrimp
690005,Acetes japonicus,Akiami paste shrimp
690009,Crassostrea virginica,American cupped oyster
690010,Homarus americanus,American lobster
690011,Placopecten magellanicus,American sea scallop
690013,Metanephrops andamanicus,Andaman lobster
690016,Euphausia superba,Antarctic krill
690018,Paralomis spinosissima,Antarctic stone crab
690022,Pleoticus muelleri,Argentine red shrimp
690023,Illex argentinus,Argentine shortfin squid
690024,Artemesia longinaris,Argentine stiletto shrimp
690029,Ensis directus,Atlantic razor clam
690030,Argopecten irradians,Atlantic bay scallop
690031,Cancer irroratus,Atlantic rock crab
690032,Xiphopenaeus kroyeri,Atlantic seabob
690033,Spisula solidissima,Atlantic surf clam
690036,Mytilus planulatus,Australian mussel
690039,Panulirus cygnus,Australian spiny lobster
690042,Fenneropenaeus merguiensis,Banana prawn
690043,Pollicipes pollicipes,Barnacle
690047,Menippe mercenaria,Black stone crab
690049,Haliotis rubra,Blacklip abalone
690050,Tegillarca granosa,Granular ark
690051,Aristeus antennatus,Blue and red shrimp
690052,Callinectes sapidus,Blue crab
690053,Mytilus edulis,Blue mussel
690054,Litopenaeus stylirostris,Blue shrimp
690055,Portunus pelagicus,Blue swimming crab
690059,Illex coindetii,Broadtail shortfin squid
690060,Perna viridis,Brown mussel
690064,Saxidomus gigantea,Butter clam
690065,Argopecten gibbus,Calico scallop
690067,Loligo vulgaris,European squid
690069,Jasus lalandii,Cape rock lobster
690070,Melicertus kerathurus,Caramote prawn
690071,Panulirus argus,Caribbean spiny lobster
690075,Ostrea chilensis,Chilean flat oyster
690076,Mytilus chilensis,Chilean mussel
690077,Heterocarpus reedi,Chilean nylon shrimp
690078,Loxechinus albus,Chilean sea urchin
690081,Aulacomya ater,Chilean ribbed mussel
690082,Choromytilus chorus,Choro mussel
690085,Sepia officinalis,Common cuttlefish
690087,Cardium edule,Common edible cockle
690088,Octopus vulgaris,Common octopus
690089,Littorina littorea,Common periwinkle
690090,Palaemon serratus,Common prawn
690091,Crangon crangon,Common shrimp
690092,Palinurus elephas,Common spiny lobster
690100,Farfantepenaeus brevirostris,Crystal shrimp
690105,Callinectes danae,Dana's swimming crab
690109,Parapenaeus longirostris,Deepwater rose shrimp
690115,Cancer magister,Dungeness crab
690119,Cancer pagurus,Edible crab
690120,Metapenaeus endeavouri,Endeavour shrimp
690122,Echinus esculentus,European edible sea urchin
690123,Ostrea edulis,European flat oyster
690124,Todarodes sagittatus,European flying squid
690125,Homarus gammarus,European lobster
690126,Solen vagina,European razor clam
690127,Concholepas concholepas,False abalone
690133,Fenneropenaeus chinensis,Fleshy prawn
690143,Portunus trituberculatus,Gazami crab
690146,Haliotis gigantea,Giant abalone
690151,Penaeus monodon,Giant tiger prawn
690156,Pecten maximus,Great Atlantic scallop
690157,Pecten jacobaeus,Great Mediterranean scallop
690158,Carcinus maenas,Green crab
690161,Sagmariasus verreauxi,Green rock lobster
690163,Penaeus semisulcatus,Green tiger prawn
690166,Ruditapes decussatus,Grooved carpet shell
690167,Microcosmus sulcatus,Grooved sea squirt
690168,Parapenaeopsis atlantica,Guinea shrimp
690169,Scapharca cornea,Half-crenated ark
690176,Mactra sachalinensis,Hen clam
690180,Turbo cornutus,Horned turban
690182,Limulus polyphemus,Horseshoe crab
690185,Chlamys islandica,Iceland scallop
690189,Fenneropenaeus indicus,Indian white prawn
690190,Scylla serrata,Indo-Pacific swamp crab
690194,Haliporoides sibogae,Jack-knife shrimp
690196,Ruditapes philippinarum,Japanese carpet shell
690198,Todarodes pacificus,Japanese flying squid
690199,Meretrix lusoria,Japanese hard clam
690201,Apostichopus japonicus,Japanese sea cucumber
690203,Cancer borealis,Jonah crab
690205,Jasus frontalis,Juan Fernandez rock lobster
690206,Dosidicus gigas,Jumbo flying squid
690215,Haliporoides triarthrus,Knife shrimp
690217,Solenocera agassizii,Kolibri shrimp
690218,Mytilus coruscus,Korean mussel
690219,Marsupenaeus japonicus,Kuruma prawn
690227,Doryteuthis pealeii,Longfin inshore squid
690228,Panulirus longipes,Longlegged spiny lobster
690230,Mesodesma donacium,Macha clam
690232,Crassostrea rhizophorae,Mangrove cupped oyster
690241,Mytilus galloprovincialis,Mediterranean mussel
690242,Carcinus aestuarii,Mediterranean shore crab
690249,Metanephrops mozambicus,Mozambique lobster
690253,Palinurus delagoae,Natal spiny lobster
690256,Ostrea lutaria,New Zealand dredge oyster
690257,Metanephrops challengeri,New Zealand lobster
690259,Pecten novaezelandiae,New Zealand scallop
690265,Farfantepenaeus aztecus,Northern brown shrimp
