Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2011,2012,2013,2014,2015,2016,2017,2018,Estimates Start After
Mexico,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,616.14","15,311.77","15,931.75","16,634.49","17,364.21","18,130.10","18,941.37","19,783.89",2012
Micronesia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,103.74","7,346.28","7,532.58","7,740.34","7,947.70","8,160.53","8,379.99","8,594.13",2011
Moldova,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,381.86","3,415.03","3,613.35","3,836.09","4,112.82","4,412.43","4,736.91","5,083.84",2012
Mongolia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,770.43","5,371.64","6,134.48","6,879.00","7,438.36","8,191.69","8,867.93","9,718.36",2011
Montenegro,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,628.15","11,800.31","12,101.08","12,546.40","13,013.98","13,529.86","14,078.53","14,648.82",2011
Morocco,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,074.65","5,265.18","5,537.51","5,859.10","6,217.20","6,623.58","7,084.78","7,582.15",2011
Mozambique,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,089.85","1,169.17","1,262.96","1,363.83","1,473.15","1,589.70","1,715.90","1,851.92",2010
Myanmar,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,324.61","1,405.03","1,490.53","1,588.07","1,694.86","1,812.24","1,939.38","2,076.43",2006
Namibia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,399.34","7,771.70","8,159.88","8,579.86","9,055.57","9,565.05","10,109.67","10,683.83",2008
Nepal,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,249.11","1,308.07","1,347.62","1,407.11","1,470.92","1,540.08","1,613.66","1,690.42",2011
Netherlands,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","41,976.87","42,193.69","42,493.49","43,699.88","45,185.70","46,835.77","48,643.86","50,589.13",2011
New Zealand,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,667.35","29,730.30","30,803.76","31,966.57","33,121.87","34,392.45","35,720.27","37,079.30",2011
Nicaragua,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,228.43","4,458.43","4,641.61","4,849.74","5,069.70","5,312.15","5,570.72","5,841.23",2007
Niger,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",742.428,815.352,853.428,898.487,941.95,987.408,"1,045.21","1,102.98",2009
Nigeria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,582.18","2,720.01","2,883.44","3,062.89","3,255.08","3,460.82","3,683.71","3,908.07",2006
Norway,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","53,157.75","55,008.77","56,663.47","58,413.78","60,157.01","62,006.70","63,962.86","65,977.06",2012
Oman,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,148.41","29,166.39","29,924.88","30,591.67","31,292.33","32,100.16","32,966.68","33,929.63",2009
Pakistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,785.76","2,880.67","2,969.68","3,066.82","3,162.55","3,260.20","3,364.83","3,472.87",2011
Panama,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,112.47","15,616.75","16,993.82","18,256.59","19,518.99","20,816.14","22,182.38","23,588.04",2010
Papua New Guinea,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,582.26","2,797.33","2,896.83","3,043.73","3,636.73","3,757.02","3,886.39","3,982.56",2010
Paraguay,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,223.86","6,136.46","6,787.73","7,099.10","7,433.86","7,789.52","8,167.47","8,561.38",2011
Peru,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,062.28","10,719.48","11,403.04","12,156.68","12,945.69","13,793.91","14,709.42","15,683.71",2009
Philippines,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,152.00","4,429.59","4,691.15","4,947.09","5,210.06","5,495.83","5,806.51","6,133.06",2011
Poland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","20,012.74","20,591.75","21,005.39","21,693.05","22,511.92","23,520.62","24,639.29","25,841.94",2012
Portugal,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,657.82","23,385.17","23,185.21","23,769.00","24,597.66","25,550.38","26,563.92","27,616.73",2012
Qatar,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","97,987.01","102,211.00","105,091.42","108,228.72","113,174.85","117,987.50","124,125.86","129,770.68",2011
Romania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,519.98","12,808.08","13,251.92","13,809.46","14,443.06","15,197.85","16,070.88","17,019.52",2011
Russia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,767.87","17,708.74","18,670.53","19,829.49","21,049.54","22,345.50","23,736.53","25,207.18",2012
Rwanda,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,384.04","1,485.91","1,591.71","1,704.43","1,822.22","1,949.44","2,086.88","2,222.48",2010
Samoa,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,989.75","6,148.96","6,282.41","6,581.58","6,863.27","7,154.52","7,464.72","7,783.21",2011
San Marino,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,,,,,,,,,,
São Tomé and Príncipe,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,251.73","2,337.21","2,432.93","2,577.87","3,553.59","5,245.80","5,823.23","5,942.99",2010
Saudi Arabia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","29,400.68","31,275.49","32,469.34","33,784.56","35,289.42","36,868.65","38,531.39","40,242.21",2010
Senegal,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,974.90","2,026.55","2,086.38","2,167.03","2,253.97","2,350.57","2,456.17","2,568.81",2011
Serbia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","10,404.78","10,404.84","10,787.58","11,222.08","11,700.08","12,242.29","12,849.15","13,515.17",2011
Seychelles,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","24,394.85","25,229.48","26,168.91","27,415.72","28,700.48","30,026.81","31,415.47","32,836.12",2011
Sierra Leone,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,131.30","1,344.25","1,559.95","1,770.88","1,974.91","2,048.01","2,126.65","2,209.18",2011
Singapore,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","59,594.79","60,409.98","61,567.28","64,883.62","67,785.94","70,770.52","73,885.11","77,076.03",2011
Slovak Republic,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","23,365.99","24,249.11","24,971.88","26,131.14","27,491.51","29,025.86","30,665.60","32,389.02",2012
Slovenia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","28,435.78","28,195.24","28,013.94","28,932.18","30,007.29","31,147.93","32,358.28","33,603.03",2011
Solomon Islands,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,188.88","3,345.35","3,458.50","3,578.55","3,704.64","3,831.84","3,966.63","4,097.72",2010
South Africa,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,028.58","11,375.48","11,750.37","12,238.39","12,760.36","13,296.21","13,837.63","14,393.73",2011
South Sudan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,206.23","1,006.16","1,324.10","1,975.66","2,082.70","2,366.17","2,725.47","3,046.79",2008
Spain,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","30,477.65","30,557.47","30,620.15","31,528.71","32,672.96","33,920.17","35,256.88","36,663.63",2012
Sri Lanka,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,676.37","6,106.59","6,550.22","7,082.97","7,643.18","8,253.13","8,917.49","9,632.66",2011
St. Kitts and Nevis,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","16,415.52","16,240.96","16,495.30","17,017.57","17,580.74","18,201.26","18,858.33","19,532.48",2003
St. Lucia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","13,010.51","13,103.72","13,381.42","13,860.31","14,393.93","14,985.68","15,567.69","16,161.52",2011
St. Vincent and the Grenadines,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,522.11","11,776.12","12,081.34","12,553.70","13,173.80","13,908.77","14,620.57","15,364.53",2001
Sudan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,682.99","2,544.63","2,550.10","2,599.53","2,694.24","2,759.60","2,845.63","2,946.25",2006
Suriname,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,815.34","12,397.85","12,989.56","13,655.67","14,411.01","15,222.13","16,094.12","17,016.65",2007
Swaziland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","5,835.24","5,781.53","5,806.66","5,869.95","5,936.18","6,007.71","6,078.62","6,149.25",2008
Sweden,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","40,228.87","41,191.47","42,037.48","43,560.02","45,188.74","46,957.11","48,838.66","50,766.29",2012
Switzerland,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","44,451.65","45,417.81","46,474.95","47,958.38","49,552.15","51,232.58","53,030.13","54,875.58",2011
Syria,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2010
Taiwan Province of China,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","37,742.54","38,749.20","40,392.86","42,617.17","45,198.12","48,012.14","51,213.50","54,699.45",2012
Tajikistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,079.45","2,228.60","2,373.96","2,513.63","2,662.23","2,821.48","2,992.17","3,172.31",2011
Tanzania,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,469.19","1,566.71","1,670.21","1,790.17","1,916.65","2,050.21","2,191.21","2,339.05",2006
Thailand,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,390.12","10,125.58","10,848.74","11,481.60","12,133.34","12,892.60","13,736.51","14,635.77",2011
Timor-Leste,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,028.30","9,872.85","10,783.70","11,821.22","12,965.23","14,232.78","15,495.98","16,870.75",2009
Togo,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,048.17","1,096.21","1,145.94","1,205.92","1,270.53","1,331.17","1,392.86","1,448.04",2010
Tonga,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,344.26","7,547.99","7,753.90","8,015.55","8,289.57","8,579.36","8,885.69","9,136.66",2006
Trinidad and Tobago,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","19,738.31","20,087.13","20,746.28","21,599.54","22,494.24","23,440.43","24,448.72","25,480.78",2010
Tunisia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","9,359.29","9,774.74","10,200.29","10,731.72","11,347.94","11,984.56","12,665.36","13,380.29",2010
Turkey,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","14,543.16","15,001.41","15,578.38","16,288.44","17,137.71","18,059.94","19,064.39","20,127.27",2011
Turkmenistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,842.01","8,718.20","9,394.35","10,178.46","10,983.95","11,917.16","12,930.69","13,927.43",2007
Tuvalu,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,252.77","3,338.15","3,423.06","3,519.83","3,618.09","3,723.05","3,826.11","3,932.11",2011
Uganda,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,399.98","1,414.93","1,459.62","1,530.74","1,617.52","1,710.34","1,809.66","1,914.21",2010
Ukraine,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","7,210.44","7,373.99","7,532.92","7,937.44","8,422.91","8,943.96","9,503.35","10,094.94",2011
United Arab Emirates,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","47,728.78","49,011.59","49,883.58","51,171.32","52,501.49","54,027.36","55,637.68","57,293.82",2009
United Kingdom,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","36,525.41","36,941.06","37,501.70","38,525.71","39,712.70","41,011.70","42,449.56","44,100.62",2010
United States,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","48,328.25","49,922.11","51,248.21","53,327.98","55,837.31","58,436.31","61,133.84","63,676.10",2011
Uruguay,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","15,112.32","15,910.80","16,728.30","17,681.34","18,698.70","19,782.30","20,942.39","22,163.79",2005
Uzbekistan,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,272.77","3,555.08","3,820.65","4,100.65","4,381.70","4,685.10","4,989.08","5,311.31",2010
Vanuatu,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","4,811.64","4,916.21","5,093.80","5,297.33","5,494.63","5,703.03","5,923.15","6,150.07",2009
Venezuela,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","12,868.12","13,615.82","13,633.61","13,997.28","14,380.35","14,806.40","15,264.88","15,742.78",2010
Vietnam,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","3,358.62","3,547.77","3,750.00","3,976.98","4,223.41","4,490.28","4,781.62","5,090.46",2010
Yemen,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,306.66","2,282.67","2,351.46","2,454.96","2,591.91","2,735.65","2,886.59","3,040.90",2008
Zambia,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,614.79","1,721.65","1,841.64","1,980.42","2,124.08","2,283.24","2,445.49","2,626.70",2010
Zimbabwe,Gross domestic product based on purchasing-power-parity (PPP) per capita GDP,Current international dollar,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",529.633,558.582,589.458,628.553,669.397,713.334,760.578,810.519,2008
,,,,,,,,,,,,,
"International Monetary Fund, World Economic Outlook Database, April 2013",,,,,,,,,,,,,
